ticker,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
SLUNF,2019-04-24T13:13:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SCPKF,2019-04-24T18:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FRIIF,2019-04-24T10:17:00.000Z,TAS,,,,EDT,-14400000,EQUITY
DRWKF,2019-04-25T01:39:00.000Z,TAS,,-0.59,,EDT,-14400000,EQUITY
TLSNF,2019-04-25T01:00:00.000Z,TAS,0.6,0.55,-7.56,EDT,-14400000,EQUITY
CSGKF,2019-04-24T06:09:00.000Z,TAS,0.3,0.29,-3.33,EDT,-14400000,EQUITY
MICLF,2019-04-25T02:00:00.000Z,TAS,5.99,3.2,-46.53,EDT,-14400000,EQUITY
PGSVY,2019-04-25T02:00:00.000Z,TAS,,,,UTC,0,EQUITY
NWARF,2019-04-25T02:06:00.000Z,TAS,-807.17,-647.79,19.75,EDT,-14400000,EQUITY
KNNGF,2019-04-25T02:13:00.000Z,TAS,0.87,0.99,14.43,EDT,-14400000,EQUITY
MOYFF,2019-04-24T05:59:00.000Z,TAS,,,,EDT,-14400000,EQUITY
SRBEF,2019-04-25T03:19:00.000Z,TAS,,,,EDT,-14400000,EQUITY
GPAEF,2019-04-24T20:00:00.000Z,TAS,2.4,2.59,7.78,EDT,-14400000,EQUITY
WRTBF,2019-04-25T01:30:00.000Z,TAS,0.13,0.12,-9.09,EDT,-14400000,EQUITY
SKUFF,2019-04-25T02:00:00.000Z,TAS,3.48,3.77,8.46,EDT,-14400000,EQUITY
AUBAP,2019-04-24T07:30:00.000Z,TAS,0.67,0.66,-1.64,EDT,-14400000,EQUITY
APH,2019-04-24T08:00:00.000Z,TAS,0.44,0.45,1.14,EDT,-14400000,EQUITY
AGNC,2019-04-24T16:01:00.000Z,TAS,0.56,0.52,-6.81,EDT,-14400000,EQUITY
BIOVF,2019-04-25T02:00:00.000Z,TAS,3.58,3.12,-12.85,EDT,-14400000,EQUITY
AGR,2019-04-24T16:15:00.000Z,TAS,0.8,0.71,-11.03,EDT,-14400000,EQUITY
AUB,2019-04-24T07:30:00.000Z,TAS,0.67,0.66,-1.64,EDT,-14400000,EQUITY
ASGN,2019-04-24T16:15:00.000Z,TAS,0.95,0.93,-2.52,EDT,-14400000,EQUITY
AXS,2019-04-24T16:15:00.000Z,TAS,1.41,1.24,-11.99,EDT,-14400000,EQUITY
ESAKF,2019-04-25T01:13:00.000Z,TAS,2.9,2.86,-1.35,UTC,0,EQUITY
ETTYF,2019-04-25T01:13:00.000Z,TAS,2.76,2.86,3.47,EDT,-14400000,EQUITY
PKG,2019-04-24T17:29:00.000Z,TAS,1.96,1.98,1.23,EDT,-14400000,EQUITY
SAVE,2019-04-24T16:10:00.000Z,TAS,0.84,0.84,0.12,EDT,-14400000,EQUITY
NTABF,2019-04-25T01:30:00.000Z,TAS,0.51,0.5,-2.53,UTC,0,EQUITY
PTAIF,2019-04-24T09:43:00.000Z,TAS,133.31,129,-3.23,EDT,-14400000,EQUITY
IARGF,2019-04-24T07:09:00.000Z,TAS,1.66,1.68,1.2,EDT,-14400000,EQUITY
GAERF,2019-04-24T19:27:00.000Z,TAS,1.79,1.92,7.32,EDT,-14400000,EQUITY
AIOSF,2019-04-25T02:48:00.000Z,TAS,0.12,0.13,4.84,EDT,-14400000,EQUITY
AKAFF,2019-04-25T02:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AXTI,2019-04-24T16:07:00.000Z,TAS,-0.04,-0.03,30.23,EDT,-14400000,EQUITY
AICAF,2019-04-24T10:01:00.000Z,TAS,,,,EDT,-14400000,EQUITY
AITUF,2019-04-25T02:00:00.000Z,TAS,13.14,19.65,49.55,EDT,-14400000,EQUITY
ALFVY,2019-04-24T06:45:00.000Z,TAS,2.56,2.9,13.24,EDT,-14400000,EQUITY
ALPMY,2019-04-24T23:00:00.000Z,TAS,,16.42,,EDT,-14400000,EQUITY
AGNCP,2019-04-24T16:01:00.000Z,TAS,0.56,0.52,-6.81,EDT,-14400000,EQUITY
EVGGF,2019-04-25T01:30:00.000Z,TAS,0.14,0.16,13.04,EDT,-14400000,EQUITY
KHNGF,2019-04-25T00:49:00.000Z,TAS,1.52,1.5,-1.51,EDT,-14400000,EQUITY
ORLY,2019-04-24T16:34:00.000Z,TAS,4.05,4.05,0.05,EDT,-14400000,EQUITY
TAUKF,2019-04-25T01:00:00.000Z,TAS,0.3,0.28,-6.67,UTC,0,EQUITY
T,2019-04-24T06:51:00.000Z,TAS,0.86,0.86,0.23,EDT,-14400000,EQUITY
TLSNY,2019-04-25T01:00:00.000Z,TAS,0.6,0.55,-7.56,EDT,-14400000,EQUITY
HMNKF,2019-04-25T02:00:00.000Z,TAS,1.09,0.87,-20.18,EDT,-14400000,EQUITY
PAC,2019-04-24T20:00:00.000Z,TAS,1.27,1.35,6.47,EDT,-14400000,EQUITY
APD,2019-04-24T06:00:00.000Z,TAS,1.87,1.92,2.73,EDT,-14400000,EQUITY
ALGN,2019-04-24T16:01:00.000Z,TAS,0.84,0.89,6.59,EDT,-14400000,EQUITY
ACI,2019-04-24T16:36:00.000Z,TAS,,,,EDT,-14400000,EQUITY
