ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
FCCY,1st Constitution Bancorp,2019-07-19T09:15:00.000Z,TAS,0.39,0.39,-1.02,UTC,0,EQUITY
SUVPF,Sartorius Aktiengesellschaft,2019-07-19T07:54:00.000Z,TAS,0.76,0.77,0.92,EDT,-14400000,EQUITY
GKSGF,Grenke AG,2019-07-19T18:02:00.000Z,TAS,0.77,0.75,-2.6,EDT,-14400000,EQUITY
AFYA,Afya Limited,2019-07-19T17:06:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",2019-07-19T07:00:00.000Z,TAS,0.55,0.56,1.82,EDT,-14400000,EQUITY
ATLO,Ames National Corporation,2019-07-19T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
ALV,"Autoliv, Inc.",2019-07-19T06:00:00.000Z,TAS,1.45,1.38,-4.63,EDT,-14400000,EQUITY
EMBVF,"Arca Continental, S.A.B. de C.V.",2019-07-19T09:38:00.000Z,TAS,1.62,1.6,-1.42,EDT,-14400000,EQUITY
ACU,Acme United Corporation,2019-07-19T09:00:00.000Z,TAS,0.75,0.77,2.26,EDT,-14400000,EQUITY
AXP,American Express Company,2019-07-19T07:30:00.000Z,TAS,2.04,2.07,1.67,EDT,-14400000,EQUITY
GMAB,Genmab A/S,2019-07-19T17:05:00.000Z,TAS,,,,EDT,-14400000,EQUITY
FNXTF,Fenix Outdoor International AG,2019-07-19T08:16:00.000Z,TAS,0.71,0.56,-21.13,EDT,-14400000,EQUITY
SARTF,Sartorius Aktiengesellschaft,2019-07-19T08:04:00.000Z,TAS,0.71,0.77,8.45,EDT,-14400000,EQUITY
PVBC,"Provident Bancorp, Inc.",2019-07-19T16:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BOCH,Bank of Commerce Holdings,2019-07-19T09:00:00.000Z,TAS,0.23,0.2,-13.04,UTC,0,EQUITY
BCBP,"BCB Bancorp, Inc.",2019-07-19T16:15:00.000Z,TAS,0.3,0.3,1.01,EDT,-14400000,EQUITY
QBIO,Q BioMed Inc.,2019-07-19T17:13:00.000Z,TAS,-0.12,-0.2,-66.67,EDT,-14400000,EQUITY
SDMHF,Sartorius Stedim Biotech S.A.,2019-07-19T04:04:00.000Z,TAS,0.67,0.74,10.61,EDT,-14400000,EQUITY
FMAO,"Farmers & Merchants Bancorp, Inc.",2019-07-19T10:01:00.000Z,TAS,0.45,0.56,24.44,EDT,-14400000,EQUITY
MBCN,Middlefield Banc Corp.,2019-07-19T08:00:00.000Z,TAS,0.48,0.51,5.21,EDT,-14400000,EQUITY
BLK,"BlackRock, Inc.",2019-07-19T06:15:00.000Z,TAS,6.5,6.41,-1.38,EDT,-14400000,EQUITY
BUKS,Butler National Corporation,2019-07-19T14:47:00.000Z,TAS,,,,EDT,-14400000,EQUITY
PBIP,"Prudential Bancorp, Inc.",2019-07-19T16:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
BCKMF,The Becker Milk Company Limited,2019-07-19T16:47:00.000Z,TAS,,,,EDT,-14400000,EQUITY
RBCAA,"Republic Bancorp, Inc.",2019-07-19T08:00:00.000Z,TAS,0.78,0.86,10.26,EDT,-14400000,EQUITY
STT-PG,State Street Corporation,2019-07-19T07:30:00.000Z,TAS,1.39,1.45,4.39,EDT,-14400000,EQUITY
IBKC,IBERIABANK Corporation,2019-07-19T07:00:00.000Z,TAS,1.82,1.87,2.97,UTC,0,EQUITY
RF-PC,Regions Financial Corporation,2019-07-19T06:00:00.000Z,TAS,0.39,0.37,-5.37,EDT,-14400000,EQUITY
HTNGF,"Haitong Securities Co., Ltd.",2019-07-19T05:45:00.000Z,TAS,0.22,0.15,-31.82,EDT,-14400000,EQUITY
TMP,Tompkins Financial Corporation,2019-07-19T09:00:00.000Z,TAS,1.33,1.27,-4.51,EDT,-14400000,EQUITY
KSU-P,Kansas City Southern,2019-07-19T08:00:00.000Z,TAS,1.61,1.64,1.93,UTC,0,EQUITY
RF,Regions Financial Corporation,2019-07-19T06:00:00.000Z,TAS,0.39,0.37,-5.37,EDT,-14400000,EQUITY
SXT,Sensient Technologies Corporation,2019-07-19T06:55:00.000Z,TAS,0.83,0.81,-1.82,EDT,-14400000,EQUITY
CPAC,Cementos Pacasmayo S.A.A.,2019-07-19T06:02:00.000Z,TAS,0.12,0.12,0.83,EDT,-14400000,EQUITY
CLF,Cleveland-Cliffs Inc.,2019-07-19T07:00:00.000Z,TAS,0.52,0.57,9.62,EDT,-14400000,EQUITY
KSU,Kansas City Southern,2019-07-19T08:00:00.000Z,TAS,1.61,1.64,1.93,UTC,0,EQUITY
GNTX,Gentex Corporation,2019-07-19T08:01:00.000Z,TAS,0.4,0.42,5.26,EDT,-14400000,EQUITY
CHWY,"Chewy, Inc.",2019-07-19T06:03:00.000Z,TAS,,-0.08,,EDT,-14400000,EQUITY
CCNE,CNB Financial Corporation,2019-07-19T16:02:00.000Z,TAS,0.58,0.64,10.34,EDT,-14400000,EQUITY
CFG,"Citizens Financial Group, Inc.",2019-07-19T06:30:00.000Z,TAS,0.94,0.95,1.17,EDT,-14400000,EQUITY
RPNMF,Rapala VMC Corporation,2019-07-19T06:01:00.000Z,TAS,0.25,,,EDT,-14400000,EQUITY
STT,State Street Corporation,2019-07-19T07:30:00.000Z,TAS,1.39,1.45,4.39,EDT,-14400000,EQUITY
CFG-PE,"Citizens Financial Group, Inc.",2019-07-19T06:30:00.000Z,TAS,0.94,0.95,1.17,EDT,-14400000,EQUITY
CCNEP,CNB Financial Corporation,2019-07-19T16:02:00.000Z,TAS,0.58,0.64,10.34,EDT,-14400000,EQUITY
IBKCP,IBERIABANK Corporation,2019-07-19T07:00:00.000Z,TAS,1.82,1.87,2.97,UTC,0,EQUITY
SYF-PA,Synchrony Financial,2019-07-19T06:04:00.000Z,TAS,0.95,0.97,2.11,EDT,-14400000,EQUITY
SYF,Synchrony Financial,2019-07-19T06:04:00.000Z,TAS,0.95,0.97,2.11,EDT,-14400000,EQUITY
WBC,WABCO Holdings Inc.,2019-07-19T07:03:00.000Z,TAS,2.02,1.38,-32,UTC,0,EQUITY
PHR,"Phreesia, Inc.",2019-07-19T17:06:00.000Z,TAS,,,,EDT,-14400000,EQUITY
MDLA,"Medallia, Inc.",2019-07-19T17:06:00.000Z,TAS,,,,UTC,0,EQUITY
NXTP,"NextPlay Technologies, Inc.",2019-07-19T17:18:00.000Z,TAS,-0.16,-0.14,12.5,EDT,-14400000,EQUITY
NVR,"NVR, Inc.",2019-07-19T09:00:00.000Z,TAS,44.82,53.09,18.45,EDT,-14400000,EQUITY
MAN,ManpowerGroup Inc.,2019-07-19T07:30:00.000Z,TAS,2,2.05,2.35,EDT,-14400000,EQUITY
MKGI,"NextPlay Technologies, Inc.",2019-07-19T17:18:00.000Z,TAS,-0.16,-0.14,12.5,UTC,0,EQUITY
SLB,Schlumberger Limited,2019-07-19T07:00:00.000Z,TAS,0.35,0.35,0.57,EDT,-14400000,EQUITY
VAIAF,Vaisala Oyj,2019-07-19T05:00:00.000Z,TAS,0.1,0.14,44.33,EDT,-14400000,EQUITY
