Date, Open, Close, High, Low, Volume
2018-01-02,182.980000,190.090000,194.020000,182.750000,70552
2018-01-03,190.580000,192.280000,193.370000,188.815000,40384
2018-01-04,191.820000,191.530000,193.500000,187.560000,35326
2018-01-05,192.060000,192.060000,193.090000,189.410000,53240
2018-01-08,192.110000,190.550000,192.980000,189.840000,47838
2018-01-09,190.710000,190.700000,192.080000,188.515000,136582
2018-01-10,191.250000,188.290000,191.250000,186.460000,64423
2018-01-11,189.010000,188.280000,189.010000,186.660000,38521
2018-01-12,188.910000,188.100000,191.680000,187.875000,53965
2018-01-16,185.700000,191.510000,196.500000,185.700000,52217
2018-01-17,191.170000,197.500000,206.560000,190.620000,97344
2018-01-18,196.570000,200.920000,201.920000,194.690000,52622
2018-01-19,201.100000,199.260000,203.012900,198.141000,32725
2018-01-22,200.430000,195.980000,200.430000,193.960000,41231
2018-01-23,195.440000,196.380000,196.800000,193.370000,32187
2018-01-24,194.820000,197.440000,198.600000,194.820000,30494
2018-01-25,197.890000,196.600000,198.970000,195.720100,18318
2018-01-26,197.140000,194.930000,197.686700,193.600000,49878
2018-01-29,195.100000,195.420000,196.060000,193.290000,25786
2018-01-30,195.110000,189.920000,195.670000,189.630000,19505
2018-01-31,190.570000,189.950000,195.460000,188.200000,40287
2018-02-01,189.270000,194.640000,199.920000,189.270000,31132
2018-02-02,194.230000,194.440000,197.517000,190.470000,32099
2018-02-05,192.490000,183.160000,192.980000,182.550000,21271
2018-02-06,179.450000,188.930000,189.460000,179.450000,40949
2018-02-07,187.350000,182.800000,189.700000,182.630000,39080
2018-02-08,183.610000,174.920000,184.850000,174.480000,56100
2018-02-09,175.690000,176.990000,178.190000,171.640000,63283
2018-02-12,177.710000,179.670000,181.040000,175.500000,82179
2018-02-13,179.360000,179.090000,180.070000,176.900000,14372
2018-02-14,178.300000,178.650000,183.080000,176.050000,46492
2018-02-15,184.120000,181.140000,186.370000,179.540000,21793
2018-02-16,179.270000,177.250000,187.040000,177.160000,31911
2018-02-20,177.880000,180.050000,184.100000,176.290000,43029
2018-02-21,179.060000,177.370000,186.120000,177.250000,38905
2018-02-22,178.070000,182.380000,184.716500,175.970000,63180
2018-02-23,183.610000,184.310000,186.290000,182.080000,45033
2018-02-26,184.930000,184.540000,185.700000,181.200000,56221
2018-02-27,183.780000,174.670000,183.780000,174.630000,37171
2018-02-28,175.510000,173.390000,178.130000,172.040000,84184
2018-03-01,174.020000,172.470000,179.190000,168.360000,61687
2018-03-02,170.570000,170.120000,176.230000,168.100000,46042
2018-03-05,170.240000,174.490000,178.640000,168.940000,31649
2018-03-06,174.980000,173.650000,180.960000,172.660000,28010
2018-03-07,172.320000,173.490000,178.390000,171.550000,38230
2018-03-08,173.160000,179.800000,180.230000,173.160000,40982
2018-03-09,181.080000,181.380000,182.450000,179.980000,38153
2018-03-12,181.640000,177.090000,185.040000,175.230000,56813
2018-03-13,178.380000,177.060000,181.820000,175.330000,38249
2018-03-14,177.780000,176.390000,181.340000,176.000000,28417
2018-03-15,175.660000,173.410000,179.390000,173.240000,32677
2018-03-16,172.860000,172.980000,179.880000,171.890000,62268
2018-03-19,172.820000,171.390000,176.920000,170.640000,24528
2018-03-20,172.540000,167.680000,175.614000,166.750000,30635
2018-03-21,167.460000,171.610000,175.520000,167.460000,24756
2018-03-22,172.680000,171.740000,176.920000,169.040000,24112
2018-03-23,170.960000,168.130000,176.870000,167.910000,48428
2018-03-26,167.945000,171.830000,171.900000,167.025000,16556
2018-03-27,172.110000,168.460000,172.110000,168.430000,24523
2018-03-28,168.430000,167.070000,168.580000,165.930000,26913
2018-03-29,168.350000,170.540000,172.710000,168.280000,25370
2018-04-02,171.290000,163.600000,171.290000,163.260000,27386
2018-04-03,164.640000,165.110000,170.054000,164.630000,34498
2018-04-04,163.840000,167.550000,170.800000,162.540000,123262
2018-04-05,170.930000,170.960000,172.380000,166.950000,105439
2018-04-06,170.510000,169.480000,171.720000,168.640000,62992
2018-04-09,170.000000,169.220000,170.500000,169.020000,39239
2018-04-10,170.760000,170.450000,170.760000,169.220000,57393
2018-04-11,170.450000,171.450000,171.450000,169.540000,38467
2018-04-12,170.780000,169.150000,173.500000,167.410000,21339
2018-04-13,168.790000,172.810000,177.500000,168.790000,38867
2018-04-16,173.450000,174.370000,179.880000,173.150000,43526
2018-04-17,175.790000,176.950000,181.501300,174.760000,55694
2018-04-18,178.360000,177.020000,183.950000,176.480000,43094
2018-04-19,177.260000,173.710000,180.180000,173.210000,14979
2018-04-20,175.260000,172.960000,178.000000,168.580000,27917
2018-04-23,172.830000,172.910000,178.549900,171.500000,33237
2018-04-24,176.262300,175.590000,178.990000,170.930000,38840
2018-04-25,175.160000,176.860000,177.175000,173.090000,44670
2018-04-26,176.710000,176.740000,177.080000,174.720000,38544
2018-04-27,176.590000,178.910000,179.750000,173.050000,17968
2018-04-30,178.885700,179.750000,182.440000,0.000000,42175
2018-05-01,179.990000,177.290000,179.990000,175.650000,25587
2018-05-02,177.444400,175.020000,179.615000,172.670000,32729
2018-05-03,175.040000,168.360000,175.635000,167.790000,39505
2018-05-04,168.220000,164.150000,170.740000,162.460000,27335
2018-05-07,165.880000,161.820000,168.910000,160.660000,36288
2018-05-08,162.150000,166.260000,170.620000,161.410000,50178
2018-05-09,166.420000,163.810000,172.129900,163.660000,32535
2018-05-10,163.860000,169.100000,173.010000,163.860000,25342
2018-05-11,169.250000,166.500000,174.169000,164.930000,12107
2018-05-14,170.568300,165.970000,173.130000,165.270000,95463
2018-05-15,163.930000,166.820000,171.880000,162.670000,38575
2018-05-16,169.800000,168.390000,172.684000,166.030000,103076
2018-05-17,168.110000,168.430000,171.370000,165.760000,42982
2018-05-18,167.500000,165.670000,169.670000,163.290000,31895
2018-05-21,165.760000,165.570000,167.990000,164.820000,18198
2018-05-22,167.060000,161.380000,167.540000,158.730000,28878
2018-05-23,165.000000,162.470000,168.940000,160.460000,28698
2018-05-24,162.930000,160.440000,166.260000,160.170000,25070
2018-05-25,164.030000,160.720000,166.310000,159.480000,21040
2018-05-29,159.830000,154.390000,165.500000,153.450000,21233
2018-05-30,155.790000,157.760000,162.320000,155.710000,32785
2018-05-31,161.290000,156.270000,161.290000,155.120000,41902
2018-06-01,156.670000,156.370000,160.900000,155.730000,32488
2018-06-04,157.450000,156.640000,161.870000,155.970000,30688
2018-06-05,155.320000,151.520000,156.540000,150.840000,31637
2018-06-06,151.900000,151.660000,156.850000,151.160000,19729
2018-06-07,152.550000,150.770000,156.310000,149.790000,20721
2018-06-08,150.810000,153.150000,156.710000,150.240000,26756
2018-06-11,154.060000,153.060000,158.150000,152.270000,41159
2018-06-12,153.710000,153.620000,157.930000,153.070000,25399
2018-06-13,154.490000,153.620000,158.300000,153.050000,23161
2018-06-14,152.990000,153.830000,155.680000,152.990000,45987
2018-06-15,153.250000,154.670000,154.850000,152.280000,19673
2018-06-18,153.820000,156.610000,157.330000,152.250000,30060
2018-06-19,155.030000,156.460000,157.209000,154.400000,58033
2018-06-20,156.550000,158.090000,158.780000,156.550000,33082
2018-06-21,157.950000,158.490000,159.500000,156.600000,29235
2018-06-22,158.280000,159.560000,159.890000,154.180000,12046
2018-06-25,158.000000,156.730000,159.280000,156.720000,38017
2018-06-26,157.190000,157.010000,159.550000,155.920000,20424
2018-06-27,157.010000,154.610000,158.249900,154.280000,18196
2018-06-28,154.880000,158.800000,159.400000,154.580000,26341
2018-06-29,157.940000,159.160000,161.020000,157.550000,27234
2018-07-02,159.000000,155.880000,159.150000,154.230000,20958
2018-07-03,156.240000,159.670000,161.060000,156.240000,20654
2018-07-05,160.330000,163.150000,163.966500,160.150000,17912
2018-07-06,163.600000,168.140000,168.969800,163.600000,19534
2018-07-09,168.300000,163.900000,168.300000,162.950000,19206
2018-07-10,163.510000,164.710000,165.060000,163.415000,23616
2018-07-11,163.400000,162.735000,164.040000,161.480000,31956
2018-07-12,162.890000,162.600000,164.110000,162.020000,30694
2018-07-13,163.730000,165.920000,165.920000,162.350100,30528
2018-07-16,165.630000,169.260000,169.830000,163.440000,26957
2018-07-17,168.650000,174.850000,174.910000,167.445000,43406
2018-07-18,173.950000,171.790000,176.380000,171.440000,39619
2018-07-19,170.710000,169.670000,170.940000,168.170000,9442
2018-07-20,169.780000,173.460000,173.460000,169.780000,18150
2018-07-23,172.720000,177.540000,177.800000,171.230000,32865
2018-07-24,176.340000,182.480000,183.440000,176.310000,35800
2018-07-25,181.910000,181.700000,184.670000,179.105000,17536
2018-07-26,182.090000,184.250000,185.460000,182.090000,36278
2018-07-27,184.250000,184.630000,187.860000,184.250000,32866
2018-07-30,184.470000,182.310000,187.130000,179.890000,44363
2018-07-31,184.370000,178.275000,184.620000,177.560000,20593
2018-08-01,179.000000,181.830000,183.000000,176.180000,18030
2018-08-02,179.630000,180.030000,181.250000,177.890000,56695
2018-08-03,180.829000,182.550000,182.590000,180.305000,21964
2018-08-06,181.090000,185.100000,188.030000,181.090000,35089
2018-08-07,184.990000,187.230000,189.320000,184.990000,17461
2018-08-08,185.770000,185.910000,188.290000,180.970000,15228
2018-08-09,184.210000,184.780000,187.570000,183.960000,29611
2018-08-10,181.040000,179.935000,184.040000,178.790000,16862
2018-08-13,179.600000,180.410000,181.070000,178.510000,11867
2018-08-14,180.400000,189.160000,189.600000,180.400000,54163
2018-08-15,186.130000,180.340000,186.590000,180.150000,39404
2018-08-16,180.480000,178.810000,183.660000,178.130000,55147
2018-08-17,177.700000,173.330000,178.250000,170.050000,29309
2018-08-20,173.680000,176.220000,176.230000,173.680000,11367
2018-08-21,177.270000,178.170000,181.650000,175.560000,26302
2018-08-22,178.640000,185.080000,185.690000,178.640000,22381
