Date, Open, Close, High, Low, Volume
2018-01-02,6.050000,6.000000,6.050000,6.000000,23127
2018-01-03,6.000000,6.050000,6.100000,6.000000,211915
2018-01-04,6.050000,6.200000,6.200000,6.050000,123487
2018-01-05,6.150000,6.150000,6.200000,6.150000,50436
2018-01-08,6.150000,6.150000,6.200000,6.110000,56754
2018-01-09,6.150000,6.150000,6.200000,6.150000,61419
2018-01-10,6.150000,6.150000,6.200000,6.125000,42084
2018-01-11,6.200000,6.150000,6.200000,6.150000,50540
2018-01-12,6.200000,6.150000,6.200000,6.150000,35982
2018-01-16,6.150000,6.150000,6.200000,6.150000,28830
2018-01-17,6.150000,6.175000,6.200000,6.150000,54653
2018-01-18,6.150000,6.200000,6.200000,6.100000,169118
2018-01-19,6.200000,6.175000,6.250000,6.100000,153847
2018-01-22,6.200000,6.200000,6.250000,6.150000,94614
2018-01-23,6.200000,6.225000,6.250000,6.160000,70043
2018-01-24,6.250000,6.200000,6.250000,6.150000,151576
2018-01-25,6.200000,6.075000,6.200000,6.050000,149858
2018-01-26,6.150000,6.050000,6.150000,6.000000,107206
2018-01-29,6.100000,6.000000,6.100000,5.950000,205249
2018-01-30,6.050000,6.150000,6.150000,6.010000,84644
2018-01-31,6.200000,6.100000,6.250000,6.100000,211892
2018-02-01,6.200000,6.250000,6.250000,6.150000,78251
2018-02-02,6.150000,6.100000,6.200000,6.050000,69094
2018-02-05,6.100000,6.050000,6.150000,6.050000,70193
2018-02-06,6.050000,6.100000,6.100000,6.000000,213990
2018-02-07,6.100000,6.150000,6.150000,6.050000,70551
2018-02-08,6.150000,6.150000,6.150000,6.100000,75868
2018-02-09,6.150000,6.050000,6.150000,6.050000,68567
2018-02-12,6.150000,6.200000,6.200000,6.070000,53251
2018-02-13,6.160000,6.150000,6.200000,6.100000,57346
2018-02-14,6.200000,6.100000,6.200000,6.100000,72276
2018-02-15,6.200000,6.200000,6.250000,6.175000,94891
2018-02-16,6.250000,6.225000,6.250000,6.200000,94097
2018-02-20,6.250000,6.250000,6.250000,6.200000,53622
2018-02-21,6.250000,6.200000,6.250000,6.150000,68117
2018-02-22,6.200000,6.200000,6.250000,6.150000,91479
2018-02-23,6.200000,6.200000,6.250000,6.190000,37268
2018-02-26,6.200000,6.225000,6.240000,6.150000,89270
2018-02-27,6.200000,6.150000,6.241000,6.150000,33723
2018-02-28,6.200000,6.200000,6.250000,6.155000,103846
2018-03-01,6.250000,6.200000,6.250000,6.150000,47011
2018-03-02,6.200000,6.275000,6.300000,6.150000,53334
2018-03-05,6.250000,6.250000,6.350000,6.205000,105638
2018-03-06,6.300000,6.300000,6.350000,6.243100,73200
2018-03-07,6.350000,6.300000,6.350000,6.255000,200021
2018-03-08,6.350000,6.300000,6.400000,6.300000,111819
2018-03-09,6.300000,6.350000,6.400000,6.300000,177136
2018-03-12,6.400000,6.350000,6.400000,6.350000,49239
2018-03-13,6.400000,6.200000,6.400000,6.200000,246799
2018-03-14,6.250000,6.300000,6.350000,6.200000,68999
2018-03-15,6.250000,6.300000,6.355000,6.250000,99276
2018-03-16,6.300000,6.400000,6.400000,6.250000,44344
2018-03-19,6.400000,6.350000,6.400000,6.350000,48978
2018-03-20,6.350000,6.275000,6.400000,6.260000,78677
2018-03-21,6.300000,6.300000,6.350000,6.250000,59686
2018-03-22,6.300000,6.200000,6.329900,6.200000,93172
2018-03-23,6.200000,6.200000,6.250000,6.200000,28544
2018-03-26,6.300000,6.200000,6.300000,6.200000,52716
2018-03-27,6.250000,6.250000,6.250000,6.200000,102308
2018-03-28,6.200000,6.200000,6.245000,6.150000,64738
2018-03-29,6.250000,6.200000,6.250000,6.150000,67751
2018-04-02,6.150000,6.200000,6.250000,6.150000,74163
2018-04-03,6.250000,6.250000,6.250000,6.150000,25692
2018-04-04,6.200000,6.200000,6.225000,6.150000,52770
2018-04-05,6.200000,6.200000,6.200000,6.150000,46009
2018-04-06,6.150000,6.200000,6.200000,6.150000,44835
2018-04-09,6.150000,6.200000,6.200000,6.150000,41586
2018-04-10,6.200000,6.200000,6.200000,6.150000,43053
2018-04-11,6.150000,6.200000,6.200000,6.150000,38514
2018-04-12,6.200000,6.200000,6.200000,6.150000,74783
2018-04-13,6.150000,6.200000,6.200000,6.150000,33569
2018-04-16,6.250000,6.150000,6.250000,6.150000,82569
2018-04-17,6.150000,6.200000,6.200000,6.150000,83201
2018-04-18,6.150000,6.150000,6.200000,6.150000,117263
2018-04-19,6.200000,6.150000,6.200000,6.150000,64375
2018-04-20,6.200000,6.300000,6.300000,6.150000,125299
2018-04-23,6.250000,6.350000,6.350000,6.250000,66260
2018-04-24,6.300000,6.275000,6.400000,6.250000,95566
2018-04-25,6.300000,6.200000,6.300000,6.150000,116204
2018-04-26,6.250000,6.275000,6.300000,6.150000,60487
2018-04-27,6.300000,6.350000,6.400000,6.250000,124302
2018-04-30,6.400000,6.450000,6.450000,6.354300,193281
2018-05-01,6.400000,6.425000,6.450000,6.400000,82112
2018-05-02,6.450000,6.400000,6.450000,6.400000,28512
2018-05-03,6.450000,6.400000,6.450000,6.355000,89542
2018-05-04,6.450000,6.450000,6.450000,6.400000,49717
