Date, Open, Close, High, Low, Volume
2018-01-02,3.800000,3.870000,3.960000,3.700000,17293
2018-01-03,3.940000,3.609900,4.210000,3.530000,152593
2018-01-04,3.600000,3.240000,3.710000,3.200000,100381
2018-01-05,3.260000,3.400000,3.802400,3.250000,35453
2018-01-08,3.580000,3.405000,3.729900,3.360000,15422
2018-01-09,3.400000,3.380000,3.505000,3.300000,23469
2018-01-10,3.459600,3.280000,3.500000,3.250000,73930
2018-01-11,3.320000,3.980000,3.990000,3.270000,143793
2018-01-12,4.000000,3.700000,4.270900,3.700000,112590
2018-01-16,3.790000,3.910000,4.260000,3.700000,125619
2018-01-17,3.860000,3.820000,4.110000,3.710000,36258
2018-01-18,3.880000,4.039800,4.050000,3.700000,47158
2018-01-19,4.178800,4.669900,4.810000,4.100000,100384
2018-01-22,4.810000,4.689900,4.920000,4.420000,55888
2018-01-23,4.600000,4.430000,4.748800,4.411000,44415
2018-01-24,4.370000,4.310000,4.650000,3.959700,21548
2018-01-25,4.390000,4.460000,4.545000,4.300100,16965
2018-01-26,4.420000,4.474000,4.678700,4.410000,10345
2018-01-29,4.500000,4.100000,4.500000,4.100000,19632
2018-01-30,4.100000,4.000000,4.120400,3.910000,11592
2018-01-31,4.013000,4.350000,4.480000,4.000000,30207
2018-02-01,4.380000,4.390000,4.549000,4.251000,7781
2018-02-02,4.450000,4.260000,4.450000,4.250000,36665
2018-02-05,4.300000,4.370000,4.370000,4.200000,16064
2018-02-06,4.100000,4.250000,4.250100,3.900000,50700
2018-02-07,4.240000,4.070000,4.240000,4.050000,34002
2018-02-08,4.050000,4.300000,4.589900,4.050000,79624
2018-02-09,4.360000,4.420000,4.440000,4.130000,22901
2018-02-12,4.450000,4.390000,4.450000,4.190100,5358
2018-02-13,4.370000,4.500000,4.830000,4.223700,19207
2018-02-14,4.790000,4.340000,4.850000,4.250000,53341
2018-02-15,4.250000,4.210000,4.333000,4.130000,18562
2018-02-16,4.210000,4.130000,4.260000,4.100000,16049
2018-02-20,4.130000,4.109000,4.190000,3.950000,46873
2018-02-21,4.130000,4.490000,4.530000,4.010000,22655
2018-02-22,4.510000,4.700000,4.939000,4.400000,86127
2018-02-23,4.750000,4.550000,4.920000,4.550000,29483
2018-02-26,4.590000,4.540000,4.640000,4.400000,89959
2018-02-27,4.580000,4.290000,4.580000,4.020000,104161
2018-02-28,4.480000,4.500000,4.650000,4.100000,39377
2018-03-01,4.470000,4.210000,4.490000,4.100000,33482
2018-03-02,4.150000,4.310000,4.390000,4.150000,13073
2018-03-05,4.245000,4.700000,5.192100,4.245000,47257
2018-03-06,4.850000,5.600000,6.290000,4.630000,224320
2018-03-07,5.070000,5.400000,5.899900,4.790000,164333
2018-03-08,4.500000,4.700000,4.820000,4.450000,841727
2018-03-09,4.660000,4.760000,4.800000,4.650000,137799
2018-03-12,4.750000,4.880000,4.990000,4.750000,172975
2018-03-13,4.850000,4.880000,5.000000,4.800000,191671
2018-03-14,4.850000,4.680000,4.850000,4.660000,180704
2018-03-15,4.680000,4.620000,4.810000,4.505000,155707
2018-03-16,4.600000,4.680000,4.779000,4.600000,22137
2018-03-19,4.700000,4.570000,4.749900,4.510000,54626
2018-03-20,4.600000,4.709900,4.940000,4.550000,129452
2018-03-21,4.740000,4.710000,4.880000,4.670000,71508
2018-03-22,4.710000,4.640000,4.816000,4.520000,95388
2018-03-23,4.740000,4.630000,4.780000,4.550000,68514
2018-03-26,4.650000,4.600000,4.700000,4.550000,62078
2018-03-27,4.560000,4.540000,4.660000,4.500000,38727
2018-03-28,4.530000,4.590000,4.639000,4.500000,25756
2018-03-29,4.510000,4.380000,4.579900,4.300000,66612
2018-04-02,4.410000,4.020000,4.410000,3.830100,72584
2018-04-03,4.010000,3.850000,4.010000,3.780000,64627
2018-04-04,3.800000,4.200000,4.438000,3.800000,63718
2018-04-05,4.240000,4.350000,4.350000,4.070000,27032
2018-04-06,4.360000,4.300000,4.450000,4.160000,23095
2018-04-09,4.350000,4.040000,4.350000,3.825000,41865
2018-04-10,4.040000,4.190000,4.230000,4.000000,27357
2018-04-11,4.160000,4.390000,4.460000,4.000000,32779
2018-04-12,4.350000,4.190000,4.390000,4.160000,32711
2018-04-13,4.190000,4.170000,4.339000,4.101000,73008
2018-04-16,4.340000,4.250000,4.340000,4.030000,74319
2018-04-17,4.180000,4.020000,4.200000,3.970000,48074
2018-04-18,4.010000,3.990000,4.200000,3.920000,103110
2018-04-19,4.000000,4.010000,4.108000,4.000000,11844
2018-04-20,4.020000,4.120000,4.180000,3.950000,22215
2018-04-23,4.000000,4.030000,4.110000,3.950000,34194
2018-04-24,4.030000,3.850000,4.030000,3.780000,28975
2018-04-25,3.870000,3.700000,3.880000,3.700000,6577
2018-04-26,3.700000,3.810000,3.884600,3.700000,8412
2018-04-27,3.750000,3.615000,3.840000,3.580000,26086
2018-04-30,3.700000,3.540000,3.707100,0.000000,48192
2018-05-01,3.480000,3.420000,3.640000,3.320000,37966
2018-05-02,3.500000,3.250000,3.500000,3.250000,59563
2018-05-03,3.270000,3.270000,3.430000,3.250000,43704
2018-05-04,3.280000,3.270000,3.449000,3.250000,49795
2018-05-07,3.280000,3.340000,3.379000,3.250000,20869
2018-05-08,3.340000,3.260000,3.420000,3.250000,27505
2018-05-09,3.270000,3.250000,3.410000,3.230000,144098
2018-05-10,3.320000,3.310000,3.420000,3.260000,14712
2018-05-11,3.450000,3.240000,3.490000,3.230000,76128
2018-05-14,3.230000,3.290000,3.308800,3.230000,1245
2018-05-15,3.330000,3.210000,3.330000,3.210000,9160
2018-05-16,3.200000,3.540000,3.640000,3.200000,73595
2018-05-17,3.565000,3.620000,3.911600,3.490000,31444
