Date, Open, Close, High, Low, Volume
2018-01-02,10.810000,10.860000,10.860000,10.800000,13583
2018-01-03,10.750000,10.850000,10.860000,10.750000,7725
2018-01-04,10.800000,10.840000,11.010000,10.800000,7290
2018-01-05,10.890000,10.880000,10.890000,10.860000,3073
2018-01-08,10.900000,10.950000,10.950000,10.890000,8146
2018-01-09,10.920000,10.950000,10.970000,10.910100,6143
2018-01-10,10.860000,10.930000,10.940000,10.860000,4905
2018-01-11,10.840000,10.914000,10.930000,10.840000,8562
2018-01-12,10.970000,11.000000,11.010000,10.970000,4011
2018-01-16,11.010000,11.020000,11.080000,11.000000,10756
2018-01-17,11.140000,11.080000,11.140000,11.030000,6853
2018-01-18,11.030000,11.059900,11.059900,11.010000,30029
2018-01-19,10.950000,11.070000,11.070000,10.950000,6623
2018-01-22,11.030000,11.130000,11.139000,11.030000,16254
2018-01-23,11.160000,11.220000,11.229900,11.160000,11545
2018-01-24,11.290000,11.277100,11.330000,11.244000,20977
2018-01-25,11.220000,11.270000,11.300000,11.220000,13537
2018-01-26,11.330000,11.340000,11.363400,11.320000,76845
2018-01-29,11.340000,11.310000,11.360000,11.310000,13681
2018-01-30,11.250000,11.180000,11.250000,11.180000,5647
2018-01-31,11.127900,11.140100,11.190000,11.110000,92409
2018-02-01,11.090000,11.120000,11.150000,11.090000,1344
2018-02-02,11.010000,11.040000,11.080000,10.975000,38187
2018-02-05,10.910000,10.720000,10.930000,10.550000,130282
2018-02-06,10.710000,10.640000,10.710000,10.550000,94818
2018-02-07,10.580000,10.670000,10.800000,10.580000,23751
2018-02-08,10.570000,10.420000,10.655100,10.420000,51677
2018-02-09,10.430000,10.370000,10.459900,10.190000,59277
2018-02-12,10.350000,10.450000,10.476300,10.350000,13189
2018-02-13,10.410000,10.450000,10.450000,10.380000,24854
2018-02-14,10.380000,10.509900,10.560000,10.360000,7383
2018-02-15,10.600000,10.580000,10.620000,10.550000,2758
2018-02-16,10.690000,10.700100,10.702800,10.630000,14347
2018-02-20,10.640000,10.580000,10.658000,10.580000,4402
2018-02-21,10.580000,10.610000,10.667900,10.530000,39984
2018-02-22,10.460000,10.570000,10.610000,10.460000,7854
2018-02-23,10.600000,10.660000,10.700000,10.560000,6097
2018-02-26,10.630000,10.720000,10.730000,10.630000,17877
2018-02-27,10.700000,10.670000,10.810000,10.670000,8567
2018-02-28,10.680000,10.670000,10.690000,10.640000,1877
2018-03-01,10.600000,10.410000,10.600000,10.410000,9918
2018-03-02,10.510000,10.590000,10.610000,10.440000,252005
2018-03-05,10.540000,10.631000,10.650000,10.510000,40765
2018-03-06,10.680000,10.640000,10.680000,10.620000,14526
2018-03-07,10.530000,10.630000,10.640000,10.530000,25042
2018-03-08,10.701800,10.610000,10.701800,10.548000,24833
2018-03-09,10.700000,10.840000,10.860000,10.700000,54272
2018-03-12,10.910000,10.860000,10.910000,10.800000,47599
2018-03-13,10.950000,10.810000,10.979600,10.810000,47348
2018-03-14,10.870000,10.800000,10.910000,10.720000,37162
2018-03-15,10.800000,10.700000,10.800000,10.680000,21840
2018-03-16,10.830000,10.750000,11.030000,10.730000,50126
2018-03-19,10.700000,10.640000,10.700000,10.550000,29950
2018-03-20,10.676000,10.660000,10.676000,10.600000,878062
2018-03-21,10.700000,10.710000,10.720000,10.620000,14458
2018-03-22,10.620000,10.549900,10.670000,10.540000,30443
2018-03-23,10.530000,10.410000,10.530000,10.400000,27897
2018-03-26,10.590000,10.450000,10.590000,10.440000,22041
2018-03-27,10.520000,10.490000,10.610000,10.475000,25093
2018-03-28,10.490000,10.450000,10.490000,10.436300,8562
2018-03-29,10.510000,10.530000,10.540000,10.460100,22032
2018-04-02,10.530000,10.310000,10.530000,10.280000,45435
2018-04-03,10.520000,10.580000,10.600000,10.337400,23683
2018-04-04,10.530000,10.590000,10.590000,10.450000,16840
2018-04-05,10.590000,10.770000,10.780000,10.590000,36131
2018-04-06,10.740000,10.570000,10.769900,10.540000,10741
2018-04-09,10.700000,10.620000,10.710000,10.610000,22861
2018-04-10,10.800000,10.670000,10.800000,10.669900,36680
2018-04-11,10.680000,10.750000,10.800000,10.650000,47625
2018-04-12,10.710000,10.650000,10.710000,10.629800,21595
2018-04-13,10.600000,10.670000,10.710000,10.600000,17083
2018-04-16,10.590000,10.690000,10.740000,10.590000,53736
2018-04-17,10.760000,10.830000,10.830000,10.740100,18273
2018-04-18,10.820000,10.840000,10.859900,10.800000,5137
2018-04-19,10.920000,10.880000,10.920000,10.830600,24387
2018-04-20,10.860000,10.760000,10.860000,10.741100,14845
2018-04-23,10.760000,10.720000,10.790000,10.670000,21464
2018-04-24,10.770000,10.780000,10.800000,10.750000,50344
2018-04-25,10.780000,10.790000,10.900000,10.750000,29188
2018-04-26,10.810000,10.850000,10.889900,10.810000,13206
2018-04-27,10.850000,10.930000,10.950000,10.830000,46577
2018-04-30,11.080000,10.960000,11.080000,10.940000,44856
2018-05-01,10.920000,10.920000,10.930000,10.831000,14551
2018-05-02,10.900000,10.885200,10.900000,10.854500,32772
2018-05-03,10.890000,10.833000,10.890000,10.730000,18087
2018-05-04,10.800000,10.860000,10.870000,10.791300,75468
2018-05-07,10.890000,10.890000,10.936300,10.870100,42913
2018-05-08,10.852100,10.890000,10.920000,10.830000,65727
2018-05-09,10.960000,10.940000,10.960000,10.910000,67405
2018-05-10,10.900000,10.910000,10.919900,10.880000,44326
2018-05-11,10.890000,10.990000,10.990000,10.890000,33964
2018-05-14,10.990000,11.030000,11.050000,10.940000,43988
2018-05-15,10.830000,11.000000,11.010000,10.830000,31610
2018-05-16,10.990000,11.050000,11.075000,10.990000,20268
2018-05-17,11.050000,11.040000,11.099900,11.031000,14948
2018-05-18,11.090000,11.100000,11.130000,11.059800,52388
2018-05-21,11.140000,11.180000,11.190000,11.140000,20822
2018-05-22,11.190000,11.190000,11.250000,11.157100,29776
2018-05-23,11.100000,11.230000,11.230000,11.090000,20096
2018-05-24,11.220100,11.190000,11.250000,11.120000,54266
2018-05-25,11.130000,11.116900,11.200000,11.110000,15362
2018-05-29,11.110000,10.990000,11.110000,10.967000,55809
2018-05-30,11.080000,11.100000,11.149900,11.020100,38987
2018-05-31,11.160000,11.100000,11.200000,11.080000,114111
2018-06-01,11.250000,11.180000,11.250000,11.160000,84925
2018-06-04,11.360000,11.380000,11.460000,11.303500,170167
2018-06-05,11.500000,11.420000,11.500000,11.380000,132958
2018-06-06,11.450000,11.450000,11.500000,11.430000,106942
2018-06-07,11.500000,11.500000,11.570000,11.480000,144584
2018-06-08,11.490000,11.430000,11.520000,11.430000,155266
2018-06-11,11.460000,11.480000,11.530000,11.430000,166491
2018-06-12,11.510000,11.500000,11.550000,11.460000,104844
2018-06-13,11.580000,11.500000,11.580000,11.490000,68187
2018-06-14,11.560000,11.470000,11.560000,11.390000,58204
2018-06-15,11.530000,11.446200,11.530000,11.413000,50173
2018-06-18,11.460000,11.440000,11.460000,11.370000,27128
2018-06-19,11.450000,11.375000,11.450000,11.360000,80974
2018-06-20,11.410000,11.440000,11.450000,11.403400,30607
2018-06-21,11.470000,11.500000,11.555000,11.400000,146334
2018-06-22,11.570000,11.570000,11.700000,11.550000,131906
2018-06-25,11.710000,11.470000,11.710000,11.428300,100846
2018-06-26,11.590000,11.535000,11.590000,11.460000,57254
2018-06-27,11.560000,11.480000,11.560000,11.472400,55662
2018-06-28,11.460000,11.520000,11.520000,11.430000,91199
2018-06-29,11.520000,11.520000,11.560000,11.500000,63475
2018-07-02,11.590000,11.600000,11.600000,11.500100,68536
2018-07-03,11.690000,11.700000,11.750000,11.600100,20480
2018-07-05,11.980000,11.930000,11.995400,11.800000,113086
2018-07-06,11.920000,12.150000,12.150000,11.920000,65795
2018-07-09,12.150000,12.080000,12.260000,12.000000,195497
2018-07-10,12.000000,12.230000,12.280000,12.000000,78003
2018-07-11,12.240000,12.200000,12.269900,12.161000,58038
2018-07-12,12.120000,12.060000,12.150000,12.030000,40849
2018-07-13,12.660000,12.050000,12.139900,12.030000,16507
2018-07-16,12.050000,12.030000,12.110000,11.963100,53760
2018-07-17,11.930000,11.960000,12.008000,11.900000,50539
2018-07-18,12.200000,12.140000,12.310000,12.046000,64991
2018-07-19,12.190000,12.390000,12.560000,12.040000,32921
2018-07-20,12.490000,12.410000,12.490000,12.200100,29630
2018-07-23,12.500000,12.456000,12.500000,12.177200,51857
2018-07-24,12.400000,12.282400,12.400000,12.210000,37641
2018-07-25,12.310000,12.330000,12.345000,12.152100,84253
2018-07-26,12.280000,12.380000,12.440000,12.239000,192160
2018-07-27,12.410000,12.439900,12.549900,12.310000,39352
2018-07-30,12.390000,12.390000,12.560000,12.318000,73622
2018-07-31,12.480000,12.370000,12.554000,12.300000,170215
2018-08-01,12.450000,12.400000,12.450000,12.300000,28467
2018-08-02,12.400000,12.460000,12.560000,12.336500,28486
2018-08-03,12.560000,12.520000,12.590000,12.520000,42911
2018-08-06,12.520000,12.432500,12.540000,12.360000,53314
2018-08-07,12.650000,12.452000,12.650000,12.350000,30201
2018-08-08,12.560000,12.573600,12.650000,12.451000,49500
2018-08-09,12.690000,12.570400,12.690000,12.519000,35377
2018-08-10,12.530000,12.530000,12.550000,12.450000,40528
2018-08-13,12.530000,12.450000,12.530000,12.400000,41890
2018-08-14,12.530000,12.490000,12.637300,12.400000,19438
2018-08-15,12.490000,12.490000,12.616500,12.450000,21988
2018-08-16,12.500000,12.595000,12.650000,12.440000,46122
2018-08-17,12.550000,12.460100,12.600000,12.360000,53364
2018-08-20,12.470000,12.550000,12.590000,12.470000,36635
2018-08-21,12.550000,12.540100,12.557000,12.530000,18019
2018-08-22,12.520000,12.520000,12.660000,12.500000,38226
2018-08-23,12.530000,12.545000,12.614900,12.520000,24194
2018-08-24,12.620000,12.560000,12.740000,12.560000,23310
2018-08-27,12.680000,12.645000,12.750000,12.600000,35882
2018-08-28,12.730000,12.630000,12.730000,12.539600,43004
2018-08-29,12.800000,12.790000,12.850000,12.650000,29643
2018-08-30,12.760000,12.840000,12.860000,12.760000,14158
2018-08-31,12.990000,13.014700,13.100000,12.900000,55372
2018-09-04,13.030000,13.183300,13.280900,12.950000,62375
2018-09-05,13.130000,13.448000,13.543200,13.031000,72832
2018-09-06,13.590000,13.460000,13.590000,13.280000,55006
2018-09-07,13.540000,13.610000,13.689900,13.490000,48681
2018-09-10,13.690000,13.913500,14.000000,13.657600,98049
2018-09-11,14.000000,13.810000,14.389000,13.700000,128987
2018-09-12,13.650000,13.120000,13.979000,13.010000,151512
2018-09-13,13.090000,12.723600,13.139000,12.580000,128837
2018-09-14,12.580000,12.060000,12.650000,11.970000,362117
2018-09-17,12.050000,12.030000,12.340000,11.910000,104009
2018-09-18,12.000000,12.123700,12.190000,12.000000,67709
2018-09-19,12.160000,12.429000,12.429000,12.160000,212508
2018-09-20,12.420000,12.600000,12.720000,12.420000,73894
2018-09-21,12.660000,12.752700,12.900000,12.630600,73575
2018-09-24,12.770000,12.880000,12.960000,12.770000,77505
2018-09-25,13.130000,13.011100,13.270000,12.914700,93756
2018-09-26,13.100000,13.244000,13.274400,13.100000,77547
2018-09-27,13.180000,13.610000,13.630000,13.180000,69250
2018-09-28,13.530000,13.350000,13.610000,13.190000,97609
2018-10-01,13.460000,13.390000,13.547700,13.260000,40957
2018-10-02,13.390000,13.336200,13.419000,13.260000,31971
2018-10-03,13.410000,13.500000,13.500000,13.330000,47424
2018-10-04,13.500000,13.400000,13.500000,13.250000,142664
2018-10-05,13.412200,12.930000,13.412200,12.720000,124345
2018-10-08,13.270000,13.020000,13.270000,12.850000,21659
2018-10-09,12.940000,12.720000,12.940000,12.650000,42285
2018-10-10,12.650000,12.160000,12.710000,12.150000,68086
2018-10-11,12.000000,11.800000,12.084000,11.775000,93537
2018-10-12,11.980000,12.130000,12.208000,11.810000,48708
2018-10-15,12.100000,11.785000,12.139900,11.500000,114909
2018-10-16,11.790000,11.910000,12.020000,11.790000,24100
2018-10-17,11.940000,11.760000,11.950000,11.750000,51420
2018-10-18,11.800000,11.750000,11.980000,11.750000,33630
2018-10-19,11.820000,11.617300,11.820000,11.520000,30156
2018-10-22,11.710000,11.620000,11.730000,11.520000,52797
2018-10-23,11.600000,11.570000,11.750000,11.518400,23025
2018-10-24,11.580000,11.502700,11.660000,11.500000,42284
2018-10-25,11.700000,11.720000,11.740000,11.389800,47576
2018-10-26,11.600000,11.481500,11.750000,11.460000,42941
2018-10-29,11.710000,11.390000,11.750000,11.390000,20142
2018-10-30,11.445700,11.360000,11.710400,11.336500,22447
2018-10-31,11.450000,11.800000,11.900000,11.450000,64010
