Date, Open, Close, High, Low, Volume
2018-01-02,46.690000,46.409900,46.690000,46.330000,18795
2018-01-03,46.410000,46.670000,46.670000,46.397300,59294
2018-01-04,46.960000,46.811000,47.009000,46.728900,9698
2018-01-05,47.000000,47.141000,47.170000,46.970000,7216
2018-01-08,47.160000,47.292700,47.370000,47.160000,9440
2018-01-09,47.490000,47.424000,47.549900,47.353200,16119
2018-01-10,47.190000,47.200000,47.200000,47.035000,24517
2018-01-11,47.420000,47.340000,47.420000,47.161000,24352
2018-01-12,47.530000,47.688400,47.688400,47.446100,9745
2018-01-16,47.830000,47.520000,47.978200,47.460000,15427
2018-01-17,47.860000,47.967000,48.090000,47.680000,8872
2018-01-18,47.920000,47.929900,48.120000,47.810000,16685
2018-01-19,48.070000,48.140000,48.140000,48.000000,5477
2018-01-22,48.320000,48.394400,48.394400,48.170000,9692
2018-01-23,48.510000,48.456800,48.510000,48.350000,13935
2018-01-24,48.580000,48.510000,48.659200,48.350000,17431
2018-01-25,48.650000,48.705000,48.780000,48.520000,6654
2018-01-26,48.890000,49.270000,49.270000,48.823500,9577
2018-01-29,49.250000,48.959900,49.273200,48.918200,15995
2018-01-30,48.670000,48.500000,48.689900,48.410000,14192
2018-01-31,48.690000,48.525000,48.700000,48.271000,14154
2018-02-01,48.500000,48.424400,48.719000,48.200000,9570
2018-02-02,48.195900,47.500000,48.247200,47.500000,12519
2018-02-05,47.170000,45.910000,47.525600,45.720000,51486
2018-02-06,44.930000,46.090000,46.256900,44.580000,34108
2018-02-07,46.020000,46.225000,46.777800,46.020000,18187
2018-02-08,46.190000,44.530000,46.190000,44.530000,71900
2018-02-09,45.030000,45.160000,45.498000,43.969600,42105
2018-02-12,45.480000,45.720000,45.960000,45.311000,8470
2018-02-13,45.600000,45.930000,45.950000,45.500000,20081
2018-02-14,45.600000,46.370000,46.439000,45.600000,9677
2018-02-15,46.780000,47.008200,47.008200,46.397800,13465
2018-02-16,46.940000,47.250000,47.467800,46.930900,6547
2018-02-20,47.010000,46.960000,47.210000,46.768600,28240
2018-02-21,46.850000,46.570000,47.300100,46.570000,14639
2018-02-22,46.720000,46.696800,46.968000,46.570000,15337
2018-02-23,46.790000,47.155200,47.181700,46.677300,5223
