Date, Open, Close, High, Low, Volume
2018-01-02,72.270000,72.550000,73.125000,71.934800,760391
2018-01-03,72.340000,72.900000,73.030000,71.770000,1027291
2018-01-04,74.300000,74.850000,75.140000,73.610000,1643840
2018-01-05,75.000000,75.550000,75.600000,74.210000,1181609
2018-01-08,75.550000,75.670000,75.810000,74.790000,916478
2018-01-09,75.600000,77.480000,77.520000,75.380000,1168691
2018-01-10,77.270000,78.070000,78.120000,76.500000,1299848
2018-01-11,78.250000,80.040000,80.710000,78.250000,2107102
2018-01-12,80.000000,79.130000,80.030000,79.020000,1145315
2018-01-16,79.500000,79.140000,79.635000,78.380000,942637
2018-01-17,79.130000,79.050000,79.350000,78.550000,1058135
2018-01-18,79.000000,78.210000,79.000000,78.110000,787820
2018-01-19,78.180000,78.620000,78.740000,77.730000,688623
2018-01-22,78.760000,78.940000,79.140000,77.950000,673666
2018-01-23,78.630000,79.030000,79.550000,77.550000,517068
2018-01-24,79.180000,78.630000,79.449400,78.140000,663702
2018-01-25,78.770000,78.970000,79.040000,78.250000,420699
2018-01-26,79.010000,79.100000,79.300000,78.470000,786165
2018-01-29,78.950000,79.090000,79.550000,78.660000,976380
2018-01-30,78.050000,78.930000,79.330000,77.230000,863795
2018-01-31,78.910000,78.040000,79.035000,77.190000,1210415
2018-02-01,77.530000,77.580000,78.260000,76.500000,1540450
2018-02-02,77.210000,75.630000,77.370000,75.210000,1237038
2018-02-05,75.230000,72.790000,76.300000,72.790000,1225585
2018-02-06,71.570000,74.040000,74.740000,70.500000,1168482
2018-02-07,73.850000,74.650000,75.640000,73.658300,733648
2018-02-08,74.570000,71.940000,75.150000,71.870000,925162
2018-02-09,72.620000,72.970000,73.610000,70.550000,1431097
2018-02-12,73.410000,73.410000,74.270000,72.610000,1093622
2018-02-13,72.690000,73.550000,74.030000,72.690000,1373510
2018-02-14,72.070000,74.750000,74.840000,71.560000,2089987
2018-02-15,75.000000,73.840000,75.480000,73.675000,1019406
2018-02-16,73.810000,73.650000,74.510000,73.160000,1011304
2018-02-20,73.270000,72.750000,74.260000,72.340000,937611
2018-02-21,72.880000,72.530000,74.030000,72.530000,819077
2018-02-22,72.840000,72.070000,73.570000,71.800000,768582
2018-02-23,72.620000,73.170000,73.360000,71.700000,819505
2018-02-26,73.270000,73.500000,73.800000,72.540000,571593
2018-02-27,73.270000,73.640000,74.060000,72.850000,636204
2018-02-28,73.710000,72.020000,73.870000,72.010000,572577
2018-03-01,71.880000,70.440000,72.000000,69.450000,1875823
2018-03-02,70.230000,71.890000,72.320000,69.600000,1101460
2018-03-05,71.530000,72.200000,72.480000,71.110000,794944
2018-03-06,72.250000,72.060000,72.590000,71.480000,851105
2018-03-07,71.410000,72.200000,72.510000,70.930000,707346
2018-03-08,72.160000,72.610000,72.820000,71.740000,681384
2018-03-09,72.950000,72.450000,73.175000,71.530000,1192363
2018-03-12,72.180000,72.240000,72.500000,71.120000,2035891
2018-03-13,72.310000,70.190000,72.720000,69.387800,2030464
2018-03-14,70.540000,70.030000,70.540000,69.440000,2054295
2018-03-15,70.170000,69.440000,70.180000,69.050000,1016112
2018-03-16,69.460000,68.530000,69.540000,68.120000,1734879
2018-03-19,68.520000,68.400000,68.870000,67.730000,1324739
2018-03-20,68.460000,66.380000,68.490000,66.250000,2297648
2018-03-21,66.660000,66.850000,67.890000,66.400000,1693713
2018-03-22,66.550000,65.785000,67.230000,65.750000,1265949
2018-03-23,65.850000,64.970000,66.560000,64.860000,1124771
2018-03-26,65.700000,65.650000,66.490000,64.620000,1136466
2018-03-27,65.700000,65.350000,66.210000,65.030000,792156
2018-03-28,65.520000,66.010000,66.640000,65.280000,1098949
2018-03-29,66.070000,65.930000,66.320000,65.420000,1341840
2018-04-02,65.960000,63.800000,66.265000,63.320000,2049647
2018-04-03,64.130000,64.360000,64.740000,63.380000,937841
2018-04-04,63.400000,63.670000,63.990000,61.720000,1885116
2018-04-05,63.830000,64.180000,64.840000,63.680000,1408827
2018-04-06,63.550000,63.020000,63.680000,62.450000,1581965
2018-04-09,63.190000,62.780000,63.600000,62.740000,1187739
2018-04-10,63.390000,63.180000,63.840000,62.780000,1369290
2018-04-11,62.640000,62.960000,63.380000,62.520000,937537
2018-04-12,63.410000,62.870000,63.410000,62.640000,879571
2018-04-13,63.170000,62.910000,63.430000,62.620000,980305
2018-04-16,63.310000,63.180000,63.420000,62.320000,1020177
2018-04-17,63.340000,63.070000,63.649000,62.940000,880051
2018-04-18,63.220000,64.160000,64.630000,63.170000,926259
2018-04-19,63.960000,64.110000,64.580000,63.665000,1154959
2018-04-20,64.110000,63.750000,64.380000,63.455000,848338
2018-04-23,63.390000,63.100000,63.620000,62.500000,1008840
2018-04-24,63.470000,62.870000,64.275000,62.620000,1011667
2018-04-25,62.530000,63.310000,63.485000,61.920000,1093117
2018-04-26,63.220000,62.935000,63.270000,62.500000,713518
2018-04-27,62.800000,63.220000,63.630000,62.800000,983637
2018-04-30,63.370000,62.800000,63.680000,62.750000,1095712
2018-05-01,62.770000,63.105000,63.340000,61.970000,1416996
2018-05-02,63.060000,63.390000,64.130000,62.860000,1115379
2018-05-03,63.160000,63.290000,64.110000,62.430000,1862861
2018-05-04,63.300000,66.380000,68.685800,62.260000,3374612
2018-05-07,66.070000,66.020000,66.530000,64.680000,1816348
2018-05-08,65.960000,64.170000,65.960000,63.900000,1499327
2018-05-09,64.320000,64.800000,65.110000,64.170000,1178934
2018-05-10,65.210000,65.770000,66.120000,64.965000,891516
2018-05-11,65.660000,66.010000,66.685000,65.200000,1096603
2018-05-14,66.310000,66.610000,66.810000,66.140000,687427
2018-05-15,66.270000,66.290000,66.660000,66.080000,975489
2018-05-16,66.550000,66.840000,67.180000,66.261000,1129521
2018-05-17,66.690000,67.590000,68.140000,66.570000,698197
2018-05-18,67.530000,68.140000,68.280000,67.310000,948507
2018-05-21,68.360000,67.920000,68.730000,67.830000,737552
2018-05-22,68.030000,67.930000,68.390000,67.840000,535562
2018-05-23,67.620000,68.530000,68.640000,67.240000,1191814
