Date, Open, Close, High, Low, Volume
2018-01-02,47.900000,47.890000,47.900000,47.720000,57398
2018-01-03,47.830000,47.890000,47.980000,47.721100,29137
2018-01-04,48.140000,48.350000,48.390000,48.130000,124276
2018-01-05,48.490000,47.690000,48.517800,47.560000,50829
2018-01-08,47.540000,47.480000,48.429900,47.460000,24699
2018-01-09,47.980000,47.490000,48.440000,47.430000,64955
2018-01-10,47.260000,47.090000,48.087500,47.050000,17389
2018-01-11,46.730000,47.750000,47.829900,46.710000,24501
2018-01-12,46.830000,46.900000,47.750000,46.800000,33661
2018-01-16,47.280000,47.930000,48.180000,47.180000,50397
2018-01-17,48.290000,48.680000,48.780000,48.200000,27911
2018-01-18,48.420000,48.410000,48.550000,48.190000,39984
2018-01-19,48.350000,48.310000,48.409900,48.110000,22434
2018-01-22,48.700000,48.780000,48.920000,48.690000,35719
2018-01-23,48.740000,48.880000,48.890000,48.668300,18059
2018-01-24,49.340000,49.350000,49.630000,49.092500,35162
2018-01-25,49.300000,49.080000,49.450000,48.914100,78040
2018-01-26,48.930000,49.000000,49.063000,48.700000,35791
2018-01-29,48.830000,48.700000,49.250000,48.570000,56490
2018-01-30,48.630000,48.510000,48.679900,48.260000,36986
2018-01-31,50.030000,49.620000,50.030000,48.884800,37521
2018-02-01,49.610000,48.820000,49.929900,48.780000,73018
2018-02-02,48.670000,48.210000,49.630000,48.210000,30013
2018-02-05,47.460000,46.870000,48.434400,46.710000,66229
2018-02-06,46.300000,47.890000,47.929900,45.840000,39558
2018-02-07,47.030000,47.120000,48.360000,46.830000,63526
2018-02-08,47.420000,46.500000,47.476600,46.500000,90465
2018-02-09,46.870000,46.700000,46.910000,45.980000,147886
2018-02-12,46.710000,46.890000,46.970000,46.330000,39407
2018-02-13,46.780000,47.015000,47.410000,46.780000,44271
2018-02-14,46.520000,47.720000,47.929000,46.520000,17033
2018-02-15,47.000000,48.010000,48.010000,46.630000,61429
2018-02-16,47.980000,48.010000,48.690000,47.642800,33475
2018-02-20,47.650000,47.590000,48.200000,47.450000,32016
2018-02-21,48.550000,48.400000,49.570000,48.280000,26116
2018-02-22,49.000000,48.970000,49.744000,48.900000,49719
2018-02-23,48.730000,48.860000,49.410000,48.620000,25649
2018-02-26,49.170000,49.340000,49.450000,49.030000,19546
2018-02-27,49.080000,48.540000,49.110000,48.325000,27722
2018-02-28,48.800000,48.240000,49.043300,48.240000,157510
2018-03-01,48.490000,48.520000,48.869000,48.040000,224449
2018-03-02,48.240000,48.440000,48.660000,48.020000,51786
2018-03-05,48.200000,48.530000,48.696800,48.150100,45967
2018-03-06,49.030000,48.980000,49.080000,48.780000,31466
2018-03-07,48.720000,48.140000,48.870000,47.760000,17433
2018-03-08,48.290000,48.250000,48.958700,48.140000,10448
2018-03-09,49.320000,48.770000,49.630000,48.480000,39745
2018-03-12,49.020000,48.980000,49.845000,48.830000,31204
2018-03-13,49.220000,49.970000,50.270000,48.880000,38805
2018-03-14,50.030000,49.750000,50.610000,49.690000,14025
2018-03-15,49.910000,49.640000,49.970000,49.521000,9066
2018-03-16,49.520000,49.340000,49.600000,49.280000,37892
2018-03-19,49.290000,49.230000,50.138500,48.980100,40973
2018-03-20,49.220000,49.060000,49.350000,49.031000,19159
2018-03-21,49.660000,50.130000,50.970000,49.520000,41188
2018-03-22,49.750000,49.530000,49.916800,49.132300,21670
2018-03-23,49.850000,49.340000,50.150000,49.330000,45263
2018-03-26,49.670000,50.050000,50.460000,49.390000,9289
2018-03-27,49.850000,49.230000,50.040000,49.080100,30684
2018-03-28,49.000000,48.510000,49.750000,48.451000,27719
2018-03-29,48.400000,48.800000,49.120000,48.220000,4114
2018-04-02,48.620000,47.580000,49.555000,47.530000,105855
2018-04-03,47.780000,48.260000,49.113500,47.780000,24174
2018-04-04,47.930000,48.720000,49.810000,47.840000,16580
2018-04-05,48.230000,48.250000,49.340000,48.140000,32785
2018-04-06,48.280000,48.130000,49.278400,48.100000,19941
2018-04-09,49.870000,49.400000,50.349000,49.400000,76846
2018-04-10,49.580000,49.710000,50.550000,49.400000,28804
2018-04-11,49.300000,49.400000,50.389900,49.100000,21209
2018-04-12,49.200000,49.260000,50.450000,49.150000,6776
2018-04-13,49.400000,49.890000,50.192000,49.190000,69912
2018-04-16,49.100000,49.230000,50.089900,49.000000,21748
2018-04-17,48.580000,48.530000,49.390000,48.360000,23807
2018-04-18,48.660000,48.480000,49.490000,48.330000,93750
2018-04-19,48.190000,48.720000,49.177100,47.820000,10372
2018-04-20,48.150000,47.920000,48.290000,47.810000,22966
2018-04-23,48.830000,47.590000,48.830000,47.460000,82398
2018-04-24,47.555000,47.220000,48.190000,47.050000,9082
2018-04-25,46.960000,46.920000,47.800000,46.606000,8608
2018-04-26,47.280000,47.330000,47.540000,46.990000,28246
2018-04-27,47.580000,47.810000,48.079900,47.430000,125979
2018-04-30,47.930000,47.540000,48.099900,47.540000,7746
2018-05-01,47.600000,47.490000,47.639900,47.260000,62909
2018-05-02,47.950000,47.610000,48.029900,47.610000,22128
2018-05-03,48.360000,48.400000,49.500300,47.770000,40162
2018-05-04,48.080000,48.610000,48.730000,48.020000,21344
2018-05-07,48.520000,48.440000,48.670000,48.260000,2822
2018-05-08,48.130000,48.160000,48.240000,47.790000,22840
2018-05-09,48.370000,48.540000,48.720000,47.900000,31983
2018-05-10,47.560000,47.650000,48.629900,47.560000,21042
2018-05-11,47.850000,47.930000,48.730000,47.710000,12821
2018-05-14,47.830000,47.530000,48.750400,47.520000,3279
2018-05-15,47.220000,47.170000,48.050000,46.870000,18806
2018-05-16,46.850000,46.860000,47.670000,46.820000,6216
2018-05-17,46.830000,46.720000,47.959900,46.720000,8124
2018-05-18,46.980000,47.900000,47.979900,46.810000,10138
2018-05-21,47.140000,47.230000,48.054600,47.100000,7625
2018-05-22,47.260000,46.940000,48.080000,46.930000,15030
2018-05-23,46.640000,47.030000,47.949900,46.600000,31367
2018-05-24,47.170000,47.200000,48.020000,46.950000,8986
2018-05-25,47.980000,47.170000,47.989900,47.060000,3544
2018-05-29,47.050000,46.760000,47.889900,46.600000,29277
2018-05-30,47.770000,48.190000,49.000000,47.550000,8068
