Date, Open, Close, Volume
2018-12-31,4.690000,4.670000,602101
2019-01-02,4.640000,4.795000,314931
2019-01-03,4.800000,4.790000,184253
2019-01-04,4.840000,4.940000,58469
2019-01-07,4.950000,5.000000,123265
2019-01-08,5.030000,5.050000,82830
2019-01-09,5.070000,5.060000,206341
2019-01-10,5.070000,5.110000,88238
2019-01-11,5.110000,5.160000,429615
2019-01-14,5.140000,5.160000,105125
2019-01-15,5.150000,5.130000,112804
2019-01-16,5.110000,5.145000,170162
2019-01-17,5.100000,5.200000,163886
2019-01-18,5.180000,5.230000,254543
2019-01-22,5.210000,5.190000,367045
2019-01-23,5.220000,5.150000,147704
2019-01-24,5.180000,5.130000,105729
2019-01-25,5.130000,5.080000,301454
2019-01-28,5.080000,5.100000,238809
2019-01-29,5.100000,5.125000,63717
2019-01-30,5.110000,5.150000,91231
2019-01-31,5.160000,5.165000,126465
2019-02-01,5.100000,5.204100,250045
2019-02-04,5.190000,5.180000,89454
2019-02-05,5.180000,5.185000,111585
2019-02-06,5.180000,5.180000,96669
2019-02-07,5.180000,5.200000,202161
2019-02-08,5.190000,5.188500,145940
2019-02-11,5.190000,5.200000,127218
2019-02-12,5.220000,5.260100,86809
2019-02-13,5.260000,5.240000,54892
2019-02-14,5.220000,5.246600,58838
2019-02-15,5.260000,5.290000,76334
2019-02-20,5.270000,5.300000,64784
2019-02-21,5.290000,5.300000,69225
2019-02-22,5.300000,5.340000,94656
2019-02-25,5.370000,5.320000,158139
2019-02-26,5.310000,5.330000,133602
2019-02-27,5.320000,5.300000,123019
2019-02-28,5.300000,5.300000,70927
2019-03-01,5.310000,5.360000,85825
2019-03-04,5.350000,5.300000,68168
2019-03-05,5.300000,5.306600,126246
2019-03-06,5.290000,5.280000,89080
2019-03-07,5.280000,5.240000,375729
2019-03-08,5.240000,5.250000,184854
2019-03-11,5.110000,5.167300,243614
2019-03-12,5.150000,5.160000,193273
2019-03-13,5.160000,5.220000,202644
2019-03-14,5.220000,5.220000,1811
2019-03-15,5.230000,5.270000,119589
2019-03-18,5.260000,5.250000,57542
2019-03-19,5.265300,5.250000,62493
2019-03-20,5.230000,5.240000,108203
2019-03-21,5.230000,5.260000,69367
2019-03-22,5.250000,5.255000,621
2019-03-25,5.270000,5.280000,70991
2019-03-26,5.280000,5.255000,121625
2019-03-27,5.260000,5.270000,120665
2019-03-28,5.290000,5.265000,135785
2019-03-29,5.250000,5.250000,121730
2019-04-01,5.280000,5.260000,173966
2019-04-02,5.260000,5.230000,202911
2019-04-03,5.260000,5.270000,94619
2019-04-04,5.280000,5.300000,106906
2019-04-05,5.310000,5.275000,81667
2019-04-08,5.290000,5.270000,190143
2019-04-09,5.270000,5.270000,175891
2019-04-10,5.290000,5.330000,99526
2019-04-11,5.340000,5.300000,139424
2019-04-12,5.310000,5.280000,98273
2019-04-15,5.290000,5.275000,188701
2019-04-16,5.280000,5.280000,130482
2019-04-17,5.280000,5.260000,92746
2019-04-18,5.250000,5.220000,169295
2019-04-22,5.230000,5.230000,296639
2019-04-23,5.250000,5.230000,95076
2019-04-24,5.240000,5.220000,106128
2019-04-25,5.220000,5.200000,84954
2019-04-26,5.220000,5.250000,99645
2019-04-29,5.240000,5.250000,146430
2019-04-30,5.260000,5.250000,54865
2019-05-01,5.270000,5.290000,99327
2019-05-02,5.280000,5.270000,75656
2019-05-03,5.260000,5.320000,97601
2019-05-06,5.290000,5.300000,194233
2019-05-07,5.270000,5.240000,65190
2019-05-08,5.260000,5.260000,94561
2019-05-09,5.270000,5.250000,84707
2019-05-10,5.260000,5.320000,122008
2019-05-13,5.300000,5.310000,104538
2019-05-14,5.290000,5.330000,90736
2019-05-15,5.320000,5.350000,199837
2019-05-16,5.360000,5.350000,131080
2019-05-17,5.330000,5.420000,279579
2019-05-20,5.410000,5.470000,268078
2019-05-21,5.520000,5.650000,464995
2019-05-22,5.670000,5.610000,334352
2019-05-23,5.600000,5.580000,169860
2019-05-24,5.580000,5.570000,99090
2019-05-28,5.570000,5.495000,129335
2019-05-29,5.450000,5.350000,177331
2019-05-30,5.330000,5.350000,78055
2019-05-31,5.340000,5.340000,1709
2019-06-03,5.330000,5.340000,136519
2019-06-04,5.420000,5.470000,145783
2019-06-05,5.500000,5.550000,260924
2019-06-06,5.590000,5.550000,160349
2019-06-07,5.570000,5.560000,114097
2019-06-10,5.540000,5.550000,127754
2019-06-11,5.540000,5.560000,185098
2019-06-12,5.560000,5.570000,234080
2019-06-13,5.470000,5.420000,128938
2019-06-14,5.410000,5.400000,72009
2019-06-17,5.400000,5.400000,87545
2019-06-18,5.440000,5.480000,105456
2019-06-19,5.510000,5.470000,164984
2019-06-20,5.510000,5.465000,286614
2019-06-21,5.450000,5.450000,148468
2019-06-24,5.490000,5.490000,138657
2019-06-25,5.490000,5.430000,109925
2019-06-26,5.440000,5.420000,98045
2019-06-27,5.440000,5.440000,253025
2019-06-28,5.454800,5.470000,128879
2019-07-01,5.490000,5.490000,181581
2019-07-02,5.530000,5.460000,251525
2019-07-03,5.510000,5.520000,79525
2019-07-05,5.510000,5.490000,126380
2019-07-08,5.470000,5.410000,125971
2019-07-09,5.420000,5.420000,142455
2019-07-10,5.440000,5.485000,130193
2019-07-11,5.510000,5.490000,127205
2019-07-12,5.500000,5.500000,87074
2019-07-15,5.490000,5.490000,77014
2019-07-16,5.510000,5.490000,99099
2019-07-17,5.500000,5.460000,105468
2019-07-18,5.450000,5.460000,104554
2019-07-19,5.480000,5.440000,59763
2019-07-22,5.440000,5.430000,73108
2019-07-23,5.430000,5.440000,162717
2019-07-24,5.420000,5.410000,129300
2019-07-25,5.440000,5.420000,57253
2019-07-26,5.440000,5.440000,49888
2019-07-29,5.470000,5.450000,60942
2019-07-30,5.440000,5.410000,116988
2019-07-31,5.400000,5.410000,75980
2019-08-01,5.450000,5.405000,61065
2019-08-02,5.420000,5.410000,51750
2019-08-05,5.420000,5.370000,137934
2019-08-06,5.450000,5.450000,125956
2019-08-07,5.440000,5.430000,62964
2019-08-08,5.460000,5.465000,68240
2019-08-09,5.480000,5.420000,51244
2019-08-12,5.390000,5.350000,67680
2019-08-13,5.400000,5.450000,75016
2019-08-14,5.440000,5.370000,72719
2019-08-15,5.390000,5.300000,201385
2019-08-16,5.310000,5.310000,86465
2019-08-19,5.310000,5.350000,78356
2019-08-20,5.340000,5.360000,76248
2019-08-21,5.360000,5.402700,85329
2019-08-22,5.390000,5.410000,74757
2019-08-23,5.430000,5.360000,142318
2019-08-26,5.390000,5.410000,61369
2019-08-27,5.410000,5.405000,93044
2019-08-28,5.380000,5.310000,251552
2019-08-29,5.370000,5.350000,139166
2019-08-30,5.360000,5.410000,77825
2019-09-03,5.380000,5.415400,81412
2019-09-04,5.400000,5.420000,90342
2019-09-05,5.410000,5.430000,121822
2019-09-06,5.420000,5.400000,164460
2019-09-09,5.400000,5.430000,114809
2019-09-10,5.440000,5.450000,86488
2019-09-11,5.480000,5.520000,138764
2019-09-12,5.380000,5.370000,130383
2019-09-13,5.390000,5.380000,75036
2019-09-16,5.380000,5.340000,97400
2019-09-17,5.370000,5.330000,106692
2019-09-18,5.310000,5.370000,43497
2019-09-19,5.390000,5.430000,97977
2019-09-20,5.460000,5.465000,93706
2019-09-23,5.480000,5.400000,61409
2019-09-24,5.440000,5.360000,107640
2019-09-25,5.400000,5.380000,73934
2019-09-26,5.370000,5.390000,83456
2019-09-27,5.400000,5.400000,76946
2019-09-30,5.400000,5.430000,100838
2019-10-01,5.480000,5.380000,213090
2019-10-02,5.400000,5.430000,220471
2019-10-03,5.410000,5.360000,132766
2019-10-04,5.360000,5.380000,93608
2019-10-07,5.390000,5.340000,90208
2019-10-08,5.320000,5.310000,113993
2019-10-09,5.330000,5.350000,159846
2019-10-10,5.340000,5.350000,132366
2019-10-11,5.370000,5.350000,137212
2019-10-14,5.370000,5.350000,58471
2019-10-15,5.360000,5.380000,100320
2019-10-16,5.380000,5.390000,83999
2019-10-17,5.390000,5.390000,56503
2019-10-18,5.390000,5.390000,95748
2019-10-21,5.410000,5.420000,59672
2019-10-22,5.440000,5.400000,191067
2019-10-23,5.420000,5.410000,61164
2019-10-24,5.410000,5.410000,100672
2019-10-25,5.400000,5.490000,100245
2019-10-28,5.500000,5.440000,90588
2019-10-29,5.450000,5.530000,151220
2019-10-30,5.528100,5.560000,138612
2019-10-31,5.531100,5.550000,49652
2019-11-01,5.580000,5.497900,103415
2019-11-04,5.530000,5.510000,87550
2019-11-05,5.570000,5.530000,157116
2019-11-06,5.510000,5.490000,108248
2019-11-07,5.500000,5.510000,96286
2019-11-08,5.540000,5.570000,155528
2019-11-11,5.560000,5.539900,158754
2019-11-12,5.520000,5.525000,110396
2019-11-13,5.540000,5.510000,110458
2019-11-14,5.500000,5.510000,248763
2019-11-15,5.490000,5.500000,108050
2019-11-18,5.510000,5.480000,246863
2019-11-19,5.480000,5.500000,125162
2019-11-20,5.490000,5.530000,111683
2019-11-21,5.530000,5.520000,68055
2019-11-22,5.520000,5.520000,87066
2019-11-25,5.540000,5.525000,111214
2019-11-26,5.530000,5.530000,163619
2019-11-27,5.560000,5.580000,148352
2019-11-29,5.590000,5.520000,77157
2019-12-02,5.540000,5.470000,160929
2019-12-03,5.450000,5.480000,96910
2019-12-04,5.500000,5.500000,153585
2019-12-05,5.530000,5.480000,314807
2019-12-06,5.480000,5.530000,182212
2019-12-09,5.530000,5.530000,141106
2019-12-10,5.520000,5.500000,188968
2019-12-11,5.530000,5.590000,194063
2019-12-12,5.490000,5.440000,225636
2019-12-13,5.470000,5.465000,108174
2019-12-16,5.490000,5.490000,172935
2019-12-17,5.540000,5.550000,132704
2019-12-18,5.580000,5.555000,127825
2019-12-19,5.570000,5.600000,166871
2019-12-20,5.620000,5.600000,141893
2019-12-23,5.620000,5.630000,153861
2019-12-24,5.630000,5.585000,125712
2019-12-26,5.600000,5.600000,84806
2019-12-27,5.650000,5.600000,139784
2019-12-30,5.610000,5.650000,158595
2019-12-31,5.640000,5.660000,80149
2020-01-02,5.660000,5.650000,220369
2020-01-03,5.630000,5.670000,117205
