Date, Open, Close, High, Low, Volume
2018-01-02,60.550000,60.250000,61.500000,59.450000,69421
2018-01-03,60.100000,60.300000,60.650000,59.500000,45121
2018-01-04,60.500000,61.100000,61.800000,60.400000,61644
2018-01-05,61.300000,61.250000,61.650000,60.552500,25905
2018-01-08,61.150000,61.250000,61.350000,60.550000,57999
2018-01-09,61.250000,61.650000,62.000000,60.600000,115250
2018-01-10,61.700000,62.400000,62.400000,60.650000,76714
2018-01-11,62.350000,63.750000,63.800000,61.950000,72190
2018-01-12,63.650000,65.100000,65.200000,63.250000,136658
2018-01-16,65.350000,66.250000,66.800000,65.100000,190463
2018-01-17,66.750000,63.900000,66.750000,63.800000,102843
2018-01-18,64.100000,63.325000,64.510000,63.300000,49606
2018-01-19,63.450000,64.200000,64.700000,63.450000,70464
2018-01-22,64.350000,63.800000,64.376000,63.350000,67572
2018-01-23,63.700000,62.900000,64.850000,62.700000,63709
2018-01-24,63.050000,62.650000,63.450000,62.190500,54423
2018-01-25,62.800000,63.250000,63.400000,62.200000,55490
2018-01-26,63.350000,62.900000,63.850000,62.650000,97863
2018-01-29,62.600000,62.250000,63.250000,62.200000,30849
2018-01-30,61.850000,61.700000,62.200000,61.600000,37492
2018-01-31,62.000000,61.200000,62.250000,60.850000,37705
2018-02-01,60.800000,60.900000,61.550000,60.500000,62691
2018-02-02,60.550000,60.050000,60.902600,59.850000,59107
2018-02-05,59.900000,60.550000,60.600000,59.550000,175766
2018-02-06,59.650000,59.350000,60.316700,58.400000,196083
2018-02-07,60.900000,64.500000,65.950000,59.900000,126839
2018-02-08,64.550000,61.550000,65.300000,61.550000,97917
2018-02-09,62.000000,61.100000,63.400000,60.250000,99292
2018-02-12,61.400000,61.850000,62.200000,60.350000,63403
2018-02-13,61.500000,60.400000,62.200000,59.600000,169408
2018-02-14,60.000000,61.800000,61.850000,60.000000,70332
2018-02-15,62.300000,62.450000,63.050000,61.650000,45797
2018-02-16,62.100000,62.200000,63.300000,62.050000,47176
2018-02-20,61.900000,61.250000,62.750000,60.950000,55012
2018-02-21,61.500000,61.200000,62.400000,61.100000,50951
2018-02-22,61.250000,61.550000,61.950000,61.050000,39931
2018-02-23,62.000000,61.500000,62.300000,61.100000,23275
2018-02-26,61.800000,62.000000,62.200000,61.200000,26638
2018-02-27,61.850000,61.050000,62.800000,60.950000,37465
2018-02-28,61.200000,58.900000,61.800000,58.850000,119012
2018-03-01,58.900000,59.000000,59.850000,57.950000,109680
2018-03-02,58.600000,60.000000,60.200000,57.900000,97153
2018-03-05,59.600000,60.550000,60.900000,59.300000,75088
2018-03-06,60.900000,61.100000,62.000000,60.050000,42133
2018-03-07,60.800000,61.450000,61.850000,60.300000,40169
2018-03-08,61.750000,61.250000,61.750000,60.700000,23644
2018-03-09,61.600000,61.450000,61.900000,61.250000,99321
2018-03-12,61.550000,62.350000,63.050000,61.550000,57315
2018-03-13,62.600000,62.100000,63.400000,61.800000,39858
2018-03-14,62.250000,61.100000,62.250000,60.950000,115347
2018-03-15,61.200000,61.300000,61.875000,60.800000,26827
2018-03-16,61.250000,61.550000,61.650000,60.800000,91137
2018-03-19,61.500000,61.500000,62.150000,60.700000,44908
2018-03-20,61.650000,60.800000,62.500000,60.700000,26877
2018-03-21,60.900000,60.600000,61.150000,60.550000,39162
2018-03-22,60.200000,59.050000,60.750000,58.900000,36860
2018-03-23,59.050000,57.700000,60.050000,57.650000,35574
2018-03-26,58.400000,59.400000,59.550000,57.600000,36051
2018-03-27,59.350000,57.800000,59.450000,57.400000,47710
2018-03-28,57.800000,57.700000,58.100000,57.150000,30662
2018-03-29,57.950000,58.500000,59.200000,57.450000,48872
2018-04-02,58.150000,56.500000,58.300000,55.700000,61108
2018-04-03,56.700000,57.400000,58.300000,56.450000,29315
2018-04-04,56.700000,58.300000,58.450000,56.450000,44502
2018-04-05,58.400000,58.100000,58.800000,57.038800,32849
2018-04-06,57.750000,56.900000,58.000000,56.300000,30486
2018-04-09,57.250000,57.000000,57.825000,56.750000,70660
2018-04-10,57.550000,58.100000,58.450000,56.850000,40036
2018-04-11,57.750000,58.250000,58.400000,57.450000,31158
