Date, Open, Close, High, Low, Volume
2018-01-02,29.319900,29.260000,29.320000,29.100000,1407
2018-01-03,29.358200,29.352200,29.400000,29.257800,8537
2018-01-04,29.400000,29.290000,29.450000,27.000000,31961
2018-01-05,29.470000,29.394800,29.470000,29.290000,13353
2018-01-08,29.509000,29.539900,29.539900,29.391700,982
2018-01-09,29.484600,29.494700,29.517900,29.404000,1675
2018-01-10,29.750000,29.620000,29.750000,29.430000,2476
2018-01-11,29.729900,29.649900,29.730000,29.649200,894
2018-01-12,30.290000,29.769800,30.290000,29.548800,3786
2018-01-16,30.000000,29.718800,30.000000,29.662700,6523
2018-01-17,29.720000,29.670000,29.720000,29.600000,2527
2018-01-18,29.690000,29.690000,29.719500,29.627600,4287
2018-01-19,29.670000,29.710000,29.730000,29.670000,1417
2018-01-22,29.508800,29.730000,29.769900,29.508800,1018
2018-01-23,29.820000,29.900000,29.900000,29.795100,5096
2018-01-24,29.880000,30.040000,30.040000,29.754000,5276
2018-01-25,30.340000,29.890000,30.340000,29.857500,6923
2018-01-26,29.880000,29.820000,29.890000,29.770000,3183
2018-01-29,29.710000,29.584500,29.710000,29.550000,770
2018-01-30,29.530000,29.290000,29.530000,29.290000,5402
2018-01-31,29.260000,29.394800,29.420000,29.260000,1936
2018-02-01,29.520000,29.573000,29.573000,29.520000,1181
2018-02-02,29.249500,29.280000,29.350000,29.244000,1629
2018-02-05,29.300000,29.200000,29.310000,29.170000,857
2018-02-06,29.060000,29.010000,29.460000,28.930000,3749
2018-02-07,28.578000,28.539400,28.639900,28.532000,2387
2018-02-08,28.550000,28.580300,28.580300,28.500000,3218
2018-02-09,28.409900,28.310000,28.409900,28.270000,1178
2018-02-12,28.450000,28.390000,28.460000,28.324000,5130
2018-02-13,28.390000,28.437200,28.490000,28.330000,3621
2018-02-14,28.490000,28.780000,28.780000,28.390000,1650
2018-02-15,28.919000,28.958000,28.969900,28.750000,428
2018-02-16,28.989100,28.910100,29.265000,28.910100,1133
2018-02-20,29.200000,29.140000,29.200000,29.100000,760
2018-02-21,29.010000,29.170000,29.290000,29.010000,2355
2018-02-22,29.150000,29.262000,29.330000,29.150000,1258
2018-02-23,29.340000,29.470000,29.470000,29.340000,311
2018-02-26,29.321300,29.409800,29.510000,29.321300,1601
2018-02-27,29.420000,29.274000,29.420000,29.274000,947
2018-02-28,29.150000,28.945600,29.150000,28.945600,2808
2018-03-01,28.680000,28.730000,28.730000,28.595000,1654
2018-03-02,28.634500,28.770000,28.780000,28.634500,761
2018-03-05,28.910000,28.950000,28.950000,28.910000,679
2018-03-06,28.984800,28.960000,29.049900,28.910000,1740
2018-03-07,29.375000,28.721200,29.375000,28.635400,1010
2018-03-08,28.729900,28.604500,28.729900,28.604500,753
2018-03-09,28.740000,28.869900,28.910000,28.740000,1709
2018-03-12,28.789900,28.750000,28.790000,28.679500,2668
2018-03-13,28.790000,28.780000,28.790000,28.645600,2416
2018-03-14,28.780000,28.750000,28.800000,28.658900,345
2018-03-15,28.810000,28.799500,28.870000,28.700000,5064
2018-03-16,28.919000,28.870100,29.009900,28.870100,763
2018-03-19,28.890000,28.890000,28.940000,28.829800,852
2018-03-20,28.929900,28.989100,28.989100,28.900000,397
2018-03-21,29.160000,29.300000,29.380000,29.103400,2626
2018-03-22,29.180000,29.129000,29.180000,29.076500,1285
2018-03-23,29.290000,29.260000,29.290000,29.165000,1926
2018-03-26,29.270000,29.230000,29.400000,29.230000,2638
2018-03-27,29.240000,29.280000,29.310000,29.160000,2794
2018-03-28,29.090000,29.200000,29.220000,29.090000,897
2018-03-29,29.210000,29.314500,29.340000,29.070100,3688
2018-04-02,29.270000,29.175300,29.351100,29.150000,1339
2018-04-03,29.147400,29.134500,29.240000,29.070000,10263
2018-04-04,28.970000,28.930000,28.999900,28.840000,707
2018-04-05,28.940000,29.092200,29.130000,28.940000,2908
2018-04-06,29.080000,28.880000,29.080000,28.880000,3006
2018-04-09,29.030000,29.109900,29.119000,29.030000,1317
2018-04-10,29.260000,29.290000,29.310000,29.190000,866
2018-04-11,29.319500,29.240100,29.430000,29.240100,2721
2018-04-12,29.272400,29.360000,29.360000,29.210100,1551
2018-04-13,29.300000,29.370000,29.390000,29.272200,8268
2018-04-16,29.450000,29.410000,29.450000,29.308900,2967
2018-04-17,29.349800,29.400100,29.560000,29.349800,7887
2018-04-18,29.569500,29.650000,29.650000,29.450100,4705
2018-04-19,29.597900,29.510100,29.690000,29.510100,2513
2018-04-20,29.580000,29.594500,29.680000,29.535600,874
2018-04-23,29.649900,29.641500,29.740000,29.550000,881
2018-04-24,29.740000,29.640000,29.750000,29.595000,451
2018-04-25,29.562400,29.592300,29.640000,29.550000,1861
2018-04-26,29.729900,29.560100,29.729900,29.560100,606
2018-04-27,29.709700,29.710600,29.810000,29.648600,1708
2018-04-30,29.770000,29.580000,29.770000,29.580000,2056
2018-05-01,29.589900,29.501300,29.600000,29.431400,2767
2018-05-02,29.500000,29.400400,29.530000,29.350000,2374
2018-05-03,29.400400,29.484700,29.540000,29.335900,2383
2018-05-04,29.484700,29.510000,29.610000,29.360000,4141
2018-05-07,29.360000,29.640200,29.762800,29.360000,871
2018-05-08,29.643900,29.670000,29.670000,29.510100,3929
2018-05-09,29.670000,29.820000,29.820000,29.670000,1411
2018-05-10,29.667000,29.850000,29.860000,29.667000,3340
2018-05-11,29.850000,29.712100,29.872500,29.712100,1483
2018-05-14,29.940000,29.820000,29.970000,29.820000,2984
2018-05-15,29.860000,29.839800,29.900000,29.698000,2880
2018-05-16,29.840000,29.935600,29.980000,29.770100,2059
2018-05-17,29.930000,29.885000,30.060000,29.770000,4573
2018-05-18,29.973600,29.960000,30.020000,29.879800,4487
2018-05-21,30.050000,30.097700,30.180000,29.900000,3593
2018-05-22,30.240000,29.874700,30.240000,29.830000,7722
2018-05-23,29.783100,29.859200,29.940000,29.764500,3037
2018-05-24,29.860000,29.710100,29.900000,29.710100,1916
2018-05-25,29.710100,29.530000,29.710100,29.474400,6175
2018-05-29,29.670000,29.560000,29.670000,29.400100,13209
2018-05-30,29.670000,29.674400,30.500000,29.669200,3702
2018-05-31,29.700000,29.619200,29.700000,29.619200,844
2018-06-01,29.510000,29.518800,29.518800,29.500000,1032
2018-06-04,29.518800,29.398400,29.518800,29.376200,2389
2018-06-05,29.360000,29.338000,29.370000,29.200000,2412
2018-06-06,29.420000,29.330000,29.420000,29.170000,3402
2018-06-07,29.360000,29.280000,29.390000,29.200000,1215
2018-06-08,29.420000,29.470000,29.510000,29.400100,4054
2018-06-11,29.470000,29.410000,29.470000,29.300000,2478
2018-06-12,29.440000,29.330000,29.440000,29.250700,9567
2018-06-13,29.290000,29.379300,29.388600,29.170000,3546
2018-06-14,29.282300,29.204800,29.319900,29.140100,2911
2018-06-15,29.204800,28.870000,29.204800,28.770100,4245
2018-06-18,28.950000,29.030000,29.040000,28.780000,3027
2018-06-19,29.030000,28.930000,29.030000,28.780000,8455
2018-06-20,28.900000,28.870000,28.910000,28.770000,126757
2018-06-21,28.680000,28.780000,28.780000,28.581300,13801
2018-06-22,28.899300,29.090000,29.090000,28.899300,736
2018-06-25,29.090000,28.777400,29.090000,28.704600,158882
2018-06-26,28.777400,28.949300,28.960000,28.733500,1126
2018-06-27,29.010000,28.979300,29.050000,28.955000,1854
2018-06-28,0.000000,29.060000,29.060000,0.000000,518
2018-06-29,29.060000,29.129900,29.150000,29.035300,2132
2018-07-02,28.959100,28.920500,28.986700,28.869100,1027
2018-07-03,29.000000,28.840000,29.000000,28.720100,2626
2018-07-05,28.910000,28.899900,28.920000,28.770000,1419
2018-07-06,0.000000,28.839300,28.850000,0.000000,4040
2018-07-09,28.750000,28.874000,28.930000,28.750000,4639
2018-07-10,28.750000,29.000000,29.020000,28.750000,6884
2018-07-11,29.000000,28.760000,29.000000,28.651300,7031
2018-07-12,28.760000,28.779200,28.780000,28.610000,13797
2018-07-13,28.742600,28.807300,28.759000,28.690000,1695
2018-07-16,28.807300,28.673400,28.807300,28.590000,2836
2018-07-17,28.620000,28.544700,28.718200,28.518100,3452
2018-07-18,28.658100,28.800000,28.820000,28.617000,13032
2018-07-19,28.800000,28.545200,28.800000,28.545200,8619
2018-07-20,28.710000,28.584900,28.710000,28.550000,1474
2018-07-23,28.680000,28.613300,28.680000,28.500000,2569
2018-07-24,28.700000,28.678700,28.730000,28.644400,5064
2018-07-25,28.420000,28.640000,28.640000,28.420000,3074
2018-07-26,28.440000,28.680000,28.690000,28.340000,3043
2018-07-27,28.600000,28.620000,28.630000,28.480900,8685
2018-07-30,28.490000,28.570000,28.570000,28.435100,1807
2018-07-31,28.440000,28.600000,28.600000,28.440000,2643
2018-08-01,28.483100,28.513300,28.573100,28.483100,1542
2018-08-02,28.650000,28.730000,28.730000,28.572600,3410
2018-08-03,28.650000,28.540000,28.650000,28.450000,4996
2018-08-06,28.479000,28.510000,28.510000,28.460000,4780
2018-08-07,28.499900,28.610000,28.610000,28.499900,3051
2018-08-08,28.450000,28.459400,28.500000,28.380700,3870
2018-08-09,28.399900,28.293700,28.436400,28.290700,5608
