Date, Open, Close, High, Low, Volume
2018-01-02,22.360000,22.420000,23.050000,22.220000,39365
2018-01-03,22.540000,22.590000,22.670000,22.260000,11103
2018-01-04,22.590000,22.620000,22.869000,22.560000,11734
2018-01-05,22.500000,22.510000,22.760000,22.430000,8432
2018-01-08,22.440000,22.230000,22.440000,22.050000,13890
2018-01-09,21.970000,22.430000,22.540000,21.970000,14111
2018-01-10,22.580000,22.550000,22.678600,22.430000,9650
2018-01-11,22.600000,22.970000,23.184300,22.460000,14738
2018-01-12,23.490000,23.190000,23.520000,23.100000,3174
2018-01-16,23.390000,22.860000,23.449900,22.850000,10521
2018-01-17,22.970000,22.910000,23.140000,22.772900,6427
2018-01-18,22.880000,22.770000,22.930000,22.750000,2147
2018-01-19,22.740000,22.940000,23.000000,22.605000,5699
2018-01-22,22.830600,22.760000,22.960000,22.710000,3906
2018-01-23,22.820000,22.820000,22.900000,22.650000,3118
2018-01-24,22.760000,22.660000,22.802200,22.650000,6979
2018-01-25,22.820000,22.620000,22.820000,22.600000,2998
2018-01-26,23.000000,24.480000,24.480000,22.940000,24576
2018-01-29,24.000000,24.100000,24.479900,24.000000,26921
2018-01-30,24.090000,24.250000,24.480000,24.000000,20592
2018-01-31,24.180000,24.480000,24.845000,24.040000,35977
2018-02-01,24.310000,24.200000,24.410000,24.160000,6938
2018-02-02,24.130000,23.950000,24.450000,23.880000,4636
2018-02-05,23.800000,23.530000,24.120000,23.500000,18014
2018-02-06,23.230000,23.570000,23.780000,23.150000,15824
2018-02-07,23.390000,23.910000,24.120000,23.390000,11044
2018-02-08,23.900000,24.000000,24.209900,23.850000,32621
2018-02-09,24.160000,24.130000,24.210000,24.000000,17506
2018-02-12,24.100000,24.030000,24.200000,23.955000,28538
2018-02-13,24.000000,24.020000,24.070000,23.820000,13292
2018-02-14,24.000000,24.120000,24.250000,24.000000,21558
2018-02-15,24.320000,24.459000,24.510000,24.295000,19604
2018-02-16,24.370000,24.550000,24.880000,24.340000,4035
2018-02-20,24.520000,24.400000,24.740000,24.230000,9364
2018-02-21,24.510000,24.550000,25.000000,24.510000,36228
2018-02-22,24.750000,24.450000,24.910000,24.120000,5060
2018-02-23,24.470000,24.540000,24.560000,24.210000,4236
2018-02-26,24.580000,24.620000,24.720000,24.380000,8648
2018-02-27,24.650000,24.310000,24.650000,24.300000,12626
2018-02-28,24.390000,24.050000,24.760000,23.780000,12170
2018-03-01,24.100000,24.240000,24.470000,24.100000,11576
2018-03-02,24.200000,24.380000,24.440000,24.060000,21867
2018-03-05,24.250000,24.540000,24.550000,24.110000,11627
2018-03-06,24.490000,24.470000,24.880000,24.000000,15346
2018-03-07,24.420000,24.610000,24.970000,24.420000,5311
2018-03-08,23.530000,24.580000,24.760000,23.530000,5627
2018-03-09,24.670000,24.890000,24.934400,24.260000,14716
2018-03-12,24.950000,24.890000,25.000000,24.640000,4981
2018-03-13,25.000000,24.830000,25.310000,24.671400,16936
2018-03-14,25.070000,25.320000,25.370000,24.550000,5475
2018-03-15,25.120000,25.480000,25.480000,24.880000,6661
2018-03-16,25.370000,25.860000,25.930000,25.220000,23374
2018-03-19,25.600000,25.870000,25.990000,24.774000,11303
2018-03-20,25.730000,25.570000,26.000000,25.050000,9730
2018-03-21,25.400000,25.500000,25.930000,25.150000,5684
2018-03-22,25.270000,25.170000,25.824800,24.710000,7658
2018-03-23,25.080000,24.375000,25.670000,24.375000,7581
2018-03-26,24.780000,25.090000,25.260000,24.230000,10957
2018-03-27,25.000000,25.160000,25.580000,25.000000,4254
2018-03-28,25.100000,25.090000,25.280000,25.000000,15666
2018-03-29,25.320000,25.190000,25.700000,25.130000,3351
2018-04-02,25.010000,24.920000,25.380000,24.720100,16518
2018-04-03,24.900000,25.120000,25.500000,24.620000,2316
2018-04-04,24.890000,25.370000,25.500000,24.650000,3819
2018-04-05,25.530000,25.440000,25.830000,24.650000,8441
2018-04-06,25.510000,25.280000,25.790000,24.880000,6109
2018-04-09,24.700000,25.630000,25.749900,24.400100,3733
2018-04-10,25.560000,25.400000,25.560000,24.740000,2389
2018-04-11,25.340000,25.500000,25.790000,25.220000,6459
2018-04-12,25.270000,25.560000,25.800000,25.000000,1200
2018-04-13,25.600000,25.540000,25.750000,25.040000,4197
2018-04-16,25.340000,25.610000,25.950000,24.980000,2097
2018-04-17,25.300000,25.670000,25.900000,25.240000,4679
2018-04-18,25.440000,25.660000,25.790000,24.900000,3627
2018-04-19,25.300000,25.620000,25.880000,24.900000,5823
2018-04-20,25.390000,26.320000,26.360000,24.920000,6157
2018-04-23,25.880000,26.310000,26.449500,25.260000,1897
2018-04-24,25.810000,25.700000,26.160000,24.680000,6457
2018-04-25,25.710000,25.430000,25.740000,25.021000,3539
2018-04-26,25.300000,25.150000,25.889000,25.050000,4732
2018-04-27,25.790000,25.810000,26.739900,25.500000,12759
2018-04-30,26.090000,25.970000,26.950000,0.000000,31651
2018-05-01,25.990000,26.000000,26.100000,25.340000,7644
2018-05-02,26.020000,25.990000,26.400000,25.160000,21609
2018-05-03,26.000000,25.670000,26.850000,25.650000,2437
2018-05-04,25.720000,25.990000,26.490000,25.430000,5304
2018-05-07,26.000000,25.800000,26.400000,25.710000,6458
2018-05-08,25.980000,25.950000,26.080000,25.520000,5349
2018-05-09,25.960000,25.790000,26.390000,25.780000,10188
2018-05-10,26.000000,25.940000,26.240000,25.670000,10265
2018-05-11,25.970000,25.820000,25.990000,25.570000,6000
2018-05-14,25.900000,25.590000,25.900000,25.440000,3978
2018-05-15,25.550000,25.860000,25.940000,25.430000,18019
2018-05-16,0.000000,25.960000,26.100000,0.000000,10062
2018-05-17,26.000000,26.000000,26.266000,25.784700,9398
2018-05-18,26.000000,26.160000,26.490000,25.680000,39513
2018-05-21,26.100000,25.820000,26.320000,25.820000,16715
2018-05-22,25.850000,25.970000,26.320000,25.780000,10563
2018-05-23,26.000000,26.000000,26.260000,25.620000,24359
2018-05-24,26.000000,26.000000,26.160000,25.650000,9323
2018-05-25,26.000000,25.990000,26.100000,25.740000,7028
2018-05-29,26.040000,25.800000,26.050000,25.700000,8313
2018-05-30,25.910000,25.800000,26.190000,25.744800,10465
2018-05-31,25.790000,25.970000,26.160000,25.600000,10873
2018-06-01,26.000000,26.000000,26.500000,25.925000,21923
2018-06-04,26.060000,26.050000,26.480000,25.760000,8011
2018-06-05,25.730000,26.400000,26.440000,25.600000,7616
2018-06-06,26.330000,26.470000,26.640000,26.000000,6056
2018-06-07,26.400000,26.100000,26.830000,26.020000,26606
2018-06-08,26.100000,26.170000,26.370000,25.810000,8496
2018-06-11,25.990000,26.380000,26.630000,25.930000,7156
2018-06-12,26.370000,26.220000,26.539900,25.740100,4417
2018-06-13,25.870000,26.130000,26.337100,25.370000,43835
2018-06-14,26.100000,25.990000,26.200000,25.891000,6032
2018-06-15,25.830000,25.960000,26.320000,25.680000,14756
2018-06-18,25.660000,25.990000,26.500000,25.660000,15117
2018-06-19,26.130000,26.380000,26.500000,25.800000,53612
2018-06-20,26.300000,26.230000,26.800000,26.141000,23833
2018-06-21,26.180000,26.200000,26.800000,26.180000,31093
2018-06-22,26.230000,25.990000,26.670000,25.810000,25183
2018-06-25,25.980000,26.200000,26.630000,25.240000,13495
2018-06-26,26.250000,26.130000,26.550000,25.930100,13728
2018-06-27,26.160000,25.920000,26.500000,25.860000,11574
2018-06-28,25.910000,26.140000,26.250000,25.710000,4709
2018-06-29,26.050000,26.030000,26.550000,25.850000,7510
2018-07-02,25.920000,25.990000,26.290000,25.660000,10838
2018-07-03,25.990000,25.870000,26.810000,25.430000,7665
2018-07-05,26.010000,25.900000,26.450000,25.900000,13685
2018-07-06,25.980000,25.840000,26.280000,0.000000,7182
2018-07-09,26.000000,25.970000,26.480000,0.000000,11153
2018-07-10,26.000000,25.980000,26.330000,25.950000,10573
2018-07-11,25.980000,25.760000,26.080000,25.760000,3527
2018-07-12,25.850000,25.830000,25.850000,25.620000,4012
2018-07-13,25.780000,25.240000,25.780000,25.160000,11375
2018-07-16,25.280000,25.230000,25.520000,0.000000,4423
2018-07-17,25.350000,25.510000,25.520000,25.060000,3841
2018-07-18,25.460000,25.490000,25.500000,25.184000,8193
2018-07-19,25.100000,25.000000,25.370000,24.710000,10365
2018-07-20,24.810000,24.730000,25.220000,24.660000,5531
2018-07-23,24.690000,25.140000,25.180000,24.580000,1942
2018-07-24,24.880000,24.710000,24.965000,24.700000,6449
2018-07-25,24.745900,24.330000,24.840000,24.310000,8792
2018-07-26,24.470000,24.690000,24.790000,24.470000,1890
2018-07-27,24.420000,23.950000,24.620000,23.810000,5668
2018-07-30,23.967600,23.660000,24.030000,23.660000,1828
2018-07-31,23.660000,23.570000,23.770000,23.510000,3946
2018-08-01,23.970000,24.160000,25.185000,23.970000,4738
2018-08-02,24.084800,23.990000,24.590000,23.925000,3372
2018-08-03,23.890000,23.610000,24.060100,23.540000,7487
2018-08-06,23.550000,23.171900,23.550000,23.160000,8127
2018-08-07,23.160000,23.160000,23.300000,23.160000,1400
2018-08-08,23.110000,23.110000,23.165000,23.110000,4500
2018-08-09,23.209900,23.105000,23.209900,23.010000,3048
2018-08-10,23.010000,22.810000,23.100000,22.810000,5051
2018-08-13,22.840000,22.845000,22.930000,22.610000,5216
2018-08-14,22.830000,22.550000,22.840000,22.503000,10946
2018-08-15,22.995300,22.425000,22.995300,22.425000,2494
2018-08-16,22.390000,22.300000,22.505000,22.120000,15673
2018-08-17,22.120000,22.170000,22.300000,22.080000,10671
2018-08-20,21.920000,22.000000,22.149100,21.910000,5607
2018-08-21,21.910000,22.200000,22.200000,21.860000,6042
2018-08-22,22.000000,22.030000,22.100000,21.810000,6916
2018-08-23,21.920000,21.940000,22.050000,21.910000,8607
2018-08-24,21.920000,21.750000,21.920000,21.735000,6582
2018-08-27,21.750000,21.827500,21.980000,21.741000,8985
2018-08-28,22.380000,22.260000,22.757000,22.230000,11088
2018-08-29,22.316100,22.250000,22.490000,22.200000,6099
2018-08-30,22.200000,22.140000,22.220000,21.970000,16134
2018-08-31,22.070000,22.120000,22.300000,22.020000,12872
2018-09-04,22.110000,22.460000,22.500000,22.110000,36273
2018-09-05,22.460000,22.360000,22.500000,22.310000,13241
2018-09-06,22.360000,22.460000,22.600000,22.360000,7154
2018-09-07,22.440000,22.845000,22.870000,22.440000,2640
2018-09-10,22.870000,22.770000,22.870000,22.710000,5930
2018-09-11,22.800000,22.620000,22.800000,22.610000,5925
2018-09-12,22.580000,22.400000,22.590000,22.360000,27111
2018-09-13,22.220000,22.700000,22.710000,22.210000,13791
2018-09-14,22.070000,22.690000,22.720000,22.070000,8994
2018-09-17,22.780000,22.780000,22.780000,22.500000,54263
2018-09-18,22.760000,22.630000,22.760000,22.620000,10722
2018-09-19,22.560000,22.750000,22.990000,22.420000,29795
2018-09-20,22.900000,23.010000,23.010000,22.690000,17473
2018-09-21,22.890000,23.800000,23.880000,22.708000,38006
2018-09-24,23.650000,23.360000,23.710000,23.100000,17102
2018-09-25,23.250000,23.690000,23.765000,23.100000,32316
2018-09-26,23.310000,23.170000,23.505800,23.150000,13548
2018-09-27,23.140000,23.100000,23.400000,23.100000,14450
2018-09-28,23.090000,23.000000,23.460000,23.000000,7741
2018-10-01,23.270000,22.740000,23.270000,22.730000,9191
2018-10-02,22.590000,22.520000,22.590000,21.975000,22626
2018-10-03,22.550000,22.420000,22.600000,22.220000,24302
2018-10-04,22.450000,22.400000,22.987500,22.400000,3169
2018-10-05,22.450000,22.450000,23.195000,22.450000,4184
2018-10-08,22.740000,22.830000,22.930000,22.400000,23520
2018-10-09,22.940000,22.270000,22.940000,22.040000,7477
2018-10-10,22.152700,22.170000,22.515000,22.150000,11933
2018-10-11,22.090000,21.760000,22.550000,21.730000,10994
2018-10-12,22.060000,21.510000,22.060000,20.840000,24924
