Date, Open, Close, High, Low, Volume
2018-01-02,25.570000,25.560000,25.600000,25.530000,29520
2018-01-03,25.660000,25.730000,25.750000,25.630000,12123
2018-01-04,25.990000,25.990000,25.990000,25.990000,1624
2018-01-05,26.040000,26.160000,26.160000,26.030000,15840
2018-01-08,26.080000,26.020000,26.080000,26.020000,126
2018-01-09,26.010000,26.000000,26.010000,26.000000,301
2018-01-10,26.059900,26.059900,26.059900,26.059900,9
2018-01-11,26.200000,26.210000,26.210000,26.197200,4077
2018-01-12,26.450000,26.540000,26.540000,26.435700,1533
2018-01-16,26.640000,26.620000,26.640000,26.620000,5402
2018-01-17,26.520000,26.710000,26.770000,26.520000,17700
2018-01-18,26.650000,26.670000,26.710000,26.626300,1015
2018-01-19,26.750000,26.769900,26.769900,26.750000,760
2018-01-22,26.860000,27.000000,27.000000,26.780000,53155
2018-01-23,27.000000,27.045000,27.045000,26.982500,9932
2018-01-24,27.278600,27.190000,27.278600,27.110000,6154
2018-01-25,27.190000,27.000000,27.190000,27.000000,121664
2018-01-26,27.170000,27.206800,27.220000,27.150000,984
2018-01-29,27.040000,26.940000,27.040000,26.906900,18007
2018-01-30,26.880000,26.830000,26.880000,26.830000,1975
2018-01-31,26.900000,26.810000,26.900000,26.810000,1626
2018-02-01,26.780000,26.850000,26.850000,26.780000,475
2018-02-02,26.550000,26.240000,26.550000,26.240000,4103
2018-02-05,25.850000,25.030000,25.882300,25.030000,11787
2018-02-06,24.940000,25.530000,25.530000,24.940000,4303
2018-02-07,25.700000,25.340000,25.700000,25.340000,6253
2018-02-08,25.250000,24.751000,25.250000,24.751000,10746
2018-02-09,24.900000,24.600000,24.900000,24.290000,3427
2018-02-12,25.000000,25.100000,25.100000,24.970000,5220
2018-02-13,25.050000,25.050000,25.060000,25.050000,400
2018-02-14,25.320000,25.510000,25.510000,25.320000,1600
2018-02-15,25.680000,25.610000,25.680000,25.590000,2425
2018-02-16,25.770000,25.860000,25.860000,25.770000,1600
2018-02-20,25.580000,25.530000,25.580000,25.530000,900
2018-02-21,25.520100,25.530400,25.590000,25.520100,2315
2018-02-22,25.560000,25.572300,25.572300,25.560000,2100
2018-02-26,25.700000,25.830000,25.840000,25.700000,32374
2018-02-27,25.480000,25.470000,25.480000,25.470000,3375
2018-02-28,25.310100,25.310100,25.310100,25.310100,262
2018-03-01,25.030000,24.950000,25.040000,24.950000,2600
2018-03-02,24.820000,24.789900,24.820000,24.730000,1375
2018-03-05,24.660000,25.014500,25.014500,24.660000,4261
2018-03-06,25.210000,25.151000,25.210000,25.151000,901
2018-03-07,25.210000,25.199900,25.210000,25.199900,502
2018-03-08,25.310000,25.310000,25.310000,25.310000,3000
2018-03-09,25.430000,25.460000,25.460000,25.430000,1753
2018-03-12,25.470000,25.464800,25.470000,25.464800,1650
2018-03-13,25.490000,25.320000,25.490000,25.300000,702
2018-03-14,25.350000,25.339900,25.350000,25.234200,4212
2018-03-15,25.320000,25.340000,25.370000,25.320000,2439
2018-03-16,25.380000,25.359900,25.380000,25.359900,2300
2018-03-19,25.240000,25.210000,25.240000,25.210000,2986
2018-03-20,25.190000,25.230000,25.230000,25.188000,900
2018-03-21,25.190000,25.190000,25.190000,25.190000,4000
2018-03-22,24.840000,24.850000,24.850000,24.839900,500
2018-03-23,24.790000,24.690000,24.790000,24.690000,893
2018-03-26,24.929900,24.870100,24.929900,24.770000,2723
2018-03-27,25.050000,24.610000,25.060000,24.610000,12668
2018-03-28,24.990000,25.113000,25.113000,24.990000,1863
2018-03-29,25.099900,25.039900,25.099900,25.039900,376
2018-04-02,25.129900,24.730000,25.129900,24.658100,3817
2018-04-04,24.760000,24.970000,24.970000,24.760000,15100
2018-04-05,25.299900,25.299900,25.299900,25.299900,6
2018-04-06,25.200000,25.084900,25.259900,25.081000,1846
2018-04-09,25.390000,25.390000,25.390000,25.390000,2100
2018-04-10,25.680000,25.630000,25.720000,25.590000,7019
2018-04-11,25.670000,25.589800,25.670000,25.589800,3225
2018-04-12,25.570000,25.710000,25.710000,25.550000,13909
2018-04-13,25.700000,25.680000,25.700000,25.680000,3000
2018-04-16,25.759900,25.732500,25.759900,25.725500,944
2018-04-17,25.800000,25.940000,25.940000,25.790000,70044
2018-04-18,26.039100,26.050000,26.050000,26.039100,303
2018-04-19,25.960100,25.919200,26.069900,25.919200,855
2018-04-20,25.810000,25.860000,25.880000,25.809900,2396
2018-04-23,25.880000,25.789900,25.880000,25.740000,17891
2018-04-24,25.859100,25.639900,25.859100,25.639900,1729
2018-04-25,25.799000,25.490000,25.799000,25.440000,558
2018-04-26,25.660000,25.800000,25.800000,25.600000,2784
2018-04-27,25.800000,25.800000,25.800000,25.680000,491
2018-04-30,25.780000,25.700000,25.780000,25.680000,765
