Date, Open, Close, High, Low, Volume
2018-01-02T05:00:00Z,3.880000,3.760000,3.900000,3.750000,50246
2018-01-03T05:00:00Z,3.740000,3.460000,3.740000,3.450000,197471
2018-01-04T05:00:00Z,3.450000,3.660000,3.690000,3.210000,107672
2018-01-05T05:00:00Z,3.670000,3.630000,3.679900,3.495100,23828
2018-01-08T05:00:00Z,3.630000,3.790000,3.810000,3.580000,73305
2018-01-09T05:00:00Z,3.780000,3.850000,3.860000,3.700000,59387
2018-01-10T05:00:00Z,3.810000,3.750000,3.810000,3.707500,30937
2018-01-11T05:00:00Z,3.780000,3.740000,3.780000,3.680000,30631
2018-01-12T05:00:00Z,3.730000,3.605600,3.730000,3.560000,55701
2018-01-16T05:00:00Z,3.590000,3.720000,3.740000,3.560000,58616
2018-01-17T05:00:00Z,3.710000,3.611000,3.710000,3.539900,35839
2018-01-18T05:00:00Z,3.620000,3.540000,3.599900,3.500000,20310
2018-01-19T05:00:00Z,3.530000,3.630000,3.670000,3.411000,34145
2018-01-22T05:00:00Z,3.630000,3.531000,3.660000,3.480000,33268
2018-01-23T05:00:00Z,3.580000,3.571000,3.620000,3.515600,19440
2018-01-24T05:00:00Z,3.620000,3.580000,3.620000,3.510000,7961
2018-01-25T05:00:00Z,3.610000,3.450000,3.610000,3.450000,14828
2018-01-26T05:00:00Z,3.340000,3.210000,3.520000,3.110000,512927
2018-01-29T05:00:00Z,3.210000,3.370000,3.390000,3.200100,35897
2018-01-30T05:00:00Z,3.360000,3.320000,3.360000,3.320000,22249
2018-01-31T05:00:00Z,3.350000,3.360000,3.420000,3.350000,46230
2018-02-01T05:00:00Z,3.380000,3.430000,3.440000,3.275000,104762
2018-02-02T05:00:00Z,3.400000,3.300000,3.469900,3.255000,113447
2018-02-05T05:00:00Z,3.390000,3.220000,3.430000,3.180500,63675
2018-02-06T05:00:00Z,3.180000,3.210000,3.390000,3.180000,43657
2018-02-07T05:00:00Z,3.220000,3.270000,3.300000,3.170000,35293
2018-02-08T05:00:00Z,3.270000,3.110000,3.260000,3.081000,37611
2018-02-09T05:00:00Z,3.140000,3.090000,3.200000,3.000000,64662
2018-02-12T05:00:00Z,3.130000,3.110000,3.180000,3.050000,36926
