Date, Open, Close, High, Low, Volume
2018-01-02,3.880000,3.950000,3.950000,3.830000,5959117
2018-01-03,3.990000,3.990000,4.080000,3.950000,6501577
2018-01-04,4.100000,4.150000,4.210000,4.070000,11034017
2018-01-05,4.130000,4.130000,4.160000,4.070000,10432304
2018-01-08,4.160000,4.290000,4.310000,4.140000,15051268
2018-01-09,4.260000,4.310000,4.380000,4.220100,41591242
2018-01-10,4.210000,4.290000,4.350000,4.180000,16575479
2018-01-11,4.360000,4.630000,4.690000,4.340000,22589567
2018-01-12,4.640000,4.660000,4.790000,4.540000,20730378
2018-01-16,4.610000,4.530000,4.630000,4.480000,14388788
2018-01-17,4.490000,4.655000,4.710000,4.460700,14949821
2018-01-18,4.680000,4.445000,4.710000,4.412300,15544569
2018-01-19,4.420000,4.420000,4.470000,4.280000,14020701
2018-01-22,4.400000,4.380000,4.470000,4.350000,8536895
2018-01-23,4.210000,4.260000,4.289000,4.180000,9897666
2018-01-24,4.420000,4.520000,4.550000,4.390000,15555914
2018-01-25,4.500000,4.530000,4.720000,4.480000,8696970
2018-01-26,4.530000,4.690000,4.745000,4.510000,9357906
2018-01-29,4.650000,4.570000,4.680000,4.560000,8098857
2018-01-30,4.550000,4.610000,4.620000,4.470000,8306668
2018-01-31,4.750000,4.490000,4.780000,4.475000,19437301
2018-02-01,4.560000,4.530000,4.690000,4.500000,18409492
2018-02-02,4.550000,4.430000,4.640000,4.420000,27393495
2018-02-05,4.420000,4.200000,4.470000,4.120000,16830906
2018-02-06,4.190000,4.435000,4.500000,4.160000,15523652
2018-02-07,4.410000,4.270000,4.480000,4.260000,7813866
2018-02-08,4.370000,4.130000,4.370000,4.120000,9053086
2018-02-09,4.200000,4.300000,4.320000,4.050000,9998408
2018-02-12,4.290000,4.370000,4.440000,4.260000,6126779
2018-02-13,4.340000,4.380000,4.440000,4.330000,3555184
2018-02-14,4.320000,4.660000,4.670000,4.280000,9172563
2018-02-15,4.650000,4.675000,4.680000,4.530000,8059368
2018-02-16,4.560000,5.000000,5.030000,4.550000,29226392
2018-02-20,4.980000,4.925000,5.070000,4.860000,15517087
2018-02-21,5.070000,4.940000,5.135000,4.920000,18822516
2018-02-22,5.050000,4.930000,5.110000,4.920000,10645900
2018-02-23,4.960000,5.110000,5.110000,4.950000,8534514
2018-02-26,5.210000,5.250000,5.260000,5.130000,7418732
2018-02-27,5.260000,5.085000,5.280000,5.070000,8607222
2018-02-28,5.280000,5.000000,5.310000,4.990000,18250588
2018-03-01,5.190000,5.230000,5.300000,5.150000,17205554
2018-03-02,5.050000,5.170000,5.225000,4.925000,16181457
2018-03-05,5.120000,5.200000,5.290000,5.095000,11591811
2018-03-06,5.310000,5.040000,5.320000,5.030000,16474609
2018-03-07,5.060000,5.130000,5.130000,4.880000,11123514
2018-03-08,5.020000,4.890000,5.040000,4.810000,14526944
2018-03-09,4.990000,4.920000,5.020000,4.850000,10606220
2018-03-12,4.940000,4.985000,4.995000,4.910000,6286717
2018-03-13,5.030000,4.940000,5.105000,4.910000,8268985
2018-03-14,5.030000,4.840000,5.060000,4.830000,6640962
2018-03-15,4.790000,4.675000,4.830000,4.650000,10970779
2018-03-16,4.620000,4.695000,4.740000,4.610000,11034710
2018-03-19,4.570000,4.550000,4.670000,4.500000,10322072
2018-03-20,4.570000,4.705000,4.785000,4.510000,22912857
2018-03-21,4.750000,4.835000,4.840000,4.710100,8428846
2018-03-22,4.730000,4.580000,4.785000,4.550000,13537583
2018-03-23,4.610000,4.480000,4.640000,4.470000,11140411
2018-03-26,4.620000,4.570000,4.630000,4.480000,7078965
2018-03-27,4.580000,4.480000,4.600000,4.445000,4595262
2018-03-28,4.390000,4.450000,4.460000,4.270000,9017197
2018-03-29,4.530000,4.665000,4.710000,4.530000,6246318
2018-04-02,4.660000,4.660000,4.770000,4.600000,4293550
2018-04-03,4.700000,4.690000,4.750000,4.650000,3340289
2018-04-04,4.530000,4.545000,4.605000,4.485000,5039318
2018-04-05,4.700000,4.850000,4.890000,4.700000,10644895
2018-04-06,4.790000,4.720000,4.880000,4.680000,10203171
2018-04-09,4.730000,4.550000,4.770000,4.550000,8994454
2018-04-10,4.650000,4.690000,4.720000,4.550000,8707980
2018-04-11,4.690000,4.680000,4.775000,4.650000,6831309
2018-04-12,4.720000,4.785000,4.830000,4.690000,3506347
2018-04-13,4.840000,4.760000,4.860000,4.730000,5143678
2018-04-16,4.770000,4.750000,4.770000,4.660000,6819461
2018-04-17,4.790000,4.880000,4.920000,4.775000,6230548
2018-04-18,5.040000,5.060000,5.130000,5.000000,6466160
2018-04-19,5.050000,5.020000,5.090000,4.940000,5453501
2018-04-20,5.000000,4.895000,5.010000,4.865000,5986292
2018-04-23,4.840000,4.810000,4.880000,4.790000,5072789
2018-04-24,4.830000,4.790000,4.915000,4.730000,5076639
2018-04-25,4.700000,4.755000,4.810000,4.620000,8036725
2018-04-26,4.780000,4.850000,4.890000,4.740000,3116179
2018-04-27,4.900000,4.745000,4.915000,4.740000,8148260
2018-04-30,4.760000,4.680000,4.790000,4.680000,3343780
2018-05-01,4.580000,4.575000,4.610000,4.470000,4340202
2018-05-02,4.660000,4.530000,4.670000,4.521000,4592517
2018-05-03,4.550000,4.615000,4.670000,4.510000,7784081
2018-05-04,4.620000,4.710000,4.770000,4.620000,3555313
2018-05-07,4.730000,4.540000,4.740000,4.540000,6839761
2018-05-08,4.530000,4.535000,4.600000,4.425000,10976818
2018-05-09,4.730000,4.790000,4.790000,4.670000,10550540
2018-05-10,4.910000,4.990000,5.030000,4.890000,10342662
2018-05-11,4.930000,4.865000,5.050000,4.845000,7362482
2018-05-14,4.960000,4.820000,4.970000,4.805000,4411791
2018-05-15,4.670000,4.840000,4.840000,4.650000,7835719
2018-05-16,4.890000,4.940000,4.960000,4.850000,8481500
2018-05-17,4.900000,4.810000,4.995000,4.785000,8851984
2018-05-18,4.760000,4.695000,4.840000,4.665000,5015783
2018-05-21,4.810000,4.650000,4.840000,4.620000,7614346
2018-05-22,4.650000,4.615000,4.740000,4.560000,8337476
2018-05-23,4.540000,4.555000,4.600000,4.470000,5309673
2018-05-24,4.500000,4.500000,4.580000,4.480000,21164364
2018-05-25,4.480000,4.330000,4.500000,4.220000,21722596
2018-05-29,4.080000,4.010000,4.210000,3.990000,19480848
2018-05-30,4.030000,3.945000,4.050000,3.880000,15661317
2018-05-31,3.990000,3.930000,4.055000,3.925000,6212191
2018-06-01,4.010000,4.090000,4.100000,3.900000,16786393
2018-06-04,4.140000,4.240000,4.260000,4.110000,15013128
2018-06-05,4.320000,4.240000,4.380000,4.190000,14455502
2018-06-06,4.240000,4.175000,4.295000,4.130000,11354052
2018-06-07,4.060000,3.785000,4.070000,3.520000,22146365
2018-06-08,3.860000,3.835000,3.945000,3.690000,10459075
2018-06-11,3.970000,3.800000,3.975000,3.790000,8748640
2018-06-12,3.850000,3.884900,3.930000,3.820000,7409309
2018-06-13,3.870000,3.880000,3.950000,3.760000,10048653
2018-06-14,3.890000,3.735000,3.910000,3.700000,6128369
2018-06-15,3.730000,3.720000,3.740000,3.630000,8213528
2018-06-18,3.660000,3.770000,3.780000,3.610000,8737707
2018-06-19,3.660000,3.720000,3.765000,3.603000,14168169
2018-06-20,3.810000,3.890000,3.935000,3.730000,19428703
2018-06-21,3.850000,3.680000,3.880000,3.670000,8838051
2018-06-22,3.790000,3.755000,3.795000,3.640000,9736501
2018-06-25,3.760000,3.650000,3.770000,3.560000,10494622
2018-06-26,3.630000,3.510000,3.640000,3.500000,8066322
2018-06-27,3.520000,3.460000,3.580000,3.365000,10723433
2018-06-28,3.480000,3.600000,3.630000,3.415000,16600563
2018-06-29,3.630000,3.550000,3.662600,3.500000,9842878
2018-07-02,3.470000,3.525000,3.570000,3.460000,7437864
2018-07-03,3.590000,3.585000,3.680000,3.550000,7231219
2018-07-05,3.800000,3.810000,3.870000,3.680000,20656748
2018-07-06,3.780000,3.950000,4.010000,3.760100,18942400
2018-07-09,3.970000,4.000000,4.060000,3.900000,6721829
2018-07-10,4.040000,3.970000,4.056000,3.925000,12385705
2018-07-11,3.900000,3.825000,3.930000,3.780000,9876921
2018-07-12,3.870000,4.005000,4.030000,3.840000,8110348
2018-07-13,4.000000,4.000000,4.055000,3.945000,3008664
2018-07-16,3.970000,4.020000,4.033600,3.900000,7479321
2018-07-17,4.040000,4.150000,4.220000,4.020000,8655502
2018-07-18,4.200000,4.200000,4.260000,4.120000,7348029
2018-07-19,4.070000,4.090000,4.100000,3.975000,7007480
2018-07-20,4.240000,4.220000,4.300000,4.190000,10564342
2018-07-23,4.260000,4.275000,4.310000,4.240000,6477932
2018-07-24,4.470000,4.430000,4.500000,4.390000,9149170
2018-07-25,4.450000,4.440000,4.495000,4.365000,8687771
2018-07-26,4.410000,4.310000,4.410000,4.280000,7820776
2018-07-27,4.380000,4.475000,4.500000,4.365000,7591207
2018-07-30,4.530000,4.520000,4.550000,4.470000,4180901
2018-07-31,4.490000,4.405000,4.540000,4.360000,8065637
2018-08-01,4.370000,4.320000,4.460000,4.320000,13847762
2018-08-02,4.260000,4.415000,4.445000,4.240000,9271378
2018-08-03,4.460000,4.555000,4.590000,4.400000,5866354
2018-08-06,4.540000,4.490000,4.570000,4.470000,4102922
2018-08-07,4.560000,4.390000,4.565000,4.370000,9109293
2018-08-08,4.620000,4.560000,4.625000,4.440000,15518221
2018-08-09,4.520000,4.350000,4.530000,4.313400,8145093
2018-08-10,4.170000,4.125000,4.175000,4.040000,13363361
2018-08-13,4.100000,4.020000,4.140000,3.925000,8201905
2018-08-14,4.100000,4.150000,4.150000,4.055000,7344794
2018-08-15,4.050000,3.940000,4.076300,3.940000,8281447
2018-08-16,4.040000,3.910000,4.045000,3.905000,6060843
2018-08-17,3.880000,3.960000,3.990000,3.820000,9674133
2018-08-20,4.000000,4.060000,4.087000,3.960000,6186214
2018-08-21,4.020000,3.925000,4.080000,3.900000,8961155
2018-08-22,3.860000,4.000000,4.000000,3.850000,6653335
2018-08-23,3.980000,3.775000,4.015000,3.770000,6235166
2018-08-24,3.900000,3.845000,3.911000,3.800000,4537870
2018-08-27,3.860000,3.920000,3.950000,3.860000,6005540
2018-08-28,3.890000,3.910000,3.920000,3.810000,9024614
2018-08-29,3.910000,3.930000,4.000000,3.880000,6688958
2018-08-30,3.930000,3.800000,3.940000,3.763400,6438073
2018-08-31,3.800000,3.900000,3.945000,3.750000,7399201
2018-09-04,3.740000,3.710000,3.775000,3.680000,8627239
2018-09-05,3.680000,3.720000,3.770000,3.645000,8048409
2018-09-06,3.760000,3.825000,3.846300,3.730000,8704894
2018-09-07,3.880000,3.890000,3.950000,3.770000,6923556
2018-09-10,3.890000,3.790000,3.910000,3.775000,7427439
2018-09-11,3.650000,3.630000,3.690000,3.590000,15044696
2018-09-12,3.710000,3.700000,3.735000,3.640000,6609652
2018-09-13,3.670000,3.630000,3.730000,3.630000,11338709
2018-09-14,3.690000,3.680000,3.710000,3.600000,3732330
2018-09-17,3.700000,3.810000,3.840000,3.700000,7643466
2018-09-18,3.800000,4.050000,4.050000,3.800000,14715628
2018-09-19,4.060000,4.050000,4.170000,4.030000,11358466
2018-09-20,4.150000,4.140000,4.160000,4.060000,7675061
2018-09-21,4.160000,4.210000,4.250000,4.145000,8098317
2018-09-24,4.200000,4.040000,4.240000,4.040000,6955816
2018-09-25,3.980000,4.270000,4.290000,3.980000,12378273
2018-09-26,4.330000,4.220000,4.345000,4.200000,10543879
2018-09-27,4.290000,4.300000,4.310000,4.185000,11969826
2018-09-28,4.240000,4.210000,4.320000,4.190000,10376040
2018-10-01,4.220000,4.150000,4.255000,4.111700,14406624
2018-10-02,4.320000,4.230000,4.360000,4.220000,19870819
2018-10-03,4.460000,4.230000,4.480000,4.160000,20341070
2018-10-04,4.210000,4.135000,4.250000,4.070000,8516805
2018-10-05,4.090000,4.090000,4.130000,4.010000,7922162
2018-10-08,4.300000,4.140000,4.320000,4.090000,17363231
2018-10-09,4.210000,4.290000,4.380000,4.130000,31609208
2018-10-10,4.270000,4.100000,4.270000,4.100000,11550114
2018-10-11,4.140000,4.130000,4.230000,4.050000,13544683
2018-10-12,4.190000,4.220000,4.270000,4.120000,7284646
2018-10-15,4.230000,4.150000,4.290000,4.130000,6360742
2018-10-16,4.270000,4.310000,4.320000,4.220000,12628617
2018-10-17,4.310000,4.320000,4.390000,4.215000,12285386
2018-10-18,4.300000,4.120000,4.310000,4.120000,8535500
2018-10-19,4.170000,4.000000,4.220000,3.980000,19052812
2018-10-22,4.110000,4.260000,4.260000,4.100000,9698481
2018-10-23,4.140000,4.200000,4.210000,4.070000,10583744
2018-10-24,4.220000,3.910000,4.250000,3.895000,17655699
2018-10-25,4.020000,4.110000,4.160000,3.960000,11615452
2018-10-26,4.090000,4.300000,4.300000,4.010000,29952998
2018-10-29,4.350000,4.170000,4.390000,4.130000,29021160
2018-10-30,4.200000,4.240000,4.300000,4.170000,14125918
2018-10-31,4.250000,4.350000,4.360000,4.170000,27378908
2018-11-01,4.360000,4.450000,4.520000,4.340000,37673763
2018-11-02,4.510000,4.660000,4.710000,4.443300,17602928
2018-11-05,4.570000,4.500000,4.675000,4.500000,22692511
2018-11-06,4.480000,4.515000,4.570000,4.460000,11179391
2018-11-07,4.450000,4.410000,4.480000,4.350000,13481659
2018-11-08,4.370000,4.310000,4.470000,4.270000,9718993
2018-11-09,4.320000,4.340000,4.350000,4.200000,10403037
2018-11-12,4.260000,4.130000,4.260000,4.090000,11545299
2018-11-13,3.990000,4.020000,4.100000,3.940000,15130388
2018-11-14,3.980000,4.030000,4.040000,3.860000,15807835
2018-11-15,4.030000,4.060000,4.200000,4.030000,13142266
2018-11-16,4.130000,4.340000,4.370000,4.110000,17075197
2018-11-19,4.280000,4.290000,4.380000,4.230000,13759426
2018-11-20,4.190000,4.100000,4.210000,4.080000,10477778
2018-11-21,4.150000,4.050000,4.185000,4.040000,7164445
2018-11-23,3.940000,3.890000,3.980000,3.890000,5818647
2018-11-26,3.820000,3.810000,3.895000,3.750000,10413394
2018-11-27,3.810000,3.800000,3.840000,3.750000,12360090
2018-11-28,3.870000,3.940000,3.960000,3.760000,25577185
2018-11-29,3.970000,3.875000,3.990000,3.870000,13186006
2018-11-30,3.910000,4.015000,4.040000,3.850000,13018093
2018-12-03,4.240000,4.190000,4.255000,4.164400,10789243
2018-12-04,4.200000,4.060000,4.220000,4.050000,11852745
2018-12-06,3.980000,4.050000,4.080000,3.920000,11141609
2018-12-07,4.120000,4.000000,4.190000,3.980000,13314350
2018-12-10,3.920000,3.875000,3.980000,3.850000,18618121
2018-12-11,3.990000,3.925000,4.000000,3.860000,8826523
2018-12-12,4.030000,3.960000,4.070000,3.960000,14614970
2018-12-13,3.970000,3.930000,3.985000,3.870000,8434292
2018-12-14,3.880000,3.830000,3.940000,3.800000,11894600
2018-12-17,3.880000,3.810000,3.945000,3.800000,10437409
2018-12-18,3.900000,3.890000,3.940000,3.865000,9572518
2018-12-19,3.930000,3.795000,4.020000,3.775000,13847705
2018-12-20,3.870000,3.780000,3.925000,3.710000,20687501
2018-12-21,3.820000,3.710000,3.860000,3.680000,9773661
2018-12-24,3.690000,3.690000,3.750000,3.660000,3894014
2018-12-26,3.660000,3.830000,3.830000,3.655000,6090846
2018-12-27,3.710000,3.720000,3.730000,3.610000,13628448
2018-12-28,3.740000,3.735000,3.810000,3.710000,3912872
2018-12-31,3.750000,3.745000,3.780000,3.665000,3868366
2019-01-02,3.840000,3.980000,4.020000,3.820100,12501161
2019-01-03,4.080000,3.945000,4.090000,3.900000,9291667
2019-01-04,4.040000,4.135000,4.170000,4.020000,9308983
2019-01-07,4.150000,4.105000,4.210000,4.090000,8424075
2019-01-08,4.160000,4.155000,4.205000,4.095000,9227469
2019-01-09,4.270000,4.285000,4.310000,4.235000,7980028
2019-01-10,4.250000,4.175000,4.260000,4.150000,8821639
2019-01-11,4.020000,4.140000,4.160000,4.000000,17585839
2019-01-14,4.010000,4.065000,4.115000,3.990000,7809097
2019-01-15,4.080000,3.980000,4.110000,3.950000,11722192
2019-01-16,3.980000,3.985000,4.040000,3.960000,8739859
2019-01-17,3.930000,4.000000,4.050000,3.910000,9476530
2019-01-18,4.070000,4.085000,4.120000,4.015000,11612180
2019-01-22,4.070000,4.015000,4.100000,4.003200,7827861
2019-01-23,4.050000,4.185000,4.190000,4.020000,10631312
2019-01-24,4.160000,4.225000,4.270000,4.135000,17212408
2019-01-25,4.280000,4.305000,4.320000,4.230000,7839316
2019-01-28,4.200000,4.135000,4.235000,4.120000,9409465
2019-01-29,4.200000,4.180000,4.240000,4.160000,6809278
2019-01-30,4.330000,4.350000,4.380000,4.260000,12746895
2019-01-31,4.360000,4.320000,4.370000,4.260000,8578171
2019-02-01,4.320000,4.315000,4.365000,4.274000,5359168
2019-02-04,4.250000,4.315000,4.355000,4.220000,5038356
2019-02-05,4.340000,4.335000,4.390000,4.310000,6745830
2019-02-06,4.220000,4.130000,4.270000,4.120000,9641378
2019-02-07,4.190000,4.070000,4.207400,4.045000,8296065
2019-02-08,4.040000,4.080000,4.110000,4.000000,7870483
2019-02-11,4.070000,4.125000,4.140000,4.015000,13635475
