Date, Open, Close, High, Low, Volume
2018-01-02,65.580000,65.930000,65.930000,65.580000,31712
2018-01-03,65.890000,65.780000,65.950800,65.460000,30115
2018-01-04,65.970000,66.150000,66.320000,65.890100,24384
2018-01-05,65.900000,66.090000,66.150000,65.870100,29875
2018-01-08,66.010000,66.050000,66.060000,65.831000,28124
2018-01-09,65.680000,65.730000,65.790000,65.496800,21226
2018-01-10,65.930000,65.700000,65.959900,65.668100,33460
2018-01-11,65.870000,65.880000,65.990000,65.708400,15110
2018-01-12,66.270000,66.891000,66.990000,66.270000,54268
2018-01-16,66.540000,66.760000,66.789200,66.450100,35917
2018-01-17,66.650000,66.372600,66.914000,66.295000,23598
2018-01-18,66.370000,66.122300,66.600000,66.058500,23327
2018-01-19,66.470000,66.460000,66.590000,66.410100,18893
2018-01-22,66.450000,66.420000,66.520000,66.190100,23532
2018-01-23,66.110000,66.649000,66.649000,66.050000,16637
2018-01-24,67.400000,67.820000,67.940000,67.352700,32819
2018-01-25,67.640000,67.128400,68.070000,66.899000,21765
2018-01-26,67.290000,67.260000,67.500000,67.230000,15427
2018-01-29,66.990000,66.890000,66.990000,66.599800,27778
2018-01-30,67.150000,66.370000,67.150000,66.300000,39860
2018-01-31,66.710000,66.680000,66.899000,66.080000,47739
2018-02-01,66.290000,66.770000,66.780000,66.270000,15331
2018-02-02,66.130000,65.500000,66.130000,65.380000,54422
2018-02-05,65.960000,65.704200,65.960000,65.574000,33602
2018-02-06,65.490000,65.014500,65.490000,64.940100,27524
2018-02-07,64.820000,64.370000,64.875700,64.290100,18445
2018-02-08,64.560000,64.330800,64.610000,64.272500,24998
2018-02-09,64.190000,64.228600,64.269900,63.930000,14811
2018-02-12,64.550000,64.750000,64.950000,64.530000,186613
2018-02-13,64.860000,64.980000,65.059900,64.720000,177177
2018-02-14,65.240000,66.170000,66.311000,65.167400,25674
2018-02-15,66.320000,66.350000,66.412400,66.019400,13377
2018-02-16,66.300000,66.140000,66.510000,65.970100,19729
2018-02-20,65.920000,65.330000,65.980000,65.220000,33009
2018-02-21,65.460000,65.050000,65.724000,64.954400,18250
2018-02-22,65.310000,65.509900,65.592000,65.289900,14466
2018-02-23,65.400000,65.407100,65.466000,65.270000,22882
2018-02-26,65.670000,65.730000,65.740000,65.518000,16520
2018-02-27,65.520000,64.890000,65.520000,64.646000,29702
2018-02-28,64.950000,64.880000,65.120000,64.830000,21501
2018-03-01,64.170000,64.510000,64.732400,63.869900,26174
2018-03-02,64.940000,64.780000,64.940000,64.565000,15441
2018-03-05,64.920000,64.540000,64.920000,64.420000,23086
2018-03-06,65.150000,65.310000,65.750000,65.120000,18535
2018-03-07,64.990000,64.622500,64.990000,64.500000,10487
2018-03-08,64.700000,64.610000,64.700000,64.416100,13843
2018-03-09,64.450000,64.890000,64.982200,64.334000,16285
2018-03-12,64.530000,64.770000,64.770000,64.456000,17333
2018-03-13,64.910000,64.920000,65.060000,64.700000,12026
2018-03-14,64.900000,64.870000,64.960000,64.741000,19604
