Date, Open, Close, High, Low, Volume
2018-01-02T05:00:00Z,9.370000,9.460000,9.460000,9.350000,101972
2018-01-03T05:00:00Z,9.470000,9.440000,9.470000,9.410000,64214
2018-01-04T05:00:00Z,9.420000,9.370000,9.450000,9.320000,364449
2018-01-05T05:00:00Z,9.410000,9.400000,9.440000,9.370000,167304
2018-01-08T05:00:00Z,9.430000,9.540000,9.540000,9.418600,155030
2018-01-09T05:00:00Z,9.580000,9.520000,9.590000,9.480000,103120
2018-01-10T05:00:00Z,9.540000,9.500000,9.540000,9.480000,80384
2018-01-11T05:00:00Z,9.570000,9.690000,9.699600,9.560100,106165
2018-01-12T05:00:00Z,9.720000,9.665000,9.720000,9.651000,63618
2018-01-16T05:00:00Z,9.760000,9.620000,9.770000,9.579300,247749
2018-01-17T05:00:00Z,9.620000,9.680000,9.680000,9.570000,88410
2018-01-18T05:00:00Z,9.640000,9.610000,9.679900,9.570100,128823
2018-01-19T05:00:00Z,9.650000,9.630000,9.650000,9.590000,58690
2018-01-22T05:00:00Z,9.620000,9.630000,9.650000,9.620000,62868
2018-01-23T05:00:00Z,9.660000,9.597400,9.670000,9.580000,139240
2018-01-24T05:00:00Z,9.600000,9.560000,9.630000,9.500000,133052
2018-01-25T05:00:00Z,9.620000,9.586500,9.630000,9.560100,62133
2018-01-26T05:00:00Z,9.570000,9.590000,9.600000,9.520000,69203
2018-01-29T05:00:00Z,9.630000,9.560000,9.630000,9.540000,52848
2018-01-30T05:00:00Z,9.600000,9.563500,9.615700,9.522800,128371
2018-01-31T05:00:00Z,9.660000,9.570000,9.670000,9.550000,164343
2018-02-01T05:00:00Z,9.540000,9.520000,9.550000,9.500000,103019
2018-02-02T05:00:00Z,9.430000,9.310000,9.430000,9.310000,67758
2018-02-05T05:00:00Z,9.250000,9.020000,9.280000,9.020000,125987
2018-02-06T05:00:00Z,8.860000,9.100000,9.120000,8.780000,312478
2018-02-07T05:00:00Z,9.090000,9.050000,9.169900,9.030000,84790
2018-02-08T05:00:00Z,9.040000,8.810000,9.080000,8.810000,60020
2018-02-09T05:00:00Z,8.870000,8.850000,8.904900,8.650000,116317
2018-02-12T05:00:00Z,8.900000,9.010000,9.040000,8.890000,118397
2018-02-13T05:00:00Z,9.040000,9.130000,9.130000,9.020100,74721
2018-02-14T05:00:00Z,9.010000,9.250000,9.260000,9.010000,47805
2018-02-15T05:00:00Z,9.310000,9.450000,9.450000,9.290000,95914
2018-02-16T05:00:00Z,9.480000,9.490000,9.530000,9.426600,35246
2018-02-20T05:00:00Z,9.450000,9.450100,9.500000,9.450000,52290
2018-02-21T05:00:00Z,9.510000,9.500000,9.600000,9.470000,102460
2018-02-22T05:00:00Z,9.620000,9.520000,9.620000,9.463300,47435
2018-02-23T05:00:00Z,9.540000,9.460000,9.540000,9.400000,59896
2018-02-26T05:00:00Z,9.480000,9.580000,9.580000,9.460000,81034
2018-02-27T05:00:00Z,9.550000,9.440000,9.600000,9.436600,77478
2018-02-28T05:00:00Z,9.470000,9.360000,9.470000,9.320000,65490
2018-03-01T05:00:00Z,9.370000,9.300300,9.389800,9.230000,36519
2018-03-02T05:00:00Z,9.210000,9.360000,9.360000,9.180000,93893
2018-03-05T05:00:00Z,9.300000,9.390100,9.399900,9.289600,43228
2018-03-06T05:00:00Z,9.430000,9.460000,9.480000,9.410000,54973
2018-03-07T05:00:00Z,9.440000,9.480000,9.500000,9.400000,32682
2018-03-08T05:00:00Z,9.490000,9.470000,9.490000,9.400100,42948
2018-03-09T05:00:00Z,9.540000,9.540000,9.550000,9.490000,47006
2018-03-12T04:00:00Z,9.580000,9.590000,9.600000,9.555000,31731
2018-03-13T04:00:00Z,9.620000,9.570000,9.659800,9.511000,38834
2018-03-14T04:00:00Z,9.620000,9.590000,9.620000,9.560000,40536
2018-03-15T04:00:00Z,9.630000,9.600000,9.680000,9.560000,32502
2018-03-16T04:00:00Z,9.550000,9.530000,9.580000,9.500000,76152
2018-03-19T04:00:00Z,9.550000,9.580000,9.600000,9.510000,60747
2018-03-20T04:00:00Z,9.610000,9.660000,9.660000,9.590200,47130
2018-03-21T04:00:00Z,9.610000,9.690000,9.740000,9.610000,47585
2018-03-22T04:00:00Z,9.600000,9.520000,9.670000,9.500000,77253
2018-03-23T04:00:00Z,9.510000,9.390000,9.562000,9.390000,44538
2018-03-26T04:00:00Z,9.590000,9.720000,9.720000,9.551700,51401
2018-03-27T04:00:00Z,9.750000,9.569900,9.750000,9.540000,42717
2018-03-28T04:00:00Z,9.570000,9.480000,9.590000,9.450000,101781
2018-03-29T04:00:00Z,9.480000,9.520000,9.560000,9.410200,55282
2018-04-02T04:00:00Z,9.510000,9.380000,9.525000,9.337500,77640
2018-04-03T04:00:00Z,9.530000,9.600000,9.609900,9.500000,1245087
2018-04-04T04:00:00Z,9.500000,9.690000,9.690000,9.480100,54391
2018-04-05T04:00:00Z,9.700000,9.755000,9.770000,9.700000,327512
2018-04-06T04:00:00Z,9.710000,9.620000,9.780000,9.610000,110454
2018-04-09T04:00:00Z,9.750000,9.750000,9.800000,9.680100,98060
2018-04-10T04:00:00Z,9.780000,9.810000,9.857400,9.780000,68968
2018-04-11T04:00:00Z,9.780000,9.784400,9.810000,9.730000,54810
2018-04-12T04:00:00Z,9.810000,9.830000,9.840000,9.796600,95551
2018-04-13T04:00:00Z,9.800000,9.740000,9.811500,9.700000,254439
2018-04-16T04:00:00Z,9.750000,9.680000,9.750000,9.650000,166039
2018-04-17T04:00:00Z,9.680000,9.750000,9.750000,9.650100,50909
2018-04-18T04:00:00Z,9.750000,9.840000,9.850000,9.750000,79326
2018-04-19T04:00:00Z,9.840000,9.830000,9.875000,9.780000,76398
2018-04-20T04:00:00Z,9.850000,9.790000,9.850000,9.750000,65418
2018-04-23T04:00:00Z,9.790000,9.710000,9.800000,9.670000,100976
2018-04-24T04:00:00Z,9.730000,9.640000,9.760000,9.600000,99491
2018-04-25T04:00:00Z,9.620000,9.610000,9.624900,9.559500,45914
2018-04-26T04:00:00Z,9.700000,9.730000,9.738300,9.650000,45572
2018-04-27T04:00:00Z,9.890000,9.900000,9.920000,9.865000,77048
2018-04-30T04:00:00Z,9.950000,9.850000,9.970000,9.821000,247907
2018-05-01T04:00:00Z,9.860000,9.860000,9.860000,9.730000,98007
2018-05-02T04:00:00Z,9.860000,9.860000,9.860000,9.860000,0
2018-05-03T04:00:00Z,9.860000,9.860000,9.860000,9.860000,0
2018-05-04T04:00:00Z,9.780000,9.810000,9.847800,9.741700,63677
2018-05-07T04:00:00Z,9.850000,9.860000,9.900000,9.850000,85477
2018-05-08T04:00:00Z,9.850000,9.740000,9.850000,9.720000,44512
2018-05-09T04:00:00Z,9.810000,9.830000,9.830000,9.731000,97831
2018-05-10T04:00:00Z,9.860000,10.010000,10.050000,9.800000,104768
2018-05-11T04:00:00Z,10.020000,9.930000,10.050000,9.925000,134702
2018-05-14T04:00:00Z,9.990000,9.980000,10.039900,9.960000,122790
2018-05-15T04:00:00Z,9.970000,9.950000,9.990000,9.900000,112037
2018-05-16T04:00:00Z,9.960000,9.980000,10.000000,9.950000,218620
2018-05-17T04:00:00Z,9.990000,9.950000,10.000000,9.920000,66148
2018-05-18T04:00:00Z,9.910000,9.870000,9.910000,9.856600,73851
2018-05-21T04:00:00Z,9.990000,9.990000,10.050000,9.960000,88413
2018-05-22T04:00:00Z,10.080000,10.020000,10.080000,10.000000,125913
2018-05-23T04:00:00Z,10.000000,9.980000,10.030000,9.930000,86906
2018-05-24T04:00:00Z,9.930000,9.860000,10.000000,9.830000,73479
2018-05-25T04:00:00Z,9.920000,9.740000,9.920000,9.670000,115433
2018-05-29T04:00:00Z,9.670000,9.590000,9.700000,9.550000,129998
2018-05-30T04:00:00Z,9.620000,9.750000,9.750000,9.610000,101662
2018-05-31T04:00:00Z,9.760000,9.710000,9.770000,9.670000,231460
2018-06-01T04:00:00Z,9.760000,9.660000,9.770000,9.660000,101145
2018-06-04T04:00:00Z,9.580000,9.440000,9.580000,9.430000,161903
2018-06-05T04:00:00Z,9.420000,9.300000,9.420000,9.290000,76632
2018-06-06T04:00:00Z,9.310000,9.290000,9.319000,9.250000,124076
2018-06-07T04:00:00Z,9.250000,9.200000,9.270000,9.140000,126424
2018-06-08T04:00:00Z,9.130000,9.270000,9.270000,9.110000,130043
2018-06-11T04:00:00Z,9.200000,9.210000,9.250000,9.190000,140835
2018-06-12T04:00:00Z,9.200000,9.205000,9.260000,9.200000,77837
2018-06-13T04:00:00Z,9.240000,9.210000,9.240000,9.180000,41287
2018-06-14T04:00:00Z,9.210000,9.190000,9.228300,9.180000,55315
2018-06-15T04:00:00Z,9.180000,9.160000,9.190000,9.100100,85850
2018-06-18T04:00:00Z,9.090000,9.110000,9.149900,9.050000,182050
2018-06-19T04:00:00Z,8.910000,8.940000,8.949900,8.861000,96617
2018-06-20T04:00:00Z,8.950000,8.940000,8.952600,8.900000,124752
2018-06-21T04:00:00Z,8.950000,8.880000,8.950000,8.870000,51899
2018-06-22T04:00:00Z,8.960000,8.950000,8.980000,8.945000,73140
2018-06-25T04:00:00Z,8.930000,8.900000,8.940000,8.818000,62388
2018-06-26T04:00:00Z,8.840000,8.820000,8.840000,8.760000,149813
2018-06-27T04:00:00Z,8.810000,8.659000,8.819000,8.650000,92170
2018-06-28T04:00:00Z,8.610000,8.660000,8.670000,8.580000,46922
2018-06-29T04:00:00Z,8.740000,8.730000,8.750000,8.720000,39142
2018-07-02T04:00:00Z,8.670000,8.730000,8.730000,8.620000,125858
2018-07-03T04:00:00Z,8.780000,8.770000,8.800000,8.750100,62241
2018-07-05T04:00:00Z,8.780000,8.790000,8.800000,8.700100,39878
2018-07-06T04:00:00Z,8.770000,8.880000,8.900000,8.770000,39885
2018-07-09T04:00:00Z,9.000000,8.996600,9.010000,8.940000,62905
2018-07-10T04:00:00Z,8.970000,8.970000,9.000000,8.930000,56114
2018-07-11T04:00:00Z,8.920000,8.860000,8.951000,8.850000,42426
2018-07-12T04:00:00Z,8.920000,8.970000,8.970000,8.916800,50263
2018-07-13T04:00:00Z,8.920000,8.920000,8.939700,8.840000,31610
2018-07-16T04:00:00Z,8.880000,8.880000,8.893200,8.860000,62050
2018-07-17T04:00:00Z,8.830000,8.880000,8.900000,8.830000,46116
2018-07-18T04:00:00Z,8.880000,8.900000,8.910000,8.840200,43230
2018-07-19T04:00:00Z,8.860000,8.900000,8.920000,8.850000,92611
2018-07-20T04:00:00Z,8.930000,8.950000,8.989900,8.901000,35329
2018-07-23T04:00:00Z,8.980000,8.940000,9.000000,8.940000,59953
2018-07-24T04:00:00Z,9.000000,9.050000,9.090000,8.960100,52946
2018-07-25T04:00:00Z,9.070000,9.200000,9.200000,9.050000,34580
2018-07-26T04:00:00Z,9.130000,9.080000,9.160000,9.080000,49105
2018-07-27T04:00:00Z,9.130000,9.100000,9.149000,9.076500,44197
2018-07-30T04:00:00Z,9.100000,9.120000,9.120000,9.060000,67578
2018-07-31T04:00:00Z,9.110000,9.110000,9.160000,9.090000,36085
2018-08-01T04:00:00Z,9.060000,9.060000,9.100000,9.040000,87730
2018-08-02T04:00:00Z,9.010000,9.020000,9.060000,8.930000,49341
2018-08-03T04:00:00Z,9.020000,8.970000,9.020000,8.950000,67495
2018-08-06T04:00:00Z,8.900000,8.940000,8.949900,8.890100,56131
2018-08-07T04:00:00Z,8.990000,8.930000,9.000000,8.920100,51972
2018-08-08T04:00:00Z,8.940000,8.929000,8.940000,8.900000,37666
2018-08-09T04:00:00Z,8.900000,8.913000,8.949900,8.890000,55561
2018-08-10T04:00:00Z,8.810000,8.740100,8.810000,8.740100,60460
2018-08-13T04:00:00Z,8.740000,8.650000,8.770000,8.650000,82278
2018-08-14T04:00:00Z,8.660000,8.510000,8.660000,8.490000,155381
2018-08-15T04:00:00Z,8.430000,8.380000,8.430000,8.301100,110327
2018-08-16T04:00:00Z,8.460000,8.480000,8.490000,8.440000,58275
2018-08-17T04:00:00Z,8.460000,8.530000,8.549200,8.439800,216590
2018-08-20T04:00:00Z,8.590000,8.650000,8.660000,8.580100,68907
