Date, Open, Close, High, Low, Volume
2019-04-15,25.500000,23.960100,28.990000,18.740000,239626
2019-04-16,22.000000,16.225000,22.662600,16.002700,337180
2019-04-17,15.470000,14.399500,16.980000,12.630000,226428
2019-04-18,15.470000,16.260000,20.690000,15.000000,359681
2019-04-22,15.400000,14.290000,15.760000,13.750700,167559
2019-04-23,17.000000,17.360000,19.500000,16.000000,532175
2019-04-24,16.790000,16.077600,16.830000,15.270800,141642
2019-04-25,16.040000,15.300000,16.740000,15.000000,95602
2019-04-26,15.000000,14.800000,15.360000,14.220000,69934
2019-04-29,14.830000,14.910000,15.300000,13.859900,74072
2019-04-30,14.700000,13.800000,14.710000,13.500000,84561
2019-05-01,13.880000,13.170000,14.007100,12.840100,62871
2019-05-02,13.200000,12.310000,13.200000,11.000000,103869
2019-05-03,12.250000,12.960000,13.070000,11.722100,84796
2019-05-06,12.180000,12.950000,13.217700,12.060000,40808
2019-05-07,12.720000,12.700000,13.499900,12.461000,31476
2019-05-08,12.630000,12.210000,12.959100,11.910000,38644
2019-05-09,12.010000,11.600000,12.010000,11.000000,46466
2019-05-10,11.700000,11.860000,12.080000,10.820000,79487
2019-05-13,11.510000,11.266100,11.850000,11.200300,25138
2019-05-14,11.330000,11.209000,11.386700,10.600000,45498
2019-05-15,11.090000,10.850000,11.173400,10.600000,35144
2019-05-16,10.930000,10.140000,10.930000,10.110000,38596
2019-05-17,10.280000,10.050000,10.490000,9.620000,48781
2019-05-20,10.050000,9.650000,10.891400,9.620000,35567
2019-05-21,9.750000,9.390000,9.750000,9.000000,72761
2019-05-22,9.300000,9.200000,9.580000,9.010000,26620
2019-05-23,9.030000,9.140000,9.297000,8.570500,28876
2019-05-24,9.170000,11.050000,11.449000,8.790000,114227
2019-05-28,12.250000,10.650000,12.690000,10.534200,195458
2019-05-29,10.220000,9.300000,10.305000,9.260000,79064
2019-05-30,9.380000,9.250000,9.800400,9.085000,31514
2019-05-31,9.300000,9.320000,9.400000,9.290000,1305
2019-06-03,9.350000,9.530000,9.590000,8.970000,37298
2019-06-04,10.000000,10.180000,10.450000,9.520000,65374
2019-06-05,10.400000,10.450000,10.450000,9.670000,41499
2019-06-06,9.990000,10.230000,10.230000,9.990000,613
2019-06-07,10.190000,9.820000,10.300000,9.820000,22649
2019-06-10,9.890000,9.300000,10.150000,9.250000,41705
2019-06-11,9.470000,8.960000,9.962500,8.780000,26933
2019-06-12,9.060000,9.000000,9.536200,8.940000,18984
2019-06-13,9.180000,9.190000,9.390000,9.034800,15618
2019-06-14,9.340000,9.520000,9.950000,9.040000,101068
2019-06-17,9.550000,9.000000,9.550000,8.960000,18145
2019-06-18,9.170000,9.580000,9.770000,8.515200,45010
2019-06-19,9.700000,9.535000,9.710000,9.190100,11823
2019-06-20,9.900000,9.735000,9.940000,9.660000,28599
2019-06-21,9.800000,9.680000,9.840000,9.190000,22784
2019-06-24,9.300000,17.890000,18.820000,9.300000,1391766
2019-06-25,14.430000,13.350000,16.240000,12.503500,637359
2019-06-26,13.060000,12.270000,13.260000,11.825700,158067
2019-06-27,12.150000,11.670000,12.487600,11.590000,88454
2019-06-28,11.732800,11.300000,12.950000,11.000000,93735
2019-07-01,11.720000,11.430000,11.730000,10.370000,49501
2019-07-02,11.300000,12.450000,13.690000,11.148600,239697
2019-07-03,12.340000,12.100000,12.871700,11.939400,19048
2019-07-05,12.300000,12.010000,12.600000,11.900000,23760
2019-07-08,11.800000,10.710000,12.489300,10.550000,75551
