Date, Open, Close, High, Low, Volume
2018-01-02,8.750000,8.786500,8.800000,8.650000,50638
2018-01-03,8.700000,9.150000,9.250000,8.700000,63523
2018-01-04,9.250000,9.050000,9.300000,8.950000,40603
2018-01-05,9.250000,9.100000,9.250000,8.850000,31781
2018-01-08,9.150000,9.300000,9.400000,9.050000,146954
2018-01-09,9.300000,9.150000,9.500000,9.150000,102047
2018-01-10,9.250000,9.100000,9.250000,8.850000,30629
2018-01-11,9.200000,9.000000,9.300000,8.950000,61415
2018-01-12,9.050000,8.900000,9.100000,8.700000,55691
2018-01-16,9.200000,8.550000,9.350000,8.550000,78751
2018-01-17,8.550000,9.100000,9.100000,8.550000,63657
2018-01-18,9.100000,8.950000,9.200000,8.800000,27174
2018-01-19,8.950000,9.075000,9.200000,8.900000,45420
2018-01-22,8.850000,9.000000,9.000000,8.750000,44022
2018-01-23,8.950000,8.950000,9.050000,8.850000,45727
2018-01-24,9.000000,8.950000,9.050000,8.750000,70042
2018-01-25,8.950000,8.700000,9.000000,8.600000,63458
2018-01-26,8.700000,9.050000,9.050000,8.600000,74261
2018-01-29,9.150000,9.100000,9.150000,8.850000,34691
2018-01-30,8.950000,8.900000,9.000000,8.800000,25318
2018-01-31,8.950000,8.800000,9.045000,8.700000,29702
2018-02-01,8.750000,8.950000,9.095000,8.750000,50090
2018-02-02,8.950000,8.750000,9.050000,8.750000,52834
2018-02-05,8.700000,8.200000,8.790000,7.550000,123286
2018-02-06,7.750000,8.200000,8.400000,7.750000,48564
2018-02-07,8.300000,8.050000,8.373700,8.022500,53495
2018-02-08,8.050000,7.650000,8.050000,7.650000,42827
2018-02-09,7.600000,7.600000,7.850000,7.310000,94354
2018-02-12,7.650000,7.900000,8.000000,7.650000,52291
2018-02-13,7.900000,7.850000,8.150000,7.700000,31194
2018-02-14,7.850000,8.000000,8.100000,7.850000,25561
2018-02-15,7.900000,8.000000,8.100000,7.850000,32419
2018-02-16,8.000000,7.850000,8.050000,7.850000,16996
2018-02-20,7.800000,8.000000,8.000000,7.550000,68592
2018-02-21,7.850000,7.850000,8.000000,7.750000,30337
2018-02-22,7.850000,7.500000,7.900000,7.500000,46287
2018-02-23,7.650000,7.700000,7.800000,7.500000,88892
2018-02-26,7.600000,7.900000,7.950000,7.600000,68866
2018-02-27,7.800000,7.850000,7.890000,7.700000,69825
2018-02-28,7.750000,7.750000,7.900000,7.700000,35170
2018-03-01,7.650000,7.550000,7.750000,7.460000,46459
2018-03-02,7.500000,7.500000,7.650000,7.350000,39528
2018-03-05,7.550000,7.750000,7.800000,7.550000,31296
2018-03-06,7.750000,7.550000,7.790000,7.500000,66811
2018-03-07,7.500000,7.950000,8.000000,7.396800,49800
2018-03-08,7.950000,8.050000,8.050000,7.750000,47142
2018-03-09,8.700000,8.600000,8.950000,8.400000,210153
2018-03-12,8.800000,8.350000,8.800000,8.100000,164196
2018-03-13,8.450000,8.050000,8.690000,7.805000,177886
2018-03-14,8.050000,7.850000,8.300000,7.800000,78171
2018-03-15,7.900000,8.350000,8.550000,7.750000,98712
2018-03-16,8.450000,8.350000,8.550000,8.350000,50804
2018-03-19,8.050000,8.200000,8.250000,8.000000,82264
2018-03-20,8.200000,8.100000,8.250000,8.100000,53241
2018-03-21,8.100000,8.025000,8.216000,7.950000,32523
2018-03-22,8.000000,7.750000,8.100000,7.700000,55928
2018-03-23,7.700000,7.300000,7.750000,7.250000,98425
2018-03-26,7.200000,7.100000,7.550000,7.100000,102232
2018-03-27,7.100000,6.800000,7.250000,6.750000,125833
2018-03-28,6.700000,6.700000,6.740000,6.500000,114890
2018-03-29,6.650000,6.700000,7.000000,6.400000,68197
2018-04-02,6.600000,6.800000,6.975000,6.550000,70343
2018-04-03,6.750000,6.600000,6.800000,6.600000,57004
2018-04-04,6.550000,6.600000,6.700000,6.550000,135417
