Date, Open, Close, High, Low, Volume
2018-01-02,135.190000,137.500000,137.540000,135.050000,261124
2018-01-03,138.780000,138.970000,140.000000,137.800000,282372
2018-01-04,138.940000,136.740000,139.870000,136.510000,255611
2018-01-05,137.780000,135.560000,137.780000,135.400000,294193
2018-01-08,135.610000,136.580000,136.610000,132.880000,356177
2018-01-09,137.310000,143.040000,145.000000,137.310000,687525
2018-01-10,142.450000,142.210000,143.700000,140.740000,310636
2018-01-11,142.000000,148.500000,148.830000,140.280000,750877
2018-01-12,148.650000,150.150000,151.850000,148.220000,638744
2018-01-16,152.160000,149.750000,152.930000,149.310000,509765
2018-01-17,150.290000,149.710000,151.070000,148.520000,364554
2018-01-18,149.990000,149.250000,150.150000,147.680000,328451
2018-01-19,149.750000,148.670000,150.000000,147.510000,304539
2018-01-22,149.510000,152.420000,152.460000,148.730000,404212
2018-01-23,153.000000,153.010000,153.850000,152.051200,348677
2018-01-24,153.410000,152.890000,154.100000,150.830000,315638
2018-01-25,153.440000,153.000000,153.610000,150.880000,314062
2018-01-26,154.130000,155.770000,155.910000,153.090000,268767
2018-01-29,154.720000,155.750000,157.340000,153.840000,321558
2018-01-30,154.510000,149.870000,154.510000,149.020000,405295
2018-01-31,150.770000,145.710000,150.770000,145.530000,285976
2018-02-01,145.390000,146.250000,148.180000,145.350000,210032
2018-02-02,145.650000,143.810000,145.950000,143.190000,255825
2018-02-05,141.940000,139.290000,145.030000,138.570000,295393
2018-02-06,136.710000,143.000000,143.390000,135.110000,576244
2018-02-07,143.000000,143.080000,144.889900,141.390000,226475
2018-02-08,143.330000,138.450000,144.459900,138.150000,283383
2018-02-09,140.590000,139.890000,141.980000,134.310000,326430
2018-02-12,141.040000,139.920000,142.190000,138.850000,161068
2018-02-13,139.420000,141.380000,142.140000,138.320000,163008
2018-02-14,139.990000,145.770000,146.380000,138.500000,245119
2018-02-15,146.910000,143.910000,146.910000,143.375000,206337
2018-02-16,144.200000,145.770000,146.320000,143.280000,225620
2018-02-20,144.860000,144.710000,146.590000,143.790000,332066
2018-02-21,144.780000,145.410000,147.740000,144.010100,203479
2018-02-22,146.000000,144.430000,146.590000,144.260000,179635
