Date, Open, Close, High, Low, Volume
2018-01-02,20.320000,20.170000,20.340000,20.040000,4966453
2018-01-03,20.230000,20.240000,20.295000,20.100000,7057833
2018-01-04,20.440000,20.320000,20.590000,20.280000,9243558
2018-01-05,20.470000,20.310000,20.470000,20.215000,4665269
2018-01-08,20.280000,20.270000,20.350000,20.160000,6417408
2018-01-09,20.370000,20.750000,20.890000,20.300000,8975516
2018-01-10,20.820000,21.010000,21.280000,20.760000,7767637
2018-01-11,21.130000,21.190000,21.240000,21.025000,5959759
2018-01-12,21.360000,21.420000,21.465000,21.190000,8763664
2018-01-16,21.540000,21.310000,21.710000,21.170000,8680383
2018-01-17,21.330000,21.260000,21.400000,21.060000,10597596
2018-01-18,20.820000,20.810000,21.000000,20.620000,15653713
2018-01-19,20.770000,21.170000,21.370000,20.770000,12142835
2018-01-22,21.130000,21.380000,21.420000,21.090000,7172077
2018-01-23,21.300000,21.610000,21.770000,21.260000,8811515
2018-01-24,21.710000,21.730000,21.870000,21.575000,7737888
2018-01-25,21.880000,21.670000,21.880000,21.570000,9356566
2018-01-26,21.700000,21.840000,21.860000,21.440000,7373916
2018-01-29,21.780000,21.790000,21.990000,21.700000,8247481
2018-01-30,21.650000,21.440000,21.840000,21.430000,10886488
2018-01-31,21.460000,21.400000,21.630000,21.315000,6299675
2018-02-01,21.370000,21.920000,21.920000,21.320000,7530559
2018-02-02,21.840000,21.760000,22.220000,21.690000,13795332
2018-02-05,21.400000,20.600000,21.860000,20.480000,11071426
2018-02-06,20.130000,21.010000,21.085000,19.900000,14890706
2018-02-07,20.920000,21.130000,21.450000,20.850000,10840509
2018-02-08,21.210000,20.070000,21.210000,20.070000,11145706
2018-02-09,20.380000,20.390000,20.560000,19.640000,15071629
2018-02-12,20.510000,20.600000,20.845000,20.290000,8639830
2018-02-13,20.440000,20.550000,20.590000,20.280000,8519754
2018-02-14,20.500000,21.180000,21.190000,20.430000,8716224
2018-02-15,21.280000,20.950000,21.320000,20.890000,7366398
2018-02-16,20.850000,21.025000,21.160000,20.820000,6130283
2018-02-20,20.970000,20.950000,21.310000,20.820000,4930210
2018-02-21,20.920000,21.055000,21.380000,20.880000,6098561
2018-02-22,21.160000,20.530000,21.185000,20.520000,6939237
2018-02-23,20.670000,20.970000,20.970000,20.610000,5063984
2018-02-26,21.040000,21.200000,21.220000,20.850000,6675046
2018-02-27,21.240000,21.160000,21.730000,21.160000,11719232
2018-02-28,21.240000,21.140000,21.610000,21.100000,12755395
2018-03-01,21.180000,20.990000,21.380000,20.780000,11575308
2018-03-02,20.880000,21.340000,21.420000,20.560000,11391875
2018-03-05,21.040000,21.460000,21.575000,20.895000,7170965
2018-03-06,21.560000,21.700000,21.730000,21.180000,6540538
2018-03-07,21.510000,21.960000,22.060000,21.470000,7971929
2018-03-08,22.020000,21.810000,22.105000,21.460000,8517152
2018-03-09,22.030000,22.130000,22.140000,21.840000,6310193
2018-03-12,22.170000,21.800000,22.400000,21.775000,8906989
2018-03-13,21.880000,21.360000,21.920000,21.280000,11386926
2018-03-14,21.460000,20.925000,21.510000,20.870000,11134903
2018-03-15,21.030000,20.900000,21.090000,20.820000,5235595
2018-03-16,20.980000,20.965000,21.125000,20.843200,7879425
2018-03-19,20.990000,20.920000,21.060000,20.680000,6252787
2018-03-20,20.960000,20.930000,21.090000,20.855000,4495038
2018-03-21,20.940000,20.970000,21.230000,20.760000,6019088
2018-03-22,20.660000,20.030000,20.785000,19.970000,7550173
2018-03-23,20.010000,19.040000,20.190000,19.000000,13516632
2018-03-26,19.520000,19.920000,19.980000,19.350000,8938401
2018-03-27,20.010000,19.270000,20.050000,19.065000,9481814
2018-03-28,19.330000,19.270000,19.440000,19.000000,9263983
2018-03-29,19.390000,19.550000,19.629900,19.190000,9159093
2018-04-02,19.560000,19.030000,19.690000,18.780000,10036374
2018-04-03,19.090000,19.430000,19.495000,19.050000,7882476
2018-04-04,19.070000,19.670000,19.713100,19.030000,5264000
2018-04-05,19.790000,19.730000,19.850000,19.560000,6063873
2018-04-06,19.560000,19.080000,19.590000,18.820000,8734276
2018-04-09,19.200000,19.190000,19.650000,19.165000,6234579
2018-04-10,19.460000,19.620000,19.710000,19.370000,7891974
2018-04-11,19.400000,19.450000,19.700000,19.370000,6356279
2018-04-12,19.610000,19.850000,19.990000,19.580000,6538854
2018-04-13,20.020000,19.250000,20.040000,19.110000,12076924
2018-04-16,19.410000,19.330000,19.470000,19.130000,6079394
2018-04-17,19.460000,18.965000,19.460000,18.780000,9842192
2018-04-18,19.020000,18.860000,19.235000,18.780000,9758995
2018-04-19,18.760000,19.550000,19.750000,18.720000,12994108
2018-04-20,19.660000,19.860000,19.995000,19.620000,10007837
2018-04-23,19.880000,19.870000,19.990000,19.750000,8479893
2018-04-24,20.230000,20.080000,20.490000,19.875000,9071972
2018-04-25,19.990000,20.230000,20.410000,19.855000,7573729
2018-04-26,20.190000,20.290000,20.410000,20.090000,7557310
2018-04-27,20.240000,20.420000,20.515000,20.210000,7973517
2018-04-30,20.430000,19.920000,20.595000,19.920000,7568071
2018-05-01,19.890000,19.900000,19.960000,19.630000,7441873
2018-05-02,19.830000,19.765000,20.080000,19.720000,6661921
2018-05-03,19.670000,19.370000,19.690000,19.110000,10848420
2018-05-04,19.200000,19.700000,19.795000,19.065000,6112901
2018-05-07,19.750000,19.720000,19.860000,19.540000,5802735
2018-05-08,19.760000,19.780000,20.140000,19.645000,8147072
2018-05-09,19.960000,20.060000,20.200000,19.840000,5802001
2018-05-10,20.100000,20.270000,20.420000,20.000000,5742368
2018-05-11,20.280000,20.260000,20.400000,20.170000,4965369
2018-05-14,20.320000,20.170000,20.375000,20.120000,5876045
2018-05-15,20.160000,20.470000,20.615000,20.140000,6927094
2018-05-16,20.410000,20.360000,20.550000,20.300000,6211720
2018-05-17,20.330000,20.655000,20.660000,20.230000,5462578
2018-05-18,20.650000,20.255000,20.660000,20.185000,7825243
2018-05-21,20.320000,20.410000,20.520000,20.280000,6242342
2018-05-22,20.490000,20.620000,20.780000,20.390000,5378389
2018-05-23,20.420000,20.260000,20.550000,20.090000,8491379
2018-05-24,20.180000,20.460000,20.470000,19.890000,9025647
2018-05-25,20.440000,20.030000,20.440000,19.952500,5254431
2018-05-29,19.830000,19.210000,19.830000,19.005000,9445205
2018-05-30,19.470000,19.640000,19.770000,19.300000,9176705
2018-05-31,19.610000,19.445000,19.695000,19.380000,7448915
2018-06-01,19.770000,19.740000,19.930000,19.610000,6335771
2018-06-04,19.810000,19.910000,19.980000,19.785000,5244995
2018-06-05,19.840000,19.915000,19.930000,19.660000,6814472
2018-06-06,19.990000,20.430000,20.440000,19.970000,8203933
2018-06-07,20.550000,20.430000,20.660000,20.255000,6296275
2018-06-08,20.380000,20.540000,20.555000,20.233100,4529230
2018-06-11,20.560000,20.570000,20.820000,20.455000,8520733
2018-06-12,20.660000,20.640000,20.820000,20.530000,8686516
2018-06-13,20.700000,20.680000,21.050000,20.570000,11774039
2018-06-14,20.770000,20.520000,20.770000,20.290000,10976319
2018-06-15,20.470000,20.390000,20.605000,20.120000,12351714
2018-06-18,20.250000,20.430000,20.495000,20.050000,5711120
2018-06-19,20.250000,20.580000,20.615000,20.230000,6357337
2018-06-20,20.690000,20.550000,20.790000,20.530000,5679409
2018-06-21,20.460000,20.680000,20.870000,20.280000,7061533
2018-06-22,20.840000,20.400000,20.880000,20.335000,7065170
2018-06-25,20.300000,20.110000,20.340000,19.900000,10129305
2018-06-26,20.140000,19.800000,20.140000,19.720000,7511157
2018-06-27,19.800000,19.530000,19.980000,19.485000,7972673
2018-06-28,19.600000,19.605000,19.795000,19.450000,10028769
2018-06-29,19.940000,19.550000,20.175000,19.530000,11750491
2018-07-02,19.470000,19.860000,19.870000,19.391000,6388379
2018-07-03,19.900000,19.690000,20.020000,19.660000,3506354
2018-07-05,19.780000,19.580000,19.845000,19.500000,6326161
2018-07-06,19.540000,19.700000,19.790000,19.380000,4755729
2018-07-09,19.760000,20.280000,20.330000,19.745000,9917002
2018-07-10,20.350000,20.110000,20.440000,19.945000,8664016
2018-07-11,19.930000,19.920000,20.130000,19.910000,6017037
2018-07-12,20.090000,19.740000,20.110000,19.685000,8558382
2018-07-13,19.650000,19.550000,19.750000,19.400000,7162601
2018-07-16,19.650000,19.925000,19.955000,19.620000,4705404
2018-07-17,19.950000,20.060000,20.160000,19.790000,6776140
2018-07-18,20.040000,20.300000,20.365000,20.040000,8134695
2018-07-19,20.590000,20.630000,20.760000,20.120000,13604236
2018-07-20,20.650000,20.520000,20.720000,20.490000,11629457
2018-07-23,20.540000,20.830000,20.860000,20.535000,9658054
2018-07-24,20.870000,20.950000,21.110000,20.795000,10622430
2018-07-25,20.870000,20.800000,21.030000,20.690000,9437091
2018-07-26,20.980000,21.135000,21.180000,20.890000,8259198
2018-07-27,21.140000,21.270000,21.300000,21.015000,10181858
2018-07-30,21.250000,21.150000,21.415000,21.140000,9246606
2018-07-31,21.210000,20.865000,21.310000,20.860000,10901342
