Date, Open, Close, High, Low, Volume
2018-01-02,100.340000,100.330000,100.350000,100.290000,11338
2018-01-03,100.350000,100.390000,100.390000,100.320000,14194
2018-01-04,100.340000,100.260000,100.340000,100.250000,6697
2018-01-05,100.270000,100.248500,100.272000,100.220000,14613
2018-01-08,100.210000,100.264000,100.323000,100.210000,5967
2018-01-09,100.220000,100.210000,100.270000,100.210000,7610
2018-01-10,100.310000,100.210000,100.310000,100.200000,7546
2018-01-11,100.280000,100.290500,100.310000,100.280000,7893
2018-01-12,100.160000,100.150000,100.180000,100.140000,12872
2018-01-16,100.290000,100.242400,100.290000,100.221000,13628
2018-01-17,100.170000,100.176000,100.220000,100.150000,17474
2018-01-18,100.160000,100.080000,100.169900,100.080000,15588
2018-01-19,100.180000,100.095100,100.180000,100.080000,11043
2018-01-22,100.130000,100.124500,100.180000,100.100000,2708
2018-01-23,100.180000,100.250100,100.389900,100.176100,17313
2018-01-24,100.210000,100.200000,100.210000,100.140000,7116
2018-01-25,100.200000,100.220000,100.220000,100.110100,15152
2018-01-26,100.040000,100.090000,100.090000,100.010000,7290
2018-01-29,100.070000,100.120900,100.150000,100.070000,7738
2018-01-30,100.190000,100.160000,100.190000,100.100000,12919
2018-01-31,100.220000,100.110500,100.220000,100.110000,12408
2018-02-01,100.020000,100.020000,100.050000,99.910000,16776
2018-02-02,99.920000,100.033500,100.109900,99.920000,6207
2018-02-05,100.240000,100.400000,100.420000,100.110000,17809
2018-02-06,100.300000,100.316900,100.400000,100.210000,6788
2018-02-07,100.220000,100.050000,100.230000,100.040000,33654
2018-02-08,100.090000,100.101800,100.189000,100.090000,6254
2018-02-09,100.120000,100.227700,100.370000,100.050000,10603
2018-02-12,100.210000,100.194400,100.217500,100.150000,5366
2018-02-13,100.160000,100.040000,100.160000,99.932000,5283
2018-02-14,100.020000,99.910000,100.020000,99.840000,13313
2018-02-15,99.990000,99.984000,100.039900,99.840000,8248
2018-02-16,99.990000,99.965000,100.020000,99.940100,5523
2018-02-20,99.920000,99.910000,100.019900,99.862800,10160
2018-02-21,99.940000,99.915700,99.990000,99.904300,9219
2018-02-22,99.960000,100.039000,100.057100,99.960000,56138
2018-02-23,100.110000,99.990000,100.110000,99.930000,3382
2018-02-26,100.120000,99.950000,100.120000,99.930000,7398
2018-02-27,100.090000,99.880000,100.090000,99.840000,6687
2018-02-28,100.090000,100.030000,100.110000,99.910100,3513
2018-03-01,99.830000,99.880000,100.015000,99.830000,7973
2018-03-02,99.910000,99.771000,99.910000,99.740000,8371
2018-03-05,99.920000,99.751400,99.984000,99.750000,3660
2018-03-06,99.820000,99.810000,99.979900,99.760000,7556
2018-03-07,99.830000,99.790000,99.840000,99.730000,30083
2018-03-08,99.830000,99.800000,99.990000,99.800000,15263
2018-03-09,99.830000,99.740000,99.859900,99.730100,9403
2018-03-12,99.700000,99.830000,99.889900,99.660000,15268
2018-03-13,99.750000,99.810000,99.820000,99.650000,3357
2018-03-14,99.680000,99.815000,99.880000,99.640000,2329
2018-03-15,99.690000,99.750000,99.790000,99.610000,3466
2018-03-16,99.690000,99.725000,99.810000,99.631000,3468
2018-03-19,99.660000,99.780000,99.830000,99.630000,7288
2018-03-20,99.660000,99.692000,99.720000,99.620000,13626
2018-03-21,99.630000,99.724400,99.770000,99.610000,3924
2018-03-22,99.730000,99.817700,99.830000,99.650000,16558
2018-03-23,99.750000,99.699200,99.789900,99.650000,9694
2018-03-26,99.660000,99.718700,99.810000,99.650000,29922
2018-03-27,99.760000,99.820000,99.920000,99.690000,33341
2018-03-28,99.960000,99.849400,99.960000,99.710000,21689
2018-03-29,99.790000,99.760100,100.000000,99.750000,9295
2018-04-02,99.430000,99.660000,99.709900,99.430000,13636
2018-04-03,99.480000,99.524500,99.600000,99.480000,8600
2018-04-04,99.540000,99.660000,99.680000,99.490000,4627
2018-04-05,99.630000,99.512600,99.630000,99.400000,21388
2018-04-06,99.620000,99.720000,99.730000,99.522000,7344
2018-04-09,99.630000,99.516700,99.710000,99.450100,6893
2018-04-10,99.570000,99.569000,99.760000,99.509500,5588
2018-04-11,99.700000,99.590200,99.810000,99.321000,3024
2018-04-12,99.550000,99.520000,99.870000,99.450000,13924
2018-04-13,99.534400,99.516700,99.879900,99.300100,5065
2018-04-16,0.000000,99.514500,99.620000,0.000000,3288
2018-04-17,99.620000,99.530000,99.640000,99.450000,6465
2018-04-18,99.620000,99.540000,99.620000,99.340000,32443
2018-04-19,99.540000,99.500000,99.578000,99.361000,4894
2018-04-20,99.500000,99.530000,99.590000,99.440100,4709
2018-04-23,99.650000,99.553300,99.650000,99.451500,5279
2018-04-24,99.451500,99.673900,99.719900,99.451500,8194
2018-04-25,99.673900,99.664500,99.700000,99.630000,4146
2018-04-26,99.700000,99.765000,99.780000,99.690000,12770
2018-04-27,99.765000,99.829000,99.830000,99.720000,7440
2018-04-30,99.800000,99.762700,99.800000,99.690000,25062
2018-05-01,99.762700,99.360000,99.762700,99.360000,4170
2018-05-02,99.360000,99.539500,99.580000,99.360000,11855
2018-05-03,99.570000,99.512900,99.570000,99.470000,15178
2018-05-04,99.320000,99.475300,99.510000,99.320000,4115
2018-05-07,99.470000,99.420800,99.540000,99.320000,12816
2018-05-08,99.420800,99.400000,99.450000,99.360000,10027
2018-05-09,99.320000,99.494800,99.557200,99.320000,5776
2018-05-10,99.494800,99.500000,99.610000,99.494800,13119
2018-05-11,99.440000,99.501600,99.610000,99.400000,5703
2018-05-14,99.600000,99.600000,99.620000,99.411000,10763
2018-05-15,99.480000,99.535000,99.580000,99.470000,10176
2018-05-16,0.000000,99.700000,99.739900,0.000000,19375
2018-05-17,99.705000,99.671800,99.705000,99.620000,7883
2018-05-18,99.680000,99.700000,99.771900,99.660000,39300
2018-05-21,99.700000,99.689900,99.700000,99.580000,13132
2018-05-22,99.700000,99.668000,99.740000,99.620000,6166
2018-05-23,99.770000,99.859900,99.870000,99.680000,5714
2018-05-24,99.790000,99.721800,99.829200,99.720000,5453
2018-05-25,99.780000,99.900000,101.978200,99.720000,4671
2018-05-29,99.870000,100.140000,100.210000,99.870000,16781
2018-05-30,99.950000,99.855100,101.255000,99.620000,6148
2018-05-31,99.620000,99.710000,100.080000,99.595700,5251
2018-06-01,99.320000,99.494000,99.530000,99.250000,6812
2018-06-04,99.450900,99.350000,99.580000,99.320000,4284
2018-06-05,99.360000,99.560000,99.620000,99.360000,8986
2018-06-06,99.590000,99.575000,99.619900,99.430000,11254
2018-06-07,99.590000,99.660000,99.700000,99.530000,5914
2018-06-08,99.580000,99.557400,99.610000,99.390000,10899
2018-06-11,99.470000,99.457900,99.599900,99.380100,2597
2018-06-12,99.600000,99.624800,99.637800,99.352900,8100
2018-06-13,99.350000,99.580000,99.799900,99.341000,17096
2018-06-14,99.600000,99.574200,99.699900,99.380000,4710
2018-06-15,99.595800,99.725000,99.740000,99.320000,13859
2018-06-18,99.380000,99.620000,99.630000,99.380000,7237
2018-06-19,99.500000,99.750000,99.750000,99.380100,14450
2018-06-20,99.750000,99.590000,99.890000,99.380000,13620
2018-06-21,99.760000,99.869900,99.870000,99.343800,15215
2018-06-22,99.450000,99.528000,99.800000,99.402000,9722
2018-06-25,99.480000,99.620000,99.900000,99.480000,16893
2018-06-26,99.620000,99.523800,99.859900,99.500000,12134
2018-06-27,99.523800,99.718300,99.750000,99.420000,36060
2018-06-28,0.000000,99.661300,99.910000,0.000000,7498
2018-06-29,99.698400,99.704800,99.920000,99.550000,6721
2018-07-02,99.360000,99.360000,99.420000,99.360000,6827
2018-07-03,99.340000,99.586500,99.660000,99.340000,3836
2018-07-05,99.370000,99.390000,99.620000,99.363800,7670
2018-07-06,99.400000,99.534000,99.660000,0.000000,12641
2018-07-09,99.410000,99.406900,99.720000,99.330000,12427
2018-07-10,99.390000,99.435000,99.500000,99.380000,2796
2018-07-11,99.600000,99.450000,99.600000,99.380000,1136
2018-07-12,99.430000,99.524600,99.566500,99.400000,4887
2018-07-13,99.540000,99.600000,99.600000,99.360000,4612
