Date, Open, Close, High, Low, Volume
2018-01-02,4.410000,4.530000,4.560000,4.400000,411394
2018-01-03,4.510000,4.480000,4.590000,4.460000,256596
2018-01-04,4.490000,4.480000,4.539000,4.420000,505737
2018-01-05,4.610000,4.695000,4.740000,4.510000,1092854
2018-01-08,4.700000,4.690000,4.700000,4.600000,442169
2018-01-09,4.660000,4.455000,4.690000,4.440000,886439
2018-01-10,4.520000,4.450000,4.550000,4.400000,481773
2018-01-11,4.450000,4.380000,4.480000,4.370000,442682
2018-01-12,4.410000,4.210000,4.440000,4.200000,1345561
2018-01-16,4.140000,4.260000,4.420000,4.100000,891583
2018-01-17,4.260000,4.275000,4.330000,4.200000,497523
2018-01-18,4.580000,4.300000,4.590000,4.260000,741567
2018-01-19,4.300000,4.440000,4.490000,4.290000,549458
2018-01-22,4.420000,4.410000,4.455000,4.360000,433491
2018-01-23,4.410000,4.430000,4.470000,4.350000,266800
2018-01-24,4.460000,4.270000,4.470000,4.240000,677486
2018-01-25,4.300000,4.295000,4.350000,4.230000,559444
2018-01-26,4.320000,4.370000,4.370000,4.250000,329413
2018-01-29,4.370000,4.380000,4.430000,4.350100,408696
2018-01-30,4.330000,4.340000,4.400000,4.280800,351714
2018-01-31,4.390000,4.370000,4.430000,4.335000,493784
2018-02-01,4.350000,4.380000,4.392700,4.300000,510917
2018-02-02,4.320000,4.310000,4.360300,4.250000,554055
2018-02-05,4.250000,4.220000,4.340000,4.210000,732365
2018-02-06,4.150000,4.450000,4.465000,4.000000,953221
2018-02-07,4.440000,4.320000,4.460000,4.250000,922869
2018-02-08,4.490000,4.170000,4.550000,4.150000,771671
2018-02-09,4.200000,4.050000,4.255000,3.800000,1421061
2018-02-12,4.070000,3.950000,4.130000,3.940000,646810
2018-02-13,3.930000,3.780000,3.955000,3.780000,885339
2018-02-14,3.770000,3.850000,4.000000,3.760000,830445
2018-02-15,3.890000,3.910000,3.930000,3.815000,445179
2018-02-16,3.930000,3.910000,3.980000,3.910000,409960
2018-02-20,3.890000,3.820000,3.920000,3.800000,527317
2018-02-21,3.800000,3.860000,3.900000,3.790000,468149
2018-02-22,3.880000,3.860000,3.960000,3.840000,369852
