Date, Open, Close, High, Low, Volume
2018-01-02T05:00:00Z,6.880000,6.810000,7.050000,6.770000,56351
2018-01-03T05:00:00Z,6.800000,6.830000,6.950000,6.770000,30497
2018-01-04T05:00:00Z,6.860000,7.310000,7.506000,6.840000,194188
2018-01-05T05:00:00Z,7.340000,7.260000,7.370000,7.230000,77431
2018-01-08T05:00:00Z,7.240000,7.160000,7.353600,7.160000,38026
2018-01-09T05:00:00Z,7.150000,6.920000,7.183400,6.910000,79968
2018-01-10T05:00:00Z,6.930000,6.840000,7.159000,6.780000,86673
2018-01-11T05:00:00Z,6.840000,7.130000,7.150000,6.810000,62701
2018-01-12T05:00:00Z,7.120000,6.960000,7.210000,6.930000,56512
2018-01-16T05:00:00Z,7.000000,6.980000,7.200000,6.810000,90470
2018-01-17T05:00:00Z,7.040000,6.900000,7.180000,6.840000,80111
2018-01-18T05:00:00Z,6.870000,6.850000,6.940000,6.700000,57248
2018-01-19T05:00:00Z,6.850000,7.060000,7.090000,6.850000,73578
2018-01-22T05:00:00Z,7.050000,6.910000,7.050000,6.810000,49325
2018-01-23T05:00:00Z,6.860000,6.950000,6.970000,6.750000,38059
2018-01-24T05:00:00Z,6.960000,6.790000,6.960000,6.710000,104433
2018-01-25T05:00:00Z,7.120000,8.240000,8.250000,7.120000,322127
2018-01-26T05:00:00Z,8.300000,8.030000,8.300000,7.950000,116030
2018-01-29T05:00:00Z,8.000000,8.320000,8.500000,7.990000,93204
2018-01-30T05:00:00Z,8.280000,8.230000,8.399300,8.110000,115935
2018-01-31T05:00:00Z,8.260000,7.940000,8.453200,7.900000,147572
2018-02-01T05:00:00Z,7.950000,7.900000,8.140000,7.780000,104199
2018-02-02T05:00:00Z,7.810000,7.950000,7.970000,7.710000,97929
2018-02-05T05:00:00Z,7.900000,7.610000,8.075000,7.590000,120208
2018-02-06T05:00:00Z,7.500000,7.720000,7.840000,7.322500,108528
2018-02-07T05:00:00Z,7.690000,8.690000,8.880000,7.690000,745500
2018-02-08T05:00:00Z,8.780000,8.500000,8.800000,8.500000,179224
2018-02-09T05:00:00Z,8.610000,8.510000,8.640000,8.180000,230003
2018-02-12T05:00:00Z,8.560000,8.540000,8.770000,8.328000,162789
2018-02-13T05:00:00Z,8.460000,8.540000,8.700000,8.280000,117176
2018-02-14T05:00:00Z,8.440000,8.570000,8.660000,8.420000,91170
2018-02-15T05:00:00Z,8.620000,8.400000,8.620000,8.333000,86164
2018-02-16T05:00:00Z,8.370000,8.460000,8.580000,8.350000,56277
2018-02-20T05:00:00Z,8.410000,8.210000,8.468000,8.190000,53928
2018-02-21T05:00:00Z,8.230000,8.280000,8.490000,8.200000,70554
2018-02-22T05:00:00Z,8.310000,8.200000,8.380000,8.190000,44516
2018-02-23T05:00:00Z,8.210000,8.320000,8.340000,8.080000,55391
2018-02-26T05:00:00Z,8.330000,8.270000,8.400000,8.150000,60589
2018-02-27T05:00:00Z,8.300000,8.080000,8.345000,8.050000,53478
2018-02-28T05:00:00Z,8.080000,7.810000,8.210000,7.780000,187323
2018-03-01T05:00:00Z,7.790000,7.810000,7.940000,7.742800,69388
2018-03-02T05:00:00Z,7.800000,7.790000,7.860000,7.420000,90620
2018-03-05T05:00:00Z,7.710000,7.740000,7.910000,7.540000,80073
2018-03-06T05:00:00Z,7.764700,7.730000,7.780000,7.630000,54889
2018-03-07T05:00:00Z,7.650000,8.050000,8.110000,7.630000,57503
2018-03-08T05:00:00Z,8.050000,7.920000,8.070000,7.811000,75550
2018-03-09T05:00:00Z,7.970000,8.220000,8.220000,7.780000,48489
2018-03-12T04:00:00Z,8.220000,8.100000,8.340000,8.070000,29207
2018-03-13T04:00:00Z,8.150000,8.100000,8.335000,8.070000,32067
2018-03-14T04:00:00Z,8.130000,7.900000,8.130000,7.870000,28933
2018-03-15T04:00:00Z,7.900000,7.800000,7.950000,7.630000,51935
2018-03-16T04:00:00Z,7.770000,7.860000,7.890000,7.740000,118444
2018-03-19T04:00:00Z,7.870000,7.830000,7.900000,7.590000,81412
2018-03-20T04:00:00Z,7.840000,7.920000,8.000000,7.595200,57370
2018-03-21T04:00:00Z,7.980000,7.900000,8.040000,7.840000,72230
2018-03-22T04:00:00Z,7.830000,7.880000,8.000000,7.830000,88642
2018-03-23T04:00:00Z,7.890000,7.810000,8.005000,7.790000,95949
2018-03-26T04:00:00Z,7.940000,7.790000,7.940000,7.675600,87900
