Date, Open, Close, High, Low, Volume
2018-01-02,2.740000,2.760000,2.840000,2.695000,301069
2018-01-03,2.730000,2.805000,2.860000,2.690000,488890
2018-01-04,2.830000,2.855000,2.900000,2.780000,388270
2018-01-05,2.870000,2.800000,2.900000,2.770000,328622
2018-01-08,2.820000,2.880000,2.930000,2.700000,536598
2018-01-09,2.860000,2.850000,2.950000,2.800000,460376
2018-01-10,2.830000,2.920000,2.990000,2.800000,816047
2018-01-11,2.930000,2.920000,3.050000,2.880000,716506
2018-01-12,2.930000,2.750000,2.990000,2.725000,352497
2018-01-16,2.760000,2.610000,2.840000,2.600000,578569
2018-01-17,2.630000,2.820000,2.840000,2.590000,460244
2018-01-18,2.780000,2.700000,2.790000,2.660000,457499
2018-01-19,2.700000,2.700000,2.820000,2.640000,737291
2018-01-22,2.680000,2.515000,2.710000,2.500000,625484
2018-01-23,2.540000,2.520000,2.575000,2.450000,679091
2018-01-24,2.520000,2.495000,2.570000,2.450100,525040
2018-01-25,2.500000,2.430000,2.520000,2.430000,414196
2018-01-26,2.450000,2.400000,2.450000,2.320000,422550
2018-01-29,2.390000,2.260000,2.420000,2.250000,471416
2018-01-30,2.250000,2.040000,2.260000,2.030000,1358924
2018-01-31,2.070000,2.105000,2.200000,2.070000,894630
2018-02-01,2.140000,2.090000,2.240000,2.075000,957284
2018-02-02,2.100000,2.095000,2.130000,2.060000,553639
2018-02-05,2.060000,1.955000,2.075000,1.950000,824419
2018-02-06,1.940000,1.890000,1.980000,1.810000,758283
2018-02-07,1.890000,1.850000,1.890000,1.810000,480708
2018-02-08,1.850000,1.700000,1.870000,1.670000,789165
2018-02-09,1.720000,1.840000,1.870000,1.700000,680587
2018-02-12,1.860000,1.825000,1.920000,1.740000,426217
2018-02-13,1.800000,1.830000,1.830000,1.800000,166285
2018-02-14,1.810000,1.940000,1.940000,1.800000,337300
2018-02-15,1.940000,1.970000,1.980000,1.940000,397682
2018-02-16,1.980000,2.050000,2.060000,1.950000,602036
2018-02-20,2.040000,2.010000,2.060000,1.980000,282768
2018-02-21,2.000000,1.990000,2.010000,1.940000,779935
2018-02-22,2.000000,1.800000,2.000000,1.785000,325029
2018-02-23,1.810000,1.855000,1.860000,1.760000,142885
2018-02-26,1.890000,1.910000,1.910000,1.840000,129452
2018-02-27,1.890000,1.900000,1.940000,1.860600,209124
2018-02-28,1.910000,1.780000,1.910000,1.770000,309009
2018-03-01,1.780000,1.890000,1.890000,1.770000,356348
2018-03-02,1.870000,1.960000,1.970000,1.830000,217860
2018-03-05,1.970000,1.980000,2.095000,1.960000,673628
2018-03-06,1.990000,1.990000,2.070000,1.930000,200231
2018-03-07,1.980000,1.945000,2.040000,1.930000,187928
2018-03-08,1.950000,1.995000,2.020000,1.900000,375866
2018-03-09,2.030000,2.100000,2.210000,2.030000,962464
2018-03-12,2.110000,2.370000,2.450000,2.110000,2125723
2018-03-13,2.430000,2.395000,2.544900,2.360000,1299132
2018-03-14,2.400000,2.400000,2.480000,2.360000,998077
2018-03-15,2.430000,2.480000,2.520000,2.400000,622658
2018-03-16,2.510000,2.750000,2.780000,2.460000,998089
2018-03-19,2.750000,2.630000,2.760000,2.495000,763423
2018-03-20,2.620000,2.770000,2.800000,2.590000,655355
2018-03-21,2.760000,2.810000,2.850000,2.670000,1004654
2018-03-22,2.800000,2.850000,2.940000,2.800000,657999
2018-03-23,2.850000,2.610000,2.950000,2.590000,983883
2018-03-26,2.660000,2.715000,2.730000,2.560000,699217
2018-03-27,2.720000,2.680000,2.830000,2.640000,543798
2018-03-28,2.670000,2.570000,2.700000,2.530000,845129
2018-03-29,2.580000,2.840000,2.920000,2.580000,990674
2018-04-02,2.810000,2.910000,3.040000,2.760000,1158087
2018-04-03,2.950000,2.945000,3.010000,2.820000,1072645
2018-04-04,2.870000,3.110000,3.120000,2.855000,1220972
2018-04-05,3.120000,2.980000,3.160000,2.960000,934743
2018-04-06,2.970000,2.955000,3.050000,2.890000,741780
2018-04-09,3.000000,2.920000,3.020100,2.900000,551778
2018-04-10,2.960000,3.010000,3.020000,2.890000,616706
2018-04-11,3.020000,3.210000,3.250000,3.000000,597106
2018-04-12,3.220000,3.330000,3.350000,3.185000,562100
2018-04-13,3.350000,3.460000,3.470000,3.330000,433205
2018-04-16,3.490000,3.600000,3.700000,3.490000,818564
2018-04-17,3.630000,3.760000,3.760000,3.550000,574432
2018-04-18,3.790000,3.810000,3.910000,3.705000,719891
2018-04-19,3.830000,3.980000,4.079000,3.830000,786888
2018-04-20,3.990000,3.970000,4.030000,3.869900,1333905
2018-04-23,3.980000,4.000000,4.020000,3.790000,710447
2018-04-24,4.030000,3.880000,4.075000,3.825000,469870
2018-04-25,3.890000,3.960000,4.000000,3.790000,425397
2018-04-26,3.960000,3.900000,4.040000,3.830000,548506
2018-04-27,3.910000,3.700000,3.960000,3.654200,774742
2018-04-30,3.680000,3.730000,3.780000,3.680000,430924
2018-05-01,3.680000,3.560000,3.730000,3.430000,1041314
2018-05-02,3.550000,3.700000,3.810000,3.460000,767303
2018-05-03,3.670000,3.600000,3.760000,3.495000,726317
2018-05-04,3.610000,3.630000,3.730000,3.550000,537133
2018-05-07,3.660000,3.740000,3.800000,3.650000,524499
2018-05-08,3.720000,3.600000,3.790000,3.520000,940918
2018-05-09,3.600000,3.555000,3.695700,3.400000,682387
2018-05-10,3.560000,3.290000,3.600000,3.270000,626884
2018-05-11,3.250000,3.270000,3.485000,3.250000,884673
2018-05-14,3.350000,3.370000,3.420000,3.295000,845008
2018-05-15,3.360000,3.450000,3.525000,3.350000,602638
2018-05-16,3.450000,3.500000,3.550000,3.350000,422269
2018-05-17,3.520000,3.560000,3.600000,3.460000,366385
2018-05-18,3.600000,3.500000,3.620000,3.450000,414207
2018-05-21,3.520000,3.505000,3.590000,3.460000,291677
2018-05-22,3.510000,3.565000,3.585000,3.450000,475370
2018-05-23,3.530000,3.535000,3.640000,3.450000,315578
2018-05-24,3.490000,3.550000,3.640000,3.470000,275465
2018-05-25,3.510000,3.430000,3.510000,3.330000,286816
2018-05-29,3.400000,3.480000,3.580000,3.400000,301348
2018-05-30,3.510000,3.570000,3.680000,3.500000,214553
2018-05-31,3.570000,3.650000,3.680000,3.550000,384834
2018-06-01,3.660000,3.590000,3.770000,3.590000,346965
2018-06-04,3.600000,3.680000,3.765000,3.560000,578495
2018-06-05,3.670000,3.825000,3.830000,3.610000,743094
2018-06-06,3.820000,3.650000,3.825000,3.610000,500318
2018-06-07,3.660000,3.750000,3.840000,3.640000,580354
2018-06-08,3.760000,3.600000,3.880000,3.580000,681171
2018-06-11,3.610000,3.630000,3.740000,3.580000,470126
2018-06-12,3.620000,3.840000,3.850000,3.540000,1108453
2018-06-13,3.820000,3.910000,3.930000,3.745000,1161574
2018-06-14,3.930000,3.820000,4.050000,3.730000,871274
2018-06-15,3.810000,3.795000,3.840000,3.720000,381458
2018-06-18,3.780000,3.800000,3.970000,3.730000,724675
2018-06-19,3.770000,3.780000,3.930000,3.740000,670139
2018-06-20,3.820000,3.790000,3.900000,3.760000,462694
2018-06-21,3.770000,3.760000,3.910000,3.690000,591168
2018-06-22,3.780000,3.910000,3.930000,3.730000,839707
2018-06-25,3.900000,3.815000,3.920000,3.750000,666654
2018-06-26,3.830000,3.970000,4.010000,3.730000,1130427
2018-06-27,3.990000,4.000000,4.160000,3.920000,1281861
2018-06-28,3.990000,3.870000,3.990000,3.850000,338661
