Date, Open, Close, High, Low, Volume
2018-01-02,15.400000,15.660000,15.750000,15.400000,76507
2018-01-03,14.300000,15.060000,15.150000,14.210000,465913
2018-01-04,14.810000,14.860000,15.130000,14.800000,133545
2018-01-05,14.880000,14.810000,14.940000,14.710000,149068
2018-01-08,14.770000,14.755000,14.810000,14.540000,97723
2018-01-09,14.740000,14.478000,14.799200,14.410000,117295
2018-01-10,14.410000,14.287100,14.480000,14.250000,117241
2018-01-11,14.200000,14.170000,14.250000,14.150000,93488
2018-01-12,13.950000,13.905000,14.070000,13.780000,252334
2018-01-16,13.800000,13.560000,13.880000,13.520000,239792
2018-01-17,13.490000,13.980000,14.199000,13.361000,253762
2018-01-18,13.790000,13.650000,13.980000,13.550000,80877
2018-01-19,13.540000,13.770000,13.840000,13.510000,93175
2018-01-22,13.750000,13.960000,14.040800,13.560000,86626
2018-01-23,13.840000,13.950000,14.165500,13.792100,75620
2018-01-24,14.050000,13.766700,14.050000,13.740000,92871
2018-01-25,13.740000,13.790000,13.871700,13.740000,51728
2018-01-26,13.800000,13.740000,13.800000,13.700000,59366
2018-01-29,13.660000,13.740000,13.920000,13.610000,100305
2018-01-30,13.620000,13.686300,13.819900,13.510000,56870
2018-01-31,13.600000,13.630000,13.710000,13.420000,115237
2018-02-01,13.670000,13.370000,13.790000,13.360000,100584
2018-02-02,13.300000,13.234200,13.409000,13.200000,80960
2018-02-05,13.270000,13.110000,13.410000,13.090000,111165
2018-02-06,13.000000,13.010000,13.375200,12.871000,152621
2018-02-07,12.980000,12.810000,13.102500,12.700000,133699
2018-02-08,12.830000,12.870000,12.990000,12.810000,112444
2018-02-09,12.910000,12.600000,12.930000,12.370000,166524
2018-02-12,12.650000,12.940000,12.950000,12.618200,100843
2018-02-13,13.000000,13.000000,13.070000,12.910100,40540
2018-02-14,12.980000,13.230000,13.470000,12.960000,45819
2018-02-15,13.320000,13.230000,13.600000,13.110000,60110
2018-02-16,13.160000,13.810000,14.030000,13.160000,118085
2018-02-20,13.680000,13.830000,13.970000,13.680000,91039
2018-02-21,13.740000,13.791000,13.960000,13.740000,58408
2018-02-22,13.750000,13.970000,14.140000,13.750000,51209
2018-02-23,13.940000,13.870000,14.019400,13.840100,34148
2018-02-26,13.970000,13.910000,14.130000,13.860000,48461
2018-02-27,14.060000,13.680000,14.060000,13.680000,34530
2018-02-28,13.830000,13.740000,13.890000,13.710000,29232
2018-03-01,13.830000,13.720000,13.906000,13.720000,32018
2018-03-02,13.690000,13.900000,14.061600,13.690000,31710
2018-03-05,13.980000,14.020000,14.050000,13.830000,49838
2018-03-06,14.050000,14.150000,14.170000,13.991000,29040
2018-03-07,14.080000,14.000000,14.185000,13.940000,68437
2018-03-08,14.000000,14.080000,14.190000,14.000000,21909
2018-03-09,14.000000,13.990000,14.200000,13.989900,58416
2018-03-12,14.020000,13.850000,14.080200,13.840000,37772
2018-03-13,13.890000,13.880000,13.963500,13.860000,21929
2018-03-14,13.920000,13.670000,13.920000,13.670000,42025
2018-03-15,13.800000,13.730000,13.829000,13.684800,32377
2018-03-16,13.710000,13.780000,13.829900,13.710000,18316
2018-03-19,13.950000,13.940000,13.980000,13.800000,48488
2018-03-20,13.990000,13.990000,13.990000,13.810000,24740
2018-03-21,13.940000,13.760000,13.949000,13.620000,59302
2018-03-22,13.700000,13.760000,13.790000,13.630000,17009
2018-03-23,13.670000,13.710000,13.739900,13.630000,25113
2018-03-26,13.710000,13.490000,13.789000,13.300000,64837
2018-03-27,13.370000,13.170000,13.453300,13.170000,45661
2018-03-28,13.240000,13.280000,13.469000,13.171000,31989
2018-03-29,13.450000,13.420000,13.490000,13.250000,38226
2018-04-02,13.360000,13.350000,13.680000,13.350000,67524
2018-04-03,13.350000,13.410000,13.510000,13.250000,52976
2018-04-04,13.350000,13.360000,13.470000,13.135000,179247
2018-04-05,13.490000,13.370000,13.490000,13.364700,17419
2018-04-06,13.360000,13.450000,13.533800,13.360000,41642
2018-04-09,13.500000,13.640000,13.889200,13.427000,255952
2018-04-10,13.750000,13.650000,13.750000,13.500000,45774
2018-04-11,13.530000,13.680000,13.700000,13.510000,24296
2018-04-12,13.610000,13.550000,13.840000,13.450100,308466
2018-04-13,13.570000,13.490000,13.635000,13.210000,95676
2018-04-16,13.410000,13.360000,13.489100,13.350100,36589
2018-04-17,13.340000,13.470000,13.480000,13.340000,64445
2018-04-18,13.440000,13.440000,13.600000,13.420000,42834
2018-04-19,13.440000,13.410000,13.530100,13.270000,379307
2018-04-20,13.350000,13.440000,13.569000,13.350000,26966
2018-04-23,13.410000,13.480000,13.566600,13.390000,21309
2018-04-24,13.400000,13.380000,13.527400,13.360000,20758
2018-04-25,13.340000,13.300000,13.380000,13.200000,72457
2018-04-26,13.260000,13.480000,13.640000,13.260000,244534
2018-04-27,13.410000,13.490000,13.519000,13.360000,18106
2018-04-30,13.450000,13.450000,13.500000,13.401000,32725
2018-05-01,13.480000,13.410000,13.520000,13.400000,71885
2018-05-02,13.500000,13.600000,13.690000,13.500000,29339
2018-05-03,13.620000,13.760000,13.823400,13.570000,35610
2018-05-04,13.760000,13.885000,13.945000,13.570000,140750
2018-05-07,14.000000,13.960000,14.050000,13.867900,55822
2018-05-08,13.960000,14.060000,14.060000,13.930100,43234
2018-05-09,14.100000,13.960000,14.100000,13.918800,37666
2018-05-10,13.850000,13.840000,13.980000,13.830800,45191
2018-05-11,13.880000,13.860000,13.900000,13.780000,26209
2018-05-14,13.830000,13.720000,13.846700,13.634200,26479
2018-05-15,13.690000,13.670000,13.850100,13.510100,197873
2018-05-16,13.670000,13.760000,13.830000,13.570000,147805
2018-05-17,13.760000,13.820000,13.890000,13.760000,36698
2018-05-18,13.910000,13.770000,13.919000,13.690000,141237
2018-05-21,13.810000,13.930000,13.935000,13.780000,169256
2018-05-22,13.920000,13.920000,13.940000,13.860100,27841
2018-05-23,13.830000,13.880000,13.920000,13.800000,105222
2018-05-24,13.880000,13.770000,13.880000,13.710000,51203
2018-05-25,13.800000,13.760000,13.890000,13.720000,14345
2018-05-29,13.850000,13.690000,13.850000,13.663000,37740
2018-05-30,13.790000,13.670000,13.790000,13.630000,40897
2018-05-31,13.680000,13.560000,13.710000,13.510000,300777
2018-06-01,13.720000,13.640000,13.720000,13.510000,45706
2018-06-04,13.680000,13.960000,14.000000,13.680000,93789
2018-06-05,13.990000,14.118100,14.130000,13.950100,73012
2018-06-06,14.110000,14.210000,14.220000,14.050000,67815
2018-06-07,14.300000,14.835000,14.880000,14.250000,299238
2018-06-08,14.810000,15.159000,15.180000,14.800000,308207
2018-06-11,15.270000,15.170000,15.750000,15.156500,204279
2018-06-12,15.250000,15.370000,15.410000,15.170000,94616
2018-06-13,15.500000,15.550000,15.700000,15.420000,86213
2018-06-14,15.630000,15.160000,15.630000,15.080000,174322
2018-06-15,15.050000,15.010000,15.116200,14.900000,110121
2018-06-18,14.900000,14.850000,15.060000,14.810000,91681
2018-06-19,14.730000,14.770000,14.900000,14.540000,79447
2018-06-20,14.770000,14.830000,14.870000,14.760000,51209
2018-06-21,14.880000,14.810000,14.880000,14.760000,43778
2018-06-22,14.790000,14.810000,14.900000,14.790000,31640
2018-06-25,14.810000,14.650000,14.940000,14.600000,226916
2018-06-26,14.830000,14.630000,14.850000,14.620000,34436
2018-06-27,14.620000,14.760000,14.860000,14.620000,56175
2018-06-28,14.700000,14.910000,14.990000,14.700000,28730
2018-06-29,14.900000,15.000000,15.000000,14.850100,32324
2018-07-02,15.000000,15.120000,15.289900,14.932900,56297
2018-07-03,15.350000,15.120000,15.350000,15.040000,49911
2018-07-05,15.300000,15.320000,15.500000,15.258400,81233
2018-07-06,15.380000,15.460000,15.500000,15.330000,50162
2018-07-09,15.500000,15.749000,15.749000,15.453600,61409
2018-07-10,15.830000,15.680000,15.840000,15.481900,34972
2018-07-11,15.650000,15.680000,15.800000,15.340000,37436
2018-07-12,15.560000,15.550000,15.650000,15.500000,40257
2018-07-13,15.510000,15.482500,15.560100,15.440000,34550
2018-07-16,15.460000,15.430000,15.478000,15.330000,43736
2018-07-17,15.450000,15.200000,15.450000,15.120000,70730
2018-07-18,15.310000,15.540000,15.560000,15.060000,328055
2018-07-19,15.570000,15.404900,15.570000,15.231400,31097
2018-07-20,15.480000,15.370000,15.480000,15.310100,16036
2018-07-23,15.400000,15.350000,15.410000,15.244800,31651
2018-07-24,15.270000,15.350000,15.438900,15.210000,28042
2018-07-25,15.350000,15.400000,15.640000,15.300000,38789
2018-07-26,15.360000,15.300000,15.470000,15.300000,17890
2018-07-27,15.280000,15.210000,15.359500,15.200000,24674
2018-07-30,15.240000,15.220000,15.379000,15.200000,25596
2018-07-31,15.390000,15.445000,15.450000,15.271000,17937
2018-08-01,15.430000,15.440000,15.472000,15.354300,27008
2018-08-02,15.450000,15.560000,15.560000,15.330000,34109
2018-08-03,15.490000,15.680000,15.680000,15.490000,29995
2018-08-06,15.680000,15.760000,15.800000,15.650100,38403
2018-08-07,15.760000,15.960000,16.000000,15.670300,33287
2018-08-08,15.990000,16.280000,16.400000,15.925000,53945
2018-08-09,16.260000,16.190000,16.260000,16.100100,24935
2018-08-10,15.980000,16.020000,16.150000,15.970000,44498
2018-08-13,16.120000,16.050000,16.120000,15.843800,39774
2018-08-14,15.970000,15.700000,15.970000,15.571000,44199
2018-08-15,15.710000,15.680600,15.789000,15.520000,38320
2018-08-16,15.640000,15.680000,15.710000,15.521000,11900
2018-08-17,15.800000,15.538700,15.800000,15.500000,44285
2018-08-20,15.500000,15.550000,15.628100,15.500000,21603
2018-08-21,15.550000,15.510000,15.610000,15.410000,45343
2018-08-22,15.470000,15.430000,15.600000,15.409000,36614
2018-08-23,15.390000,14.800000,15.400000,14.330000,242179
2018-08-24,14.780000,14.200000,14.780000,14.110000,275173
2018-08-27,14.330000,14.290000,14.541000,14.271000,94385
2018-08-28,14.360000,14.040000,14.360000,13.870000,137974
2018-08-29,14.000000,14.010000,14.150000,13.940000,80725
2018-08-30,14.030000,14.070000,14.240000,14.030000,61216
2018-08-31,14.150000,14.200000,14.240000,14.150000,25057
2018-09-04,14.200000,14.380000,14.410100,14.150000,69975
2018-09-05,14.470000,14.560000,14.590000,14.450000,68316
2018-09-06,14.640000,14.610000,14.732800,14.510000,106228
2018-09-07,14.670000,14.440000,14.722000,14.400000,43070
2018-09-10,14.590000,14.580000,14.650000,14.444400,24688
2018-09-11,14.540000,14.620000,14.760000,14.540000,40602
2018-09-12,14.580000,14.600000,14.649400,14.580000,33323
2018-09-13,14.220000,14.600000,14.600000,14.120000,175201
2018-09-14,14.620000,14.390100,14.620000,14.340000,43441
2018-09-17,14.340000,14.310000,14.465000,14.190000,177329
2018-09-18,14.190000,14.030000,14.408000,14.000400,115389
2018-09-19,14.000000,14.140000,14.260000,13.987500,77047
2018-09-20,14.210000,14.310000,14.500000,14.189200,87355
2018-09-21,14.320000,13.920000,14.330000,13.890000,128689
2018-09-24,13.930000,14.230000,14.500000,13.930000,65351
2018-09-25,14.220000,14.440000,14.450000,14.180000,53832
2018-09-26,14.600000,14.490000,14.600000,14.430000,68090
2018-09-27,14.500000,14.460000,14.500000,14.335200,23558
2018-09-28,14.500000,14.420000,14.500000,14.390000,39536
2018-10-01,14.420000,14.572200,14.711000,14.420000,79931
2018-10-02,14.600000,14.580000,14.710000,14.350000,129648
2018-10-03,14.620000,14.700000,14.760000,14.581000,47017
2018-10-04,14.650000,14.530000,14.760000,14.495200,53880
2018-10-05,14.450000,14.540000,14.575400,14.130000,87815
2018-10-08,14.410000,14.210000,14.620000,14.130000,44506
2018-10-09,14.160000,14.200000,14.349800,14.160000,26701
2018-10-10,14.232800,13.960000,14.247900,13.850000,58183
2018-10-11,13.670000,13.690000,13.940000,13.570000,137476
2018-10-12,14.010000,13.740000,14.131400,13.370000,83968
2018-10-15,13.760000,13.750000,13.820000,13.670000,15333
2018-10-16,13.861500,13.850000,14.015800,13.850000,30130
2018-10-17,13.954100,13.960000,13.960000,13.750100,56449
2018-10-18,13.960000,13.800000,13.963600,13.510000,85594
2018-10-19,13.801000,13.900000,13.910000,13.801000,4227
2018-10-22,14.050000,13.600000,14.050000,13.550000,46309
2018-10-23,13.420000,13.680000,13.905500,13.240000,24530
2018-10-24,13.740000,12.920000,13.740000,12.820100,131206
2018-10-25,12.900000,13.170000,13.249900,12.900000,34187
2018-10-26,13.060000,12.909200,13.260000,12.750000,31410
2018-10-29,12.900000,12.885000,13.120000,12.801000,47041
2018-10-30,12.960000,13.160000,13.235000,12.943700,68330
2018-10-31,13.250000,13.200000,13.290000,13.109100,28057
2018-11-01,13.350000,13.300000,13.350000,13.193700,28076
