Date, Open, Close, High, Low, Volume
2019-05-08,30.650000,30.150000,31.440000,29.200000,14695700
2019-05-09,29.640000,29.930000,30.299700,29.030000,1677356
2019-05-10,29.890000,31.010000,31.350000,29.500000,728213
2019-05-13,30.290000,31.070000,31.670000,29.750000,1010323
2019-05-14,31.100000,31.700000,32.600000,31.020000,1385271
2019-05-15,31.790000,32.450000,32.500000,31.600000,639791
2019-05-16,32.240000,31.000000,33.270000,31.000000,1230161
2019-05-17,30.750000,30.860000,31.680000,30.630000,716229
2019-05-20,30.980000,31.820000,31.980000,30.760000,396243
2019-05-21,31.980000,32.710000,33.670000,31.929800,866992
2019-05-22,32.640000,32.600000,33.000000,32.155000,411145
2019-05-23,32.430000,31.900000,32.569900,31.500000,466331
2019-05-24,32.010000,32.080000,32.290000,31.510000,184527
2019-05-28,32.250000,31.870000,32.439300,31.560000,316417
2019-05-29,31.740000,31.430000,31.880000,31.120000,241166
2019-05-30,31.340000,31.280000,31.710000,31.260000,255214
2019-05-31,31.830000,31.750000,31.830000,31.740000,10180
2019-06-03,32.000000,32.220000,32.400000,31.271000,372426
2019-06-04,32.520000,31.980000,32.640000,31.560000,414572
2019-06-05,31.940000,31.590000,31.963200,31.230000,272716
2019-06-06,32.040000,32.000000,32.050000,31.990000,2694
2019-06-07,32.000000,32.370000,32.730000,31.990100,356468
2019-06-10,32.600000,31.810000,32.880000,30.860000,708925
2019-06-11,32.000000,31.910000,32.000000,31.220000,395664
2019-06-12,31.640000,31.690000,32.000000,31.450000,201815
2019-06-13,31.650000,31.770000,32.150000,31.090000,244598
2019-06-14,31.790000,31.650000,31.970000,31.500100,165314
2019-06-17,31.490000,31.320000,31.760000,31.140000,505549
2019-06-18,32.430000,32.870000,33.880000,31.590000,2072566
2019-06-19,33.530000,34.900000,35.770000,33.230000,1119293
2019-06-20,35.250000,35.725000,36.450000,35.190000,1188558
2019-06-21,35.700000,37.660000,37.820000,34.759200,1145350
2019-06-24,37.950000,36.790000,38.330000,36.355000,677977
2019-06-25,36.990000,36.750000,37.500000,36.520000,874467
2019-06-26,36.310000,37.060000,37.070000,35.980000,622778
2019-06-27,36.820000,36.900000,37.930000,36.750000,703052
2019-06-28,37.410000,36.910000,37.500000,36.320000,553240
2019-07-01,37.070000,36.480000,38.090000,35.610000,898164
2019-07-02,36.490000,36.140000,36.560000,35.360000,362574
2019-07-03,36.200000,36.460000,36.470000,35.810000,118286
2019-07-05,36.350000,36.950000,37.000000,36.001000,157982
2019-07-08,36.810000,36.620000,36.990000,36.200000,201139
2019-07-09,36.400000,36.540000,36.800000,36.120000,184349
2019-07-10,36.545000,36.700000,37.370000,36.420000,265585
2019-07-11,36.770000,37.380000,37.480000,36.225000,236894
2019-07-12,37.580000,37.650000,37.990000,37.120000,261082
2019-07-15,37.860000,38.020000,38.385000,37.510000,265273
2019-07-16,38.000000,37.295000,38.000000,37.130000,157626
2019-07-17,37.310000,37.100000,37.640000,36.640000,164265
2019-07-18,36.880000,36.250000,37.070000,35.710000,310348
2019-07-19,36.240000,36.850000,37.320000,35.680000,248300
2019-07-22,36.850000,37.760000,37.870000,36.456800,219162
2019-07-23,37.900000,37.150000,37.980000,37.000000,147502
2019-07-24,36.950000,37.360000,37.430300,36.730000,135369
2019-07-25,37.130000,36.895000,37.400000,36.570000,137452
2019-07-26,37.010000,37.200000,37.560000,36.958200,124358
2019-07-29,37.250000,37.515000,37.830000,37.020000,139045
2019-07-30,37.330000,37.090000,37.400000,36.920000,108561
2019-07-31,37.130000,36.710000,38.820000,35.040000,671739
2019-08-01,36.650000,37.570000,37.800000,36.280000,152099
2019-08-02,37.270000,37.230000,37.630000,36.520000,138137
2019-08-05,36.450000,36.230000,36.600000,35.350000,263339
2019-08-06,36.620000,35.970000,37.244600,35.570000,211394
2019-08-07,35.580000,35.890000,36.250000,35.500000,150492
2019-08-08,36.140000,37.280000,37.520000,36.032000,203382
2019-08-09,37.520000,37.100000,37.650000,37.080000,122682
2019-08-12,37.240000,36.150000,37.580000,35.820000,224375
2019-08-13,35.050000,35.920000,36.900000,32.500000,789770
2019-08-14,35.680000,34.090000,35.690000,33.680000,333868
2019-08-15,34.300000,34.430000,34.990000,33.970000,138739
2019-08-16,34.550000,34.150000,34.860000,34.120000,182902
2019-08-19,34.500000,34.090000,34.778000,33.980000,208805
2019-08-20,34.250000,33.730000,34.350000,33.640000,107176
2019-08-21,34.270500,34.340000,34.500000,33.856000,199071
2019-08-22,34.320000,34.680000,34.970000,34.220000,135858
2019-08-23,34.430000,33.530000,34.485000,33.430000,142660
2019-08-26,33.850000,34.110000,34.250000,33.510000,133392
2019-08-27,34.400000,33.560000,34.711300,33.400000,180568
2019-08-28,33.820000,33.760000,34.010000,33.360000,141113
2019-08-29,33.890000,34.235000,34.273500,33.890000,136576
2019-08-30,34.350000,34.010000,34.540000,33.760000,112481
2019-09-03,33.670000,33.470000,34.000000,33.350000,88816
2019-09-04,33.700000,33.390000,33.850000,33.067000,150646
2019-09-05,33.540000,35.270000,36.000000,33.540000,877181
2019-09-06,35.240000,34.650000,35.689900,34.530000,125701
2019-09-09,34.770000,34.280000,35.100000,33.900000,214946
2019-09-10,34.250000,32.920000,34.250000,32.720000,217192
2019-09-11,32.790000,35.000000,35.640000,32.790000,364362
2019-09-12,35.190000,35.250000,35.790000,34.745000,236963
2019-09-13,35.440000,36.810000,37.570000,35.440000,493534
2019-09-16,36.910000,37.300000,38.500000,36.810000,502792
2019-09-17,37.180000,37.310000,38.110000,36.930000,388988
2019-09-18,37.250000,37.570000,38.000000,37.055000,362567
2019-09-19,37.700000,37.350000,38.480000,37.330000,390973
2019-09-20,37.370000,35.050000,37.400000,34.970000,661467
2019-09-23,35.285000,33.985000,36.080000,33.610000,386501
2019-09-24,33.760000,33.415000,34.250000,32.900000,278524
2019-09-25,33.340000,33.620000,33.920000,32.370000,239025
2019-09-26,33.410000,33.400000,33.790000,32.910100,240560
2019-09-27,33.440000,33.490000,33.954400,33.030000,260765
2019-09-30,33.500000,32.990000,33.620000,32.860000,456066
2019-10-01,33.060000,32.910000,33.155000,32.570000,223401
2019-10-02,32.640000,31.870000,32.880000,31.690000,223131
2019-10-03,31.750000,32.910000,33.030000,31.750000,297846
2019-10-04,32.970000,32.990000,33.330000,32.220000,259139
2019-10-07,33.070000,32.960000,33.070000,32.330000,270158
2019-10-08,32.600000,32.370000,32.920000,32.230000,385846
2019-10-09,32.680000,32.020000,32.792000,31.870000,182508
2019-10-10,32.130000,32.950000,33.300000,31.950000,279566
2019-10-11,33.450000,32.805000,33.650000,32.410000,230877
2019-10-14,32.720000,32.440000,32.960000,32.290000,129279
2019-10-15,32.360000,32.510000,32.840000,32.220000,175799
2019-10-16,32.430000,32.650000,32.830000,32.340000,194252
2019-10-17,32.800000,32.660000,33.130000,32.600600,254505
2019-10-18,32.680000,32.330000,32.800000,32.050000,358137
2019-10-21,32.460000,32.580000,33.090000,32.300000,199712
