Date, Open, Close, High, Low, Volume
2018-09-14,9.100000,15.510000,20.390000,9.100000,15960223
2018-09-17,17.220000,9.489000,17.350000,9.400000,15877210
2018-09-18,9.850000,9.240100,10.800000,9.010000,7420034
2018-09-19,9.450000,9.489900,10.180000,9.320000,4394662
2018-09-20,9.810000,9.300000,9.950000,9.210000,2351173
2018-09-21,9.490000,8.555800,9.530000,8.550000,2060725
2018-09-24,8.320000,7.270000,8.330000,7.120000,3071709
2018-09-25,7.400000,7.120000,7.720000,7.080000,2723332
2018-09-26,7.220000,7.127300,7.360000,7.100000,1292237
2018-09-27,7.070000,7.280000,7.300000,6.550000,3073873
2018-09-28,7.170000,7.135700,7.920000,7.070000,2742622
2018-10-01,7.240000,6.790000,7.280000,6.750000,1485983
2018-10-02,6.630000,6.690000,7.050000,6.530000,949928
2018-10-03,6.760000,6.650000,7.070000,6.560000,745174
2018-10-04,6.590000,6.800000,6.890000,6.580000,675255
2018-10-05,6.750000,7.290000,7.480000,6.550000,1374664
2018-10-08,7.150000,7.430000,7.970000,7.050000,1943084
2018-10-09,7.690000,7.550000,7.700000,6.950000,978820
2018-10-10,7.650000,7.060100,7.770000,7.030000,1096637
2018-10-11,7.030000,7.220000,7.300000,7.030000,411980
2018-10-12,7.400000,7.200000,7.530000,7.060000,2333474
2018-10-15,7.180000,7.490000,7.553500,7.130000,637681
2018-10-16,7.430000,8.050000,8.180000,7.400000,2361688
2018-10-17,8.080000,8.060000,8.300000,7.750000,1284552
2018-10-18,7.850000,7.800000,8.000000,7.680000,1027353
2018-10-19,7.900000,7.270000,7.976200,7.220000,491465
2018-10-22,7.510000,7.360000,7.570000,7.270000,238924
2018-10-23,7.120000,6.940000,7.120000,6.760000,561114
2018-10-24,7.000000,6.360000,7.000000,6.280000,466918
2018-10-25,6.470000,6.499900,6.610000,6.270000,322382
2018-10-26,6.390000,6.103800,6.400000,5.951100,398720
2018-10-29,6.150000,5.220000,6.229900,5.110000,773622
2018-10-30,5.210000,5.250000,5.400000,5.090000,289316
2018-10-31,5.290000,5.410000,5.590000,5.280000,260789
2018-11-01,5.440000,5.970000,6.140000,5.440000,930775
2018-11-02,6.050000,5.910000,6.240000,5.800000,431685
2018-11-05,5.880000,5.980000,6.085800,5.800000,151141
2018-11-06,6.000000,5.840500,6.158500,5.750000,230165
2018-11-07,5.980000,5.920000,5.980000,5.730000,242741
2018-11-08,5.880000,5.978500,6.130000,5.851100,215795
2018-11-09,5.850000,5.980000,6.000000,0.059100,238986
2018-11-12,5.390000,5.190000,5.430000,5.100000,643988
2018-11-13,5.230000,5.150000,5.450000,5.000000,310257
2018-11-14,5.400000,5.330000,5.480000,5.110000,557297
2018-11-15,5.380000,5.490000,5.690000,5.320000,278714
2018-11-16,5.450000,5.360000,5.570000,5.360000,238525
2018-11-19,5.370000,5.040000,5.471800,4.910300,317351
2018-11-20,5.000000,4.655000,5.066000,4.590000,475943
2018-11-21,4.830000,4.750000,4.970600,4.750000,221084
2018-11-23,4.770000,4.560000,4.810000,4.520000,134567
2018-11-26,4.860000,4.660000,4.878900,4.610000,198408
2018-11-27,4.650000,4.730000,4.800000,4.620000,115444
2018-11-28,4.740000,4.660000,4.740000,4.510000,369392
2018-11-29,4.620000,4.520000,4.810000,4.500000,249898
2018-11-30,4.530000,4.490000,4.590000,4.400000,268053
2018-12-03,4.650000,4.390000,4.690000,4.370000,341901
2018-12-04,4.360000,4.570000,4.640000,4.000000,474511
2018-12-06,4.390000,4.440000,4.580000,4.339900,198969
2018-12-07,4.460000,4.310000,4.509900,4.040000,354551
2018-12-10,4.100000,4.380000,4.510000,4.100000,204972
2018-12-11,4.380000,4.160000,4.432400,4.010000,307463
2018-12-12,4.270000,4.470000,4.580000,4.170800,471704
2018-12-13,4.560000,5.220000,5.350000,4.560000,1716776
2018-12-14,5.020000,5.070000,5.090000,4.830000,402516
2018-12-17,4.960000,5.100000,5.500000,4.960000,502927
2018-12-18,5.180000,5.310000,5.410000,5.180000,347295
2018-12-19,5.370000,5.440000,5.700000,5.300000,729471
2018-12-20,5.400000,5.360000,5.406700,5.120000,492191
