Date, Open, Close, High, Low, Volume
2018-01-02,11.110000,10.480000,11.280000,10.390000,4072535
2018-01-03,10.460000,10.300000,10.530000,10.075000,2822566
2018-01-04,10.370000,10.590000,10.650000,10.205000,2600412
2018-01-05,10.620000,10.950000,10.960000,10.410000,2111150
2018-01-08,11.000000,11.100000,11.290000,10.870000,1517098
2018-01-09,11.120000,11.190000,11.315000,10.830000,946431
2018-01-10,11.170000,11.080000,11.190000,11.020000,488919
2018-01-11,11.120000,11.150000,11.190000,10.710000,1168024
2018-01-12,11.180000,11.390000,11.430000,11.010000,876353
2018-01-16,11.470000,11.315000,11.740000,11.135000,876106
2018-01-17,11.300000,11.430000,11.530000,11.170000,775850
2018-01-18,11.390000,11.600000,11.770000,11.345000,1359370
2018-01-19,11.670000,11.690000,11.750000,11.485000,632810
2018-01-22,11.430000,11.760000,12.010000,11.420000,1099304
2018-01-23,11.740000,11.575000,11.750000,11.400000,860289
2018-01-24,11.640000,11.580000,11.700000,11.390000,615650
2018-01-25,11.650000,11.460000,11.690000,11.430000,408067
2018-01-26,11.480000,11.680000,11.690000,11.350000,592695
2018-01-29,11.630000,11.110000,11.690000,11.040000,1323166
2018-01-30,11.040000,10.930000,11.080000,10.780000,877610
2018-01-31,10.940000,10.840000,11.000000,10.670000,951846
2018-02-01,10.830000,10.280000,10.890000,10.120000,2127469
2018-02-02,10.160000,9.740000,10.230000,9.660000,2095852
2018-02-05,9.670000,9.420000,9.850000,9.220000,3478136
2018-02-06,9.090000,9.960000,9.980000,9.050000,2218830
2018-02-07,9.930000,10.000000,10.200000,9.750000,939154
2018-02-08,10.030000,9.610000,10.130000,9.590000,1507301
2018-02-09,9.800000,9.850000,10.060000,9.560000,1961247
2018-02-12,9.940000,9.600000,10.060000,9.500000,1299669
2018-02-13,9.540000,9.240000,9.620000,9.070000,1672821
2018-02-14,9.240000,9.740000,9.820000,9.180000,956058
2018-02-15,9.850000,9.820000,9.880000,9.665000,789447
2018-02-16,9.770000,9.540000,10.040000,9.480000,831713
2018-02-20,9.490000,8.950000,9.570100,8.860000,2003884
2018-02-21,8.260000,8.480000,8.710000,8.000000,4223250
2018-02-22,8.460000,8.215000,8.620000,8.170000,1746716
2018-02-23,8.250000,8.090000,8.320100,8.040000,1798294
2018-02-26,8.100000,8.240000,8.290000,8.020000,1166319
2018-02-27,8.250000,7.530000,8.480000,7.530000,2241236
2018-02-28,7.530000,7.520000,7.710000,7.470000,2192303
2018-03-01,7.470000,7.420000,7.532000,7.240000,1647333
2018-03-02,7.380000,7.310000,7.437000,7.220000,1082222
2018-03-05,7.300000,7.470000,7.590000,7.270000,1139676
2018-03-06,7.500000,7.600000,7.700000,7.380000,1104391
2018-03-07,7.500000,7.650000,7.700000,7.490000,1150163
2018-03-08,8.130000,8.450000,8.550000,8.010100,2921549
2018-03-09,8.500000,8.630000,8.650000,8.250000,1613064
2018-03-12,8.660000,9.225000,9.400000,8.600000,2256331
2018-03-13,9.230000,8.940000,9.250000,8.930000,1337648
2018-03-14,9.050000,9.000000,9.140000,8.870000,1499799
2018-03-15,9.010000,9.040000,9.150000,8.930000,1238402
2018-03-16,9.040000,9.060000,9.255000,8.960000,1014728
2018-03-19,9.010000,8.800000,9.010000,8.570000,2027191
2018-03-20,8.840000,8.430000,8.840000,8.430000,1159848
2018-03-21,8.410000,8.370000,8.850000,8.360000,862037
2018-03-22,8.310000,8.350000,8.510000,8.310000,877268
2018-03-23,8.390000,8.200000,8.390000,8.120000,791906
2018-03-26,8.250000,8.725000,8.750000,8.180000,958367
2018-03-27,8.780000,8.710000,8.825000,8.510000,942130
2018-03-28,8.700000,8.700000,9.000000,8.570000,805844
2018-03-29,8.780000,8.630000,8.840000,8.590000,763669
2018-04-02,8.540000,8.720000,8.780000,8.430000,764540
2018-04-03,8.770000,9.380000,9.510000,8.660000,3323938
2018-04-04,9.150000,9.540000,9.750000,9.120000,1921406
2018-04-05,9.670000,9.840000,10.070000,9.280000,2494011
2018-04-06,9.710000,9.520000,9.800000,9.500000,1280204
2018-04-09,10.010000,9.600000,10.360000,9.500000,2570941
2018-04-10,9.840000,9.885000,10.000000,9.710000,1193038
2018-04-11,9.890000,10.040000,10.160000,9.830000,1039624
2018-04-12,10.040000,10.120000,10.245000,9.870000,1165923
2018-04-13,10.210000,10.220000,10.280000,10.000000,672028
2018-04-16,10.350000,10.345000,10.580000,10.210000,1002040
2018-04-17,10.390000,10.500000,10.560000,10.370000,837778
2018-04-18,10.590000,10.260000,10.590000,10.250000,676332
2018-04-19,10.250000,10.060000,10.250000,9.826400,856437
2018-04-20,10.000000,9.615000,10.000000,9.565000,1272214
2018-04-23,9.700000,10.010000,10.120000,9.640000,783057
2018-04-24,10.080000,9.940000,10.100000,9.860000,515773
2018-04-25,9.880000,10.000000,10.090000,9.605000,810642
2018-04-26,10.080000,10.090000,10.200000,9.850000,1123120
2018-04-27,10.130000,10.310000,10.350000,10.100000,830016
2018-04-30,10.280000,10.120000,10.450000,10.050000,1206296
