Date, Open, Close, High, Low, Volume
2021-07-09T04:00:00Z,6.000000,5.290000,7.000000,4.610000,8707334
2021-07-12T04:00:00Z,4.810000,6.450000,6.450000,4.600000,14652472
2021-07-13T04:00:00Z,5.950000,4.560000,6.400000,4.400000,14304881
2021-07-14T04:00:00Z,4.220000,3.830000,4.440000,3.810000,2520995
2021-07-15T04:00:00Z,3.740000,3.540000,3.920000,3.360000,946760
2021-07-16T04:00:00Z,3.510000,3.220000,3.780000,3.220000,709422
2021-07-19T04:00:00Z,3.190000,2.960000,3.270000,2.670000,1187667
2021-07-20T04:00:00Z,2.960000,2.890000,3.094000,2.840000,547518
2021-07-21T04:00:00Z,2.950000,3.310000,3.580000,2.950000,1543347
2021-07-22T04:00:00Z,3.220000,3.090000,3.300000,3.000000,417128
2021-07-23T04:00:00Z,3.080000,3.390000,3.450000,3.040000,525375
2021-07-26T04:00:00Z,3.270000,3.120000,3.630000,3.020000,1503874
2021-07-27T04:00:00Z,3.100000,2.909000,3.170000,2.860000,437171
2021-07-28T04:00:00Z,2.920000,2.980000,3.009000,2.830000,186019
2021-07-29T04:00:00Z,2.950000,2.900000,3.030000,2.860000,238351
2021-07-30T04:00:00Z,2.860000,2.910000,2.990000,2.850000,164585
2021-08-02T04:00:00Z,2.960000,2.930000,3.050000,2.880000,144549
2021-08-03T04:00:00Z,2.950000,3.170000,3.250000,2.900000,320822
2021-08-04T04:00:00Z,3.110000,3.280000,3.330000,3.051400,399689
2021-08-05T04:00:00Z,3.170000,3.320000,3.490000,3.140000,340786
2021-08-06T04:00:00Z,3.310000,3.180000,3.380000,3.150000,185776
