Date, Open, Close, High, Low, Volume
2018-01-02,1.260000,1.260000,1.310000,1.210000,19694
2018-01-03,1.260000,1.320000,1.379900,1.260000,80728
2018-01-04,1.310000,1.330000,1.340000,1.293600,24359
2018-01-05,1.330000,1.280100,1.330000,1.250000,38394
2018-01-08,1.310000,1.330000,1.350000,1.260000,22106
2018-01-09,1.340000,1.400000,1.570000,1.290000,722790
2018-01-10,1.420000,1.460000,1.500000,1.350100,97984
2018-01-11,1.500000,1.480000,1.546000,1.360000,440288
2018-01-12,1.470000,1.438200,1.470000,1.347700,59824
2018-01-16,1.460000,1.390000,1.460000,1.357700,54393
2018-01-17,1.390000,1.380000,1.410000,1.360400,41797
2018-01-18,1.370000,1.370000,1.410000,1.360000,48206
2018-01-19,1.390000,1.400000,1.405000,1.374900,88254
2018-01-22,1.380500,1.380000,1.447700,1.371000,118659
2018-01-23,1.360000,1.360000,1.380000,1.360000,20913
2018-01-24,1.370000,1.370000,1.408800,1.330000,50785
2018-01-25,1.360000,1.410000,1.450000,1.360000,22588
2018-01-26,1.430000,1.450000,1.570000,1.370000,278088
2018-01-29,1.450000,1.460000,1.520000,1.450000,127841
2018-01-30,1.450000,1.410000,1.479000,1.380000,67229
2018-01-31,1.420000,1.390000,1.420000,1.351000,39912
2018-02-01,1.380000,1.400000,1.440000,1.300000,25048
2018-02-02,1.400000,1.320000,1.410000,1.300000,50853
2018-02-05,1.340000,1.310000,1.340000,1.250000,67891
2018-02-06,1.400000,1.350000,1.400000,1.270000,33128
2018-02-07,1.350000,1.330000,1.370000,1.310000,16750
2018-02-08,1.340000,1.340000,1.380000,1.264400,18274
2018-02-09,1.390000,1.280000,1.400000,1.250000,27269
2018-02-12,1.290000,1.339900,1.350000,1.280100,4569
2018-02-13,1.310000,1.380000,1.400000,1.310000,7000
2018-02-14,1.350000,1.340000,1.360000,1.330000,16128
2018-02-15,1.350000,1.340000,1.380000,1.300000,8539
2018-02-16,1.350000,1.330000,1.369900,1.330000,12752
2018-02-20,1.310000,1.325000,1.340000,1.310000,10596
2018-02-21,1.340000,1.380000,1.400000,1.320000,25049
2018-02-22,1.400000,1.330000,1.400000,1.310000,29654
2018-02-23,1.350000,1.380000,1.390000,1.310000,5412
2018-02-26,1.400000,1.290000,1.400000,1.240000,41859
2018-02-27,1.350000,1.309600,1.351500,1.300000,3696
2018-02-28,1.320000,1.280000,1.340000,1.280000,17994
2018-03-01,1.290000,1.290000,1.320000,1.230100,8429
2018-03-02,1.250000,1.270000,1.300000,1.236000,21494
2018-03-05,1.300000,1.350000,1.360000,1.240000,58362
2018-03-06,1.350000,1.400000,1.400000,1.339400,79351
2018-03-07,1.490000,1.330000,1.500000,1.300000,278509
2018-03-08,1.380000,1.370000,1.400000,1.240000,76056
2018-03-09,1.350000,1.305000,1.390000,1.262400,38509
2018-03-12,1.240000,1.240000,1.295200,1.120000,106180
2018-03-13,1.230000,1.290000,1.300000,1.230000,47010
2018-03-14,1.290000,1.320000,1.320000,1.250000,20854
2018-03-15,1.310000,1.320000,1.340000,1.287400,12287
2018-03-16,1.320000,1.270000,1.340000,1.260000,14221
2018-03-19,1.290000,1.300000,1.340000,1.277400,11705
2018-03-20,1.260000,1.310000,1.310000,1.260000,6545
2018-03-21,1.320000,1.300000,1.350000,1.287800,3552
2018-03-22,1.290000,1.280000,1.338200,1.236200,16467
2018-03-23,1.300000,1.275300,1.300000,1.230000,25272
2018-03-26,1.300000,1.190000,1.300000,1.181400,55168
2018-03-27,1.200000,1.190000,1.200000,1.167700,13744
2018-03-28,1.200000,1.150000,1.200000,1.100000,43853
2018-03-29,1.140000,1.170000,1.179000,1.090100,30992
2018-04-02,1.300000,1.249900,1.300000,1.130000,111151
2018-04-03,1.300000,1.250000,1.340000,1.220000,117079
2018-04-04,1.240000,1.250000,1.270000,1.200000,54201
2018-04-05,1.250000,1.270000,1.270000,1.180000,85728
2018-04-06,1.230000,1.240000,1.250000,1.180000,31414
2018-04-09,1.220000,1.190000,1.230000,1.160000,55794
2018-04-10,1.170000,1.190000,1.200000,1.170000,20183
2018-04-11,1.200000,1.190000,1.200000,1.150000,17300
2018-04-12,1.200000,1.220000,1.220000,1.170000,38838
2018-04-13,1.200000,1.200000,1.220000,1.150000,36517
2018-04-16,1.190000,1.180000,1.229000,1.150000,33527
2018-04-17,1.170000,1.200000,1.210000,1.170000,5553
2018-04-18,1.190000,1.200000,1.220000,1.190000,52187
2018-04-19,1.200000,1.210000,1.220000,1.200000,9893
2018-04-20,1.211000,1.200000,1.220000,1.199700,7064
2018-04-23,1.200000,1.210000,1.220000,1.160000,6537
2018-04-24,1.230000,1.219000,1.230000,1.160000,12259
2018-04-25,1.220000,1.239400,1.250000,1.200000,54647
2018-04-26,1.250000,1.266200,1.270000,1.180000,135499
2018-04-27,1.250000,1.230100,1.300000,1.230000,29817
2018-04-30,1.240000,1.310000,1.310000,1.230000,123732
2018-05-01,1.277600,1.349900,1.370000,1.271200,158123
2018-05-02,1.360000,1.458500,1.540000,1.360000,443165
2018-05-03,1.470000,1.440000,1.470000,1.360000,79035
2018-05-04,1.410000,1.410000,1.470000,1.360000,137840
2018-05-07,1.440000,1.410000,1.456200,1.380000,72185
2018-05-08,1.460000,1.461000,1.520000,1.360000,71821
2018-05-09,1.480000,1.500000,1.520000,1.414300,176125
2018-05-10,1.500000,1.600000,1.620000,1.450000,1198975
2018-05-11,1.630000,1.740000,1.789800,1.600000,1477971
2018-05-14,2.000000,1.760000,2.009000,1.550000,1505129
2018-05-15,1.770000,1.700000,1.780000,1.660000,152614
2018-05-16,1.700000,1.653400,1.700100,1.420000,252219
2018-05-17,1.650000,1.631000,1.709000,1.610000,55010
2018-05-18,1.620000,1.619000,1.710000,1.600600,27833
2018-05-21,1.660000,1.690000,1.700000,1.620000,105826
2018-05-22,1.710000,1.660000,1.710000,1.625000,544056
2018-05-23,1.620000,1.680000,1.710000,1.620000,76625
