Date, Open, Close, Volume
2018-12-31,8.760000,9.010000,13970
2019-01-02,8.860000,10.370000,22375
2019-01-03,10.000000,9.670000,51822
2019-01-04,9.800000,11.290000,58977
2019-01-07,11.210000,11.220000,60794
2019-01-08,11.630000,11.700000,21716
2019-01-09,11.850000,11.699500,42571
2019-01-10,11.870000,11.760000,7271
2019-01-11,11.520000,10.615000,8023
2019-01-14,10.830000,9.690000,52823
2019-01-15,9.790000,10.680000,16329
2019-01-16,10.760000,10.315000,38599
2019-01-17,10.360000,9.700000,14826
2019-01-18,9.820000,10.080000,11943
2019-01-22,9.800000,9.750000,4889
2019-01-23,9.800000,10.320000,10762
2019-01-24,10.670000,10.030000,2455
2019-01-25,10.170000,10.260000,2497
2019-01-28,10.450000,10.280000,5100
2019-01-29,10.190000,10.290000,2531
2019-01-30,10.440000,10.690000,1792
2019-01-31,10.650000,10.625000,3773
2019-02-01,10.510000,10.890000,4254
2019-02-04,10.325000,10.795000,52782
2019-02-05,10.820000,10.660000,20165
2019-02-06,10.960000,10.570000,18669
2019-02-07,10.410000,10.540000,4225
2019-02-08,10.490000,10.640000,12847
2019-02-11,10.560000,11.290000,18043
2019-02-12,11.410000,10.710000,14575
2019-02-13,10.900000,10.310000,24639
2019-02-14,10.420000,9.740000,30086
2019-02-15,9.910000,9.980000,13409
2019-02-20,10.310000,10.145000,5865
2019-02-21,10.600000,10.160000,8402
2019-02-22,10.140000,10.650000,5599
2019-02-25,10.275200,10.150000,5162
2019-02-26,10.190000,9.520000,18267
2019-02-27,9.650000,8.950000,21489
2019-02-28,9.070000,8.960000,12314
2019-03-01,8.980000,8.750000,104590
2019-03-04,9.050000,9.160000,10758
2019-03-05,9.060000,9.050000,18157
2019-03-06,9.110000,8.925000,28927
2019-03-07,8.950000,8.910000,8039
2019-03-08,8.990000,9.400000,173048
2019-03-11,9.550000,10.500000,57371
2019-03-12,10.450000,10.480000,43843
2019-03-13,10.440000,11.150000,37186
2019-03-14,11.000000,11.090000,16538
2019-03-15,11.100000,11.300000,24262
2019-03-18,11.440000,11.190000,41445
2019-03-19,10.970000,11.390000,16560
2019-03-20,10.910000,11.270000,15645
2019-03-21,11.200000,11.380000,11948
2019-03-22,11.240000,10.540000,15520
2019-03-25,10.750000,10.600000,6738
2019-03-26,10.560000,10.610000,10089
2019-03-27,10.880000,10.535000,6540
2019-03-28,10.590000,10.520000,4760
2019-03-29,11.390000,11.420000,6022
2019-04-01,11.500000,11.710000,9625
2019-04-02,11.700000,11.990000,38784
2019-04-03,12.050000,11.800000,14706
2019-04-04,11.700000,11.480000,17260
2019-04-05,11.450000,11.250000,10488
2019-04-08,11.350000,11.450000,8141
2019-04-09,11.280000,11.070000,2913
2019-04-10,11.010000,11.000000,12560
2019-04-11,10.980000,11.430000,60480
2019-04-12,11.610000,12.000000,8783
2019-04-15,11.810000,11.555000,3259
2019-04-16,11.830000,11.550000,3659
2019-04-17,11.530000,10.900000,8550
2019-04-18,10.580000,10.110000,21993
2019-04-22,10.200000,9.970000,29822
2019-04-23,10.000000,10.000000,37505
2019-04-24,10.000000,9.960000,16869
2019-04-25,9.990000,10.270000,2766
2019-04-26,10.260000,9.650000,21159
2019-04-29,10.000000,10.120000,18913
2019-04-30,10.100000,9.750000,5895
2019-05-01,10.040000,10.000000,380
2019-05-02,10.000000,10.120000,6737
2019-05-03,10.060000,10.090000,6827
2019-05-06,10.060000,10.480000,4054
2019-05-07,10.330000,10.350000,9245
2019-05-08,10.221200,10.400000,1201
2019-05-09,10.370000,10.980000,6309
2019-05-10,10.550000,11.500000,3392
2019-05-13,11.150000,11.000000,16647
2019-05-14,11.000000,11.000000,5494
2019-05-15,10.090000,10.125000,13278
2019-05-16,10.160000,10.130000,6232
2019-05-17,10.100000,10.200000,13296
2019-05-20,9.750000,10.100000,24701
2019-05-21,10.260000,10.480000,13631
2019-05-22,10.520000,10.600000,3562
2019-05-23,10.500000,10.360000,5611
2019-05-24,10.380000,10.190000,4280
2019-05-28,10.380000,10.820000,3403
2019-05-29,10.575000,11.005000,12756
2019-05-30,10.550000,11.350000,34699
2019-05-31,11.650000,11.500000,421
2019-06-03,11.570000,12.090000,34411
2019-06-04,12.260000,11.630000,21610
2019-06-05,11.580000,11.790000,40184
2019-06-06,11.650000,12.000000,32916
2019-06-07,11.790000,11.940000,39269
2019-06-10,12.000000,12.000000,105681
2019-06-11,12.000000,12.090000,294229
2019-06-12,12.110000,12.100000,39104
2019-06-13,12.200000,11.480000,102152
2019-06-14,11.390000,11.180000,194156
2019-06-17,11.500000,11.080000,42294
2019-06-18,10.990000,11.870000,51501
2019-06-19,11.980000,11.875000,32675
2019-06-20,11.940000,11.580000,19604
2019-06-21,11.550000,11.860000,38816
2019-06-24,11.780000,11.740000,49990
2019-06-25,11.730000,11.680000,27193
2019-06-26,11.560000,11.500000,21880
2019-06-27,11.480000,11.300000,26192
2019-06-28,11.820000,11.310000,83174
2019-07-01,11.500000,11.850000,26306
2019-07-02,11.760000,11.510000,7620
2019-07-03,11.780000,11.140000,8712
2019-07-05,11.130000,11.760000,9761
2019-07-08,11.680000,11.310000,8091
2019-07-09,11.480000,11.430000,10695
2019-07-10,11.520000,11.500000,9164
2019-07-11,11.500000,11.370000,14471
2019-07-12,11.490000,11.640000,9013
2019-07-15,11.580000,11.490000,5981
2019-07-16,11.610000,11.280000,4338
2019-07-17,11.340000,11.230000,43388
2019-07-18,11.780000,10.960000,56081
2019-07-19,11.180000,11.000000,35199
2019-07-22,11.200000,11.130000,8662
2019-07-23,11.190000,11.190000,3033
2019-07-24,10.990000,11.000000,55655
2019-07-25,11.278700,11.110000,7370
2019-07-26,11.110000,11.180000,37189
2019-07-29,11.050000,11.450000,39283
2019-07-30,11.290000,11.500000,25458
2019-07-31,11.410000,11.150000,37449
2019-08-01,11.270000,11.260000,3723
2019-08-02,11.200000,11.000000,6174
2019-08-05,10.860000,10.080000,6909
2019-08-06,10.210000,10.000000,9753
2019-08-07,9.935000,10.020000,3779
2019-08-08,10.150000,10.250000,3623
2019-08-09,10.210000,10.150000,6882
2019-08-12,9.980000,9.680000,6866
2019-08-13,9.510000,9.180000,11062
2019-08-14,9.470000,8.570000,33932
2019-08-15,8.590000,8.695000,59929
2019-08-16,8.820000,8.560000,26003
2019-08-19,8.850000,8.700000,21990
2019-08-20,8.760000,8.410000,336084
2019-08-21,8.580000,8.430000,37077
2019-08-22,8.510000,8.350000,11499
2019-08-23,8.250000,8.180000,26025
2019-08-26,7.961400,7.990000,10172
2019-08-27,8.310000,8.555000,30192
2019-08-28,8.560000,8.010000,9643
2019-08-29,8.240000,7.900000,70262
2019-08-30,8.102000,8.010000,158257
2019-09-03,8.000000,7.820000,37954
2019-09-04,7.850000,7.930000,11856
2019-09-05,8.130000,8.560000,18569
2019-09-06,8.800000,9.505000,152198
2019-09-09,9.550000,9.440000,92657
2019-09-10,9.380000,8.800000,135719
2019-09-11,8.790000,9.780000,80385
2019-09-12,9.700000,10.540000,46436
2019-09-13,10.740000,10.950000,50410
2019-09-16,10.690000,10.680000,119236
2019-09-17,10.590000,11.050000,124774
2019-09-18,10.750000,10.880000,69526
2019-09-19,10.870000,10.700000,100830
2019-09-20,10.640000,10.650000,63989
2019-09-23,10.600000,10.670000,73635
2019-09-24,10.780000,10.060000,156882
2019-09-25,9.980000,9.760000,49882
2019-09-26,9.790000,9.700000,107390
2019-09-27,9.720000,9.320000,89310
2019-09-30,9.320000,9.070000,49476
2019-10-01,9.110000,8.690000,25497
2019-10-02,8.620000,8.120000,35789
2019-10-03,8.140000,8.150000,33811
2019-10-04,8.250000,8.410000,20927
2019-10-07,10.010000,8.910000,250364
2019-10-08,8.900000,9.300000,47482
2019-10-09,9.360000,9.160000,45937
2019-10-10,9.140000,9.255000,61017
2019-10-11,9.410000,9.460000,117274
2019-10-14,9.390000,9.310000,57976
2019-10-15,9.350000,9.420000,35806
2019-10-16,9.550000,9.460000,16984
2019-10-17,9.220000,9.940000,124668
2019-10-18,9.960000,9.935000,145486
2019-10-21,10.270000,10.990000,85619
2019-10-22,10.980000,10.400000,62798
2019-10-23,10.140000,10.130000,12334
2019-10-24,10.120000,9.620000,33632
2019-10-25,9.660000,9.520000,12951
2019-10-28,9.590000,9.920000,29846
2019-10-29,10.000000,10.070000,29663
2019-10-30,10.080000,9.870000,15088
2019-10-31,9.850000,10.030000,31445
2019-11-01,10.140000,10.470000,11743
2019-11-04,10.540000,10.240000,27420
2019-11-05,10.320000,10.440000,3945
2019-11-06,10.520000,10.410000,1366
2019-11-07,10.510000,10.820000,42160
2019-11-08,10.950000,11.010000,18460
2019-11-11,10.970000,10.880000,9924
2019-11-12,10.790000,10.940000,12604
2019-11-13,10.750000,10.750000,23212
2019-11-14,10.750000,10.870000,14353
2019-11-15,10.940000,10.910000,13834
2019-11-18,10.790000,11.340000,31182
2019-11-19,11.480000,11.190000,41559
2019-11-20,11.190000,10.580000,36815
2019-11-21,10.610000,10.510000,75419
2019-11-22,10.580000,10.460000,52967
2019-11-25,10.500000,10.540000,56631
2019-11-26,10.580000,10.590000,26444
2019-11-27,10.640000,10.810000,56889
2019-11-29,10.840000,11.000000,49164
2019-12-02,11.090000,11.250000,33239
2019-12-03,11.150000,11.180000,26795
2019-12-04,11.290000,11.000000,100375
2019-12-05,10.920000,10.030000,31451
2019-12-06,9.960000,10.080000,57618
2019-12-09,10.190000,10.200000,20123
2019-12-10,10.260000,10.370000,51755
2019-12-11,10.440000,11.100000,140781
2019-12-12,11.190000,11.170000,122592
2019-12-13,11.230000,11.130000,28926
2019-12-16,11.300000,10.740000,89213
2019-12-17,10.700000,10.800000,58703
2019-12-18,10.750000,10.570000,137737
2019-12-19,10.640000,10.490000,122018
2019-12-20,10.600000,10.670000,138826
2019-12-23,10.780000,11.040000,43995
2019-12-24,11.030000,11.010000,14132
2019-12-26,11.000000,10.920000,93456
2019-12-27,10.990000,10.990000,60810
2019-12-30,11.040000,11.050000,41783
2019-12-31,11.080000,10.980000,83306
2020-01-02,11.140000,11.980000,47942
2020-01-03,11.990000,11.690000,25705
