Date, Open, Close, High, Low, Volume
2018-01-02,170.520000,168.500000,170.520000,168.055000,543186
2018-01-03,168.000000,169.010000,169.270000,167.030000,572101
2018-01-04,169.440000,169.800000,171.184000,169.369200,523515
2018-01-05,170.350000,170.490000,171.030000,169.160000,477965
2018-01-08,170.420000,172.630000,172.880000,170.250000,502362
2018-01-09,173.230000,173.660000,174.870000,173.045000,461206
2018-01-10,173.190000,171.040000,173.520000,170.570000,524962
2018-01-11,171.720000,172.580000,172.580000,171.040000,305015
2018-01-12,173.340000,173.380000,173.950000,172.555000,438675
2018-01-16,174.400000,171.020000,174.400000,170.480000,506895
2018-01-17,171.990000,173.750000,174.120000,171.660000,616340
2018-01-18,174.280000,174.710000,175.720000,173.980000,601968
2018-01-19,175.600000,175.910000,176.270000,175.020000,692536
2018-01-22,176.050000,175.200000,176.620000,173.300000,645577
2018-01-23,176.090000,173.990800,176.240000,173.140000,925239
2018-01-24,174.520000,170.630000,175.890000,170.370000,1682798
2018-01-25,170.870000,169.200000,171.030000,167.270000,1584537
2018-01-26,169.640000,169.720000,170.960000,169.270000,1393215
2018-01-29,169.310000,168.490000,169.750000,167.660000,863985
2018-01-30,167.690000,166.320000,168.300000,166.200000,762541
2018-01-31,167.410000,166.270000,167.990000,165.700000,808523
2018-02-01,165.180000,166.750000,167.755000,164.120000,914619
2018-02-02,165.820000,163.730000,166.160000,163.150000,937267
2018-02-05,163.410000,158.150000,164.670000,157.630000,1160663
2018-02-06,155.530000,161.610000,161.990000,153.750000,1384986
2018-02-07,161.660000,159.740000,163.033200,159.650000,872247
2018-02-08,159.500000,152.800000,159.770000,152.700000,1295815
2018-02-09,154.450000,154.220000,155.450000,149.370000,1521349
2018-02-12,155.130000,158.040000,159.240000,154.700000,905212
2018-02-13,157.330000,157.020000,157.930000,156.140000,608879
2018-02-14,156.310000,159.290000,159.580000,155.920000,866231
2018-02-15,160.780000,160.140000,160.900000,159.090000,685882
2018-02-16,159.950000,159.760000,161.350000,159.250000,821440
2018-02-20,158.910000,159.170000,160.230000,158.485000,527549
2018-02-21,158.930000,160.340000,162.730000,158.930000,842691
2018-02-22,160.840000,159.740000,162.030000,159.290000,421773
2018-02-23,160.730000,160.950000,161.040000,158.310000,704269
2018-02-26,160.850000,163.020000,163.430000,160.850000,692724
2018-02-27,162.920000,161.670000,164.940000,161.635000,742490
2018-02-28,162.850000,159.120000,162.850000,159.060000,748533
2018-03-01,159.030000,152.950000,160.190000,152.810000,1468455
2018-03-02,151.860000,152.560000,153.270000,149.750000,1122180
2018-03-05,151.440000,152.140000,152.980000,149.940000,996527
2018-03-06,152.930000,153.480000,153.980000,151.500000,1342642
2018-03-07,151.960000,156.630000,157.560000,150.961000,1309532
2018-03-08,156.650000,156.940000,157.471000,155.610000,651717
2018-03-09,157.750000,159.980000,160.510000,157.370000,1260817
2018-03-12,160.350000,157.810000,160.350000,157.290000,669092
2018-03-13,157.890000,156.630000,159.185000,156.090000,790589
2018-03-14,157.910000,156.810000,159.150000,156.050000,746390
2018-03-15,157.240000,157.830000,158.240000,156.510000,355564
2018-03-16,157.900000,159.040000,159.490000,156.950000,654846
2018-03-19,158.590000,157.320000,158.850000,154.610000,629276
2018-03-20,157.590000,158.520000,159.260000,157.110000,762255
2018-03-21,158.510000,160.240000,161.910000,158.340100,1051526
2018-03-22,158.460000,154.450000,159.330000,154.020000,779948
2018-03-23,154.750000,151.310000,155.740000,151.070000,704328
2018-03-26,153.580000,156.490000,156.800000,152.950000,729222
2018-03-27,156.540000,152.400000,156.605000,151.600000,761844
2018-03-28,152.010000,150.890000,152.790000,150.160200,845665
2018-03-29,152.050000,153.220000,155.010000,151.450000,534407
2018-04-02,153.180000,150.240000,153.390000,148.310000,834750
2018-04-03,150.920000,151.790000,151.840000,149.240000,766171
2018-04-04,148.850000,153.900000,154.370000,147.510000,745313
2018-04-05,154.930000,154.290000,155.497500,153.340000,622332
2018-04-06,152.890000,149.670000,153.970000,147.460000,829264
2018-04-09,150.890000,149.520000,152.320000,149.180000,437210
2018-04-10,151.360000,151.840000,153.760000,150.990000,771187
2018-04-11,150.310000,150.700000,151.590000,149.850000,568656
2018-04-12,151.490000,151.240000,152.660000,151.060000,738811
2018-04-13,152.420000,151.880000,152.630000,151.110000,435734
2018-04-16,153.100000,153.140000,154.040000,152.060000,551260
2018-04-17,153.970000,154.830000,155.680000,153.670000,949661
2018-04-18,155.630000,157.380000,158.470000,155.090000,926455
2018-04-19,157.350000,154.560000,157.760000,152.610000,1607032
2018-04-20,148.790000,144.210000,150.110000,143.600000,2722233
2018-04-23,144.000000,142.450000,144.870000,141.460000,2309330
2018-04-24,143.410000,141.610000,145.490000,139.140000,2556642
2018-04-25,141.360000,143.220000,143.630000,140.250000,1711498
2018-04-26,143.240000,144.030000,144.730000,141.255000,1466188
2018-04-27,143.900000,144.540000,145.100000,142.300000,1077655
2018-04-30,145.330000,141.650000,145.330000,141.300000,1068618
2018-05-01,140.280000,140.630000,140.890000,137.520000,1699893
2018-05-02,140.420000,139.730000,141.470000,139.550000,792150
2018-05-03,139.140000,139.310000,140.200000,137.810000,601110
2018-05-04,138.680000,140.310000,140.880000,137.950000,756512
2018-05-07,140.950000,139.130000,141.020000,138.940000,726657
2018-05-08,139.310000,140.830000,140.909600,138.605000,839157
2018-05-09,140.850000,141.940000,142.040000,139.850000,707662
2018-05-10,142.820000,143.180000,143.420000,141.840000,532464
2018-05-11,142.920000,143.670000,143.820000,142.310000,378903
2018-05-14,144.000000,143.460000,144.480000,142.719000,461958
2018-05-15,142.890000,142.190000,142.900000,141.645000,632524
2018-05-16,142.490000,141.420000,143.110000,141.180000,669212
2018-05-17,141.370000,143.179900,143.290000,140.870000,760384
2018-05-18,143.160000,144.860000,145.520000,143.160000,1014854
2018-05-21,145.770000,148.070000,148.880000,145.600100,1201953
2018-05-22,148.020000,147.540000,148.480000,147.280000,781612
2018-05-23,146.550000,146.660000,146.730000,145.180000,626346
2018-05-24,146.250000,146.360000,146.690000,144.340000,621485
2018-05-25,145.660000,146.630000,146.760000,144.300000,737421
2018-05-29,145.140000,142.370000,145.899000,141.540000,740471
2018-05-30,143.060000,144.030000,144.420000,142.710000,424138
2018-05-31,144.210000,139.260000,144.210000,139.210000,1076713
2018-06-01,140.530000,141.650000,142.810000,140.160000,616023
2018-06-04,142.380000,142.090000,142.765000,140.930000,784715
2018-06-05,141.460000,141.780000,142.650000,141.120000,833404
2018-06-06,142.180000,142.700000,142.890000,141.340700,631936
2018-06-07,143.380000,144.820000,145.590000,143.260000,1018655
2018-06-08,144.950000,145.330000,145.570000,144.000000,587335
2018-06-11,145.540000,144.390000,146.680000,144.040000,544254
2018-06-12,144.960000,144.480000,145.610000,144.140000,540770
2018-06-13,144.530000,142.900000,144.640000,142.840000,715861
2018-06-14,143.500000,142.300000,144.095000,142.040000,916224
2018-06-15,141.340000,141.940000,142.060000,139.190000,1443302
2018-06-18,140.650000,141.230000,141.750000,140.330000,460847
2018-06-19,139.680000,137.710000,139.900000,137.180000,1191717
2018-06-20,138.290000,136.780000,138.320000,136.540000,1053956
2018-06-21,136.690000,133.580000,136.690000,133.120000,1249826
2018-06-22,135.150000,135.000000,135.910000,134.000000,900527
2018-06-25,134.520000,133.940000,134.600000,132.435000,933150
2018-06-26,135.130000,134.920000,136.420000,134.430000,920851
2018-06-27,135.430000,134.390000,136.399500,134.165000,1104576
2018-06-28,134.600000,134.300000,135.180000,133.170000,1203400
2018-06-29,135.070000,132.830000,135.950000,132.670000,872008
2018-07-02,131.850000,132.490000,133.000000,130.560000,877943
2018-07-03,132.970000,131.920000,133.290000,131.640000,253802
2018-07-05,132.400000,133.920000,134.000000,131.600000,602164
2018-07-06,133.430000,133.140000,134.140000,132.350000,469181
2018-07-09,133.420000,135.760000,136.870000,133.290000,880562
2018-07-10,136.330000,137.000000,138.490000,135.160000,833654
2018-07-11,134.680000,133.570000,135.160000,132.170000,1089701
2018-07-12,134.620000,134.590000,135.290000,132.940000,706861
2018-07-13,134.100000,135.580000,136.290000,134.100000,605085
2018-07-16,135.500000,134.500000,135.920000,133.730000,481246
