Date, Open, Close, High, Low, Volume
2018-01-02,45.640000,46.060000,46.080000,45.300100,103936
2018-01-03,46.040000,46.070000,46.840000,45.950000,105311
2018-01-04,46.200000,45.930000,46.560000,45.680000,68955
2018-01-05,46.080000,45.800000,46.640000,45.610100,67425
2018-01-08,45.950000,46.450000,46.760000,45.740000,138780
2018-01-09,46.710000,45.700000,47.170000,45.700000,109345
2018-01-10,45.640000,46.800000,47.060000,45.091000,233472
2018-01-11,46.950000,47.840000,47.920000,46.740000,181582
2018-01-12,47.880000,47.250000,48.060000,46.860000,103933
2018-01-16,47.590000,46.510000,47.790000,46.450000,64425
2018-01-17,46.940000,46.400000,47.110000,46.110000,77990
2018-01-18,46.400000,45.880000,46.430000,45.850000,81419
2018-01-19,46.170000,46.760000,47.062400,46.170000,99302
2018-01-22,46.810000,46.080000,46.980000,45.760000,96679
2018-01-23,46.030000,46.460000,46.610000,45.960000,69673
2018-01-24,46.710000,45.950000,47.540000,45.930000,79565
2018-01-25,46.080000,46.570000,46.600000,45.250000,169284
2018-01-26,46.660000,46.770000,47.050000,46.350000,105058
2018-01-29,46.900000,46.330000,47.140000,46.280000,80369
2018-01-30,46.140000,45.940000,46.665000,45.620000,84908
2018-01-31,46.160000,45.280000,46.550000,44.940000,100279
2018-02-01,45.190000,44.100000,45.190000,44.020000,93353
2018-02-02,43.890000,43.590000,44.240000,43.520000,85111
2018-02-05,43.420000,42.020000,43.940000,41.970000,111646
2018-02-06,41.330000,41.890000,42.150000,41.010000,188055
2018-02-07,41.860000,41.870000,42.470000,41.510000,88517
2018-02-08,41.850000,40.450000,41.930000,40.450000,116956
2018-02-09,40.990000,40.860000,41.210000,39.910000,161224
2018-02-12,40.940000,40.980000,41.773000,40.720000,107309
2018-02-13,40.890000,41.550000,41.730000,40.710000,63072
2018-02-14,41.380000,42.170000,42.250000,41.200000,72560
2018-02-15,42.500000,41.890000,42.702500,41.510000,69666
2018-02-16,41.860000,42.200000,42.560000,41.790000,68760
2018-02-20,42.050000,41.120000,42.210000,40.900000,97396
2018-02-21,41.200000,41.430000,42.170000,41.130000,82146
2018-02-22,40.990000,40.100000,41.059900,39.060000,289228
2018-02-23,40.350000,39.900000,40.460000,39.578800,157574
2018-02-26,40.090000,40.130000,40.530000,39.510000,116978
2018-02-27,40.190000,40.060000,40.709900,39.950000,112975
2018-02-28,40.150000,39.230000,40.650000,39.200000,190094
2018-03-01,38.850000,38.660000,39.170000,38.370000,142748
2018-03-02,38.550000,39.040000,39.120000,38.370000,90676
2018-03-05,38.990000,38.840000,39.500000,38.730000,64496
2018-03-06,38.940000,39.300000,39.440000,38.730000,97685
2018-03-07,38.990000,39.490000,39.660000,38.690000,104067
2018-03-08,39.680000,39.400000,39.950000,39.180000,95198
2018-03-09,39.600000,40.170000,40.230000,39.021000,78387
2018-03-12,40.300000,40.180000,41.220000,40.080000,98813
