Date, Open, Close, High, Low, Volume
2018-01-02,48.180000,48.340000,48.430000,47.725000,1647596
2018-01-03,48.640000,50.410000,50.500000,48.580000,2440227
2018-01-04,50.710000,50.140000,50.830000,49.550000,2075341
2018-01-05,50.400000,51.205000,51.220000,50.240000,1650724
2018-01-08,51.120000,51.900000,51.990000,50.970000,1400567
2018-01-09,52.110000,52.110000,52.405000,51.660000,1752978
2018-01-10,51.730000,50.570000,51.730000,50.570000,2588068
2018-01-11,51.050000,51.820000,51.850000,50.960000,1792987
2018-01-12,51.800000,51.570000,51.900000,51.220000,927362
2018-01-16,52.020000,50.830000,52.085000,50.600000,1165452
2018-01-17,51.260000,52.070000,52.290000,51.000000,1627764
2018-01-18,52.360000,51.550000,52.440000,51.490000,1136008
2018-01-19,51.750000,51.880000,51.950000,51.240000,1068678
2018-01-22,51.980000,52.540000,52.540000,51.712000,1133516
2018-01-23,52.720000,52.230000,52.730000,51.630000,829385
2018-01-24,52.280000,51.430000,52.370000,51.070000,1274669
2018-01-25,51.490000,49.700000,51.490000,49.380000,1628121
2018-01-26,49.880000,49.310000,50.090000,48.990000,1065678
2018-01-29,49.140000,47.480000,49.180000,47.400000,2334028
2018-01-30,46.970000,47.030000,47.430000,46.180000,2321194
2018-01-31,47.660000,46.580000,48.370000,46.475000,1714613
2018-02-01,46.150000,47.350000,47.690000,46.130000,2466512
2018-02-02,46.840000,46.410000,47.200000,46.000000,3979422
2018-02-05,45.940000,44.830000,46.730000,44.590000,3249724
2018-02-06,43.700000,46.750000,47.120000,43.368300,2617130
2018-02-07,46.560000,46.040000,47.810000,46.020000,2126633
2018-02-08,45.970000,43.760000,46.050000,43.750000,2335906
2018-02-09,44.460000,44.530000,44.973700,43.070000,2158173
2018-02-12,44.810000,45.320000,45.590000,44.241000,1584274
2018-02-13,45.230000,45.590000,45.670000,45.020000,1216498
2018-02-14,45.060000,46.500000,46.690000,45.060000,1594798
2018-02-15,46.840000,46.600000,46.930000,45.990000,1193403
2018-02-16,46.620000,47.080000,47.440000,46.470000,1246207
2018-02-20,46.860000,46.780000,47.480000,46.530000,1178359
2018-02-21,47.000000,46.680000,48.310000,46.630000,2039464
2018-02-22,46.850000,46.230000,47.020000,46.120000,1859769
2018-02-23,46.310000,46.560000,46.560000,45.460000,1782311
2018-02-26,47.000000,47.530000,47.700000,46.370000,2992547
2018-02-27,48.480000,45.110000,49.240000,44.880000,5025225
2018-02-28,45.380000,43.820000,45.390000,43.430000,4032772
2018-03-01,43.920000,43.845000,44.370000,42.880000,3186124
2018-03-02,43.360000,43.900000,44.015000,42.930000,1584759
2018-03-05,43.610000,44.310000,44.790000,43.500000,1283442
2018-03-06,44.620000,45.070000,45.080000,44.050000,1119257
2018-03-07,44.590000,44.750000,45.270000,44.070000,901377
2018-03-08,44.900000,45.020000,45.190000,44.350000,956112
2018-03-09,45.340000,45.230000,45.370000,44.510000,1230543
2018-03-12,45.230000,44.950000,45.560000,44.870000,1479009
2018-03-13,45.230000,45.100000,45.760000,44.860000,1338502
2018-03-14,45.400000,44.380000,45.400000,44.060000,892996
2018-03-15,44.640000,43.850000,44.670000,43.590000,1134181
2018-03-16,43.940000,44.790000,44.910000,43.830000,1289093
2018-03-19,44.650000,44.570000,44.690000,43.980000,1178416
2018-03-20,44.640000,44.080000,45.000000,44.010000,823647
2018-03-21,44.220000,44.995000,45.290000,43.970000,1172602
2018-03-22,44.430000,44.050000,45.380000,44.040000,1291077
2018-03-23,44.410000,43.800000,45.240000,43.800000,1538580
2018-03-26,44.630000,44.220000,44.850000,43.340000,1306514
2018-03-27,44.530000,43.400000,44.530000,43.090000,1576823
2018-03-28,43.350000,42.670000,43.580000,42.570000,1641112
2018-03-29,42.920000,43.240000,43.430000,42.730000,1090183
2018-04-02,43.070000,41.950000,43.080000,40.980000,1727858
2018-04-03,42.160000,42.140000,42.250000,40.860000,1513641
2018-04-04,41.610000,43.840000,43.960000,41.610000,2550381
2018-04-05,44.220000,44.630000,45.290000,44.070000,1870623
2018-04-06,44.360000,43.180000,44.800000,42.590000,1363089
2018-04-09,43.420000,43.020000,43.780000,43.000000,894777
2018-04-10,43.730000,43.300000,43.910000,43.060100,1172975
2018-04-11,42.980000,42.880000,43.680700,42.820000,922316
2018-04-12,42.860000,42.260000,43.100000,42.000000,1686739
2018-04-13,42.560000,42.360000,42.800000,42.040000,1109536
2018-04-16,42.580000,42.690000,43.250000,42.310000,1997631
2018-04-17,43.120000,43.410000,43.550000,42.950000,1289259
2018-04-18,43.660000,43.280000,43.660000,43.120000,647350
2018-04-19,43.170000,41.680000,43.170000,40.920000,2034348
2018-04-20,41.620000,41.360000,42.010000,41.160000,1454664
2018-04-23,41.490000,41.470000,41.940000,40.850000,920546
2018-04-24,41.930000,40.990000,42.380000,40.680000,1964021
2018-04-25,41.060000,42.020000,42.080000,40.630000,2025751
2018-04-26,42.330000,42.950000,43.160000,41.560000,2222821
2018-04-27,42.910000,43.530000,43.830000,42.760000,1600708
2018-04-30,43.470000,42.160000,43.700000,42.160000,1298920
2018-05-01,42.160000,42.950000,43.083700,41.980000,1714540
2018-05-02,42.940000,42.060000,43.025000,41.960000,1013717
2018-05-03,42.120000,42.770000,42.872000,41.790000,716448
2018-05-04,42.650000,43.420000,43.610000,42.260000,841538
2018-05-07,43.650000,43.500000,43.680000,43.020000,1085737
2018-05-08,43.290000,43.590000,43.810000,43.090000,1041517
2018-05-09,43.540000,42.230000,43.580000,42.040000,1534611
2018-05-10,42.370000,42.530000,42.950000,42.310000,991041
2018-05-11,42.510000,42.660000,42.910000,42.421000,1101054
2018-05-14,42.940000,42.800000,43.070000,42.440000,986269
2018-05-15,42.300000,40.890000,42.360000,40.730000,2857627
2018-05-16,40.890000,41.700000,41.720000,40.700000,1831817
2018-05-17,41.660000,42.420000,42.540000,41.659700,2132872
2018-05-18,42.350000,43.180000,43.400000,42.181000,1890195
2018-05-21,43.460000,43.630000,43.830000,43.190000,2447663
2018-05-22,41.880000,39.450000,41.960000,39.400000,6947147
2018-05-23,39.050000,39.900000,40.219900,39.020000,3626678
2018-05-24,39.940000,40.030000,40.700000,39.720000,3304694
2018-05-25,39.830000,40.760000,41.230000,39.820000,1805524
2018-05-29,40.470000,40.930000,41.330000,40.410000,1395337
2018-05-30,41.190000,39.890000,41.230000,39.850000,2543567
2018-05-31,40.070000,39.490000,40.070000,39.290000,3731413
2018-06-01,39.770000,39.535000,39.770000,39.190000,1110540
2018-06-04,39.670000,39.620000,39.990000,39.450000,851891
2018-06-05,39.540000,39.320000,39.880000,39.170000,1797123
2018-06-06,39.440000,39.200000,39.500000,38.470000,2672314
2018-06-07,39.300000,39.330000,39.680000,39.000000,3443180
2018-06-08,39.320000,40.530000,40.670000,39.170000,1550827
2018-06-11,40.520000,40.130000,40.690000,40.120000,1307866
2018-06-12,40.260000,40.730000,40.890000,40.120000,1218065
2018-06-13,40.350000,38.970000,40.350000,38.760000,2843692
2018-06-14,38.920000,39.040000,39.210000,38.200000,1835676
2018-06-15,38.880000,38.700000,39.129400,38.150000,2024808
2018-06-18,38.360000,37.780000,38.955000,37.550000,1711829
2018-06-19,37.580000,37.570000,38.240300,37.380000,1814192
2018-06-20,37.520000,37.390000,37.710000,36.800000,2110147
2018-06-21,37.480000,37.400000,37.720000,37.180000,2184506
2018-06-22,37.260000,37.120000,37.650000,36.940000,2355122
2018-06-25,37.110000,36.450000,37.180000,36.120000,1385590
2018-06-26,37.450000,36.860000,38.230000,36.570000,2119888
2018-06-27,36.930000,36.010000,37.049000,36.000000,1427624
2018-06-28,36.110000,36.450000,36.525000,35.720000,2401970
2018-06-29,36.980000,37.000000,37.490000,36.860000,1729667
2018-07-02,36.650000,36.730000,37.150000,36.310000,1576951
2018-07-03,36.900000,36.880000,37.240000,36.690000,820760
2018-07-05,37.150000,37.005000,37.220000,36.410000,1182446
2018-07-06,37.100000,37.020000,37.530000,36.778000,976207
2018-07-09,38.150000,37.830000,38.150000,37.340000,2010915
2018-07-10,37.950000,37.210000,38.050000,37.000000,2070706
2018-07-11,37.120000,37.160000,37.410000,36.980000,1463805
2018-07-12,37.280000,37.160000,37.380000,36.760000,1121749
2018-07-13,37.180000,37.120000,37.340000,36.990000,1265582
2018-07-16,37.070000,37.010000,37.330000,36.580000,1358191
2018-07-17,37.000000,38.030000,38.180000,36.920000,1709971
2018-07-18,37.670000,37.860000,37.910000,37.180000,1376228
2018-07-19,37.890000,38.060000,38.250000,37.710000,919098
2018-07-20,38.060000,37.330000,38.060000,37.150000,969730
2018-07-23,37.250000,36.935000,37.460000,36.770000,1516668
2018-07-24,36.940000,36.250000,37.130000,36.140000,2207730
2018-07-25,36.180000,34.955000,36.180000,34.340000,3717377
2018-07-26,35.180000,35.690000,35.850000,34.750000,2973800
2018-07-27,35.750000,35.150000,36.000000,34.920000,1597920
2018-07-30,35.150000,35.170000,35.610000,35.090000,1245453
2018-07-31,35.340000,35.260000,35.620000,35.000000,1211816
2018-08-01,35.140000,35.300000,35.340000,34.800000,1617804
2018-08-02,34.920000,34.880000,35.180000,34.630000,1088002
2018-08-03,34.920000,35.080000,35.280000,34.720000,1152633
2018-08-06,35.070000,35.270000,35.300000,34.630000,786829
2018-08-07,35.270000,35.910000,36.090000,35.200000,1147218
2018-08-08,35.950000,36.030000,36.290000,35.730000,1483534
2018-08-09,36.140000,36.280000,36.680000,35.950000,1335323
2018-08-10,36.050000,35.670000,36.100000,35.230000,1711794
2018-08-13,35.490000,34.170000,35.490000,34.035000,2734464
2018-08-14,34.230000,34.220000,34.743300,34.120000,2146729
2018-08-15,33.940000,34.110000,34.170000,33.470000,2138976
2018-08-16,34.200000,34.120000,34.800000,34.070000,1691901
2018-08-17,34.070000,34.400000,34.680000,34.070000,1617365
2018-08-20,34.610000,34.720000,35.300000,34.580000,3361099
2018-08-21,38.220000,39.519900,39.800000,37.800000,18426503
2018-08-22,39.700000,38.370000,39.780000,38.350000,4299562
2018-08-23,38.300000,37.290000,38.470000,37.240000,2935194
2018-08-24,37.350000,37.010000,37.458500,36.830000,2061505
2018-08-27,37.100000,37.510000,37.808100,36.980000,1358333
2018-08-28,37.470000,37.140000,37.520000,36.910000,1385092
2018-08-29,37.180000,36.890000,37.220000,36.380000,1236860
2018-08-30,36.630000,36.240000,36.840000,36.041000,2018107
2018-08-31,36.210000,36.230000,36.630000,36.060000,865021
2018-09-04,36.160000,36.650000,36.750000,36.106800,1897305
2018-09-05,36.720000,37.400000,37.660000,36.480000,2191499
2018-09-06,37.470000,36.830000,37.897300,36.600000,1584325
2018-09-07,36.450000,36.090000,36.970000,35.990000,1588595
2018-09-10,36.160000,36.290000,36.550000,36.030000,1171727
2018-09-11,36.100000,36.580000,36.970000,35.990000,1433473
2018-09-12,36.670000,36.950000,37.060000,36.405000,1425212
2018-09-13,36.900000,36.360000,36.950000,35.610000,2150422
2018-09-14,36.000000,36.785600,36.920000,35.631000,1494799
2018-09-17,36.880000,36.160000,37.000000,36.060000,1086305
2018-09-18,36.190000,36.490000,36.700000,36.110000,872097
2018-09-19,36.490000,36.340000,37.080000,36.240000,1085258
2018-09-20,36.440000,35.860000,36.570000,35.290000,2160851
2018-09-21,35.810000,35.830000,35.980000,35.205000,2897077
2018-09-24,35.500000,35.120000,35.839900,35.040000,1886618
2018-09-25,35.110000,35.240000,35.340000,35.020000,1763153
2018-09-26,35.700000,34.355000,35.750000,33.980000,2236550
2018-09-27,34.320000,33.550000,34.320000,33.470000,2660744
2018-09-28,33.500000,33.030000,33.970000,32.924600,2655319
2018-10-01,33.140000,33.150000,33.340000,32.920000,2396228
