Date, Open, Close, High, Low, Volume
2018-01-02,8.200000,8.250000,8.380000,8.200000,2427
2018-01-03,8.260000,8.198600,8.260000,8.135000,14194
2018-01-04,8.100000,8.160000,8.270000,8.100000,1322
2018-01-05,8.170000,8.130000,8.314400,8.120000,14085
2018-01-08,8.240000,8.110000,8.300000,8.080100,2730
2018-01-09,8.289900,8.090000,8.289900,8.090000,2157
2018-01-10,8.180000,8.130000,8.220000,8.064300,2974
2018-01-11,8.250000,8.160000,8.250000,8.055000,5750
2018-01-12,8.110000,8.160000,8.220000,8.045000,8147
2018-01-16,8.120000,7.990000,8.285000,7.919800,17075
2018-01-17,7.984800,8.080000,8.150000,7.940000,14733
2018-01-18,8.000000,8.061200,8.120000,8.000000,4240
2018-01-19,8.150000,8.070000,8.150000,8.060000,2839
2018-01-22,8.090000,8.110000,8.120000,8.070000,5452
2018-01-23,8.100000,8.270000,8.311300,8.070000,7181
2018-01-24,8.250000,8.230000,8.350000,8.220400,1059
2018-01-25,8.250000,8.220000,8.321100,8.200000,3841
2018-01-26,8.170000,8.199000,8.199900,8.150000,9030
2018-01-29,8.200000,8.170000,8.200000,8.160000,3430
2018-01-30,8.200000,8.172500,8.230000,8.001000,12265
2018-01-31,8.230000,8.070000,8.230000,8.050000,12060
2018-02-01,8.150000,8.180000,8.210000,8.050000,3268
2018-02-02,8.050000,8.110000,8.220000,8.050000,4998
2018-02-05,8.150000,8.000000,8.210000,8.000000,25091
2018-02-06,8.050000,8.000000,8.161700,7.810000,8153
2018-02-07,8.060000,8.040000,8.115000,7.920000,16393
2018-02-08,8.180000,7.990000,8.180000,7.940000,3964
2018-02-09,7.860000,7.860000,7.990000,7.850000,16215
2018-02-12,7.910000,7.910000,8.090000,7.850000,5697
2018-02-13,7.940000,7.860000,8.170000,7.860000,3979
2018-02-14,7.900000,8.040000,8.050000,7.889700,3733
2018-02-15,7.910000,7.880000,8.170000,7.880000,5427
2018-02-16,7.910000,7.890000,8.050000,7.850000,5060
2018-02-20,7.980000,7.880000,8.050000,7.880000,5012
2018-02-21,7.960000,8.040000,8.050000,7.950000,3980
2018-02-22,8.060000,8.030000,8.060000,7.860000,1819
2018-02-23,7.960000,7.960000,8.040000,7.870000,10097
2018-02-26,7.990000,8.005000,8.050000,7.970000,3577
2018-02-27,8.010000,8.040000,8.040000,7.975000,1833
2018-02-28,8.050000,8.030000,8.050000,7.962500,5046
2018-03-01,8.050000,7.950000,8.050000,7.950000,4562
2018-03-02,7.980000,7.980000,8.010000,7.970000,1229
2018-03-05,7.990000,7.950000,8.050000,7.850000,5433
2018-03-06,7.910000,7.930000,7.988700,7.895000,3245
2018-03-07,7.970000,7.980000,8.040000,7.909300,3276
2018-03-08,7.864300,7.950500,8.070000,7.864300,10838
2018-03-09,8.030000,7.965800,8.047200,7.930000,2416
2018-03-12,7.910000,8.030000,8.050000,7.910000,3029
2018-03-13,8.010000,7.982200,8.100000,7.899000,17671
2018-03-14,7.990000,7.980000,7.990000,7.915600,212
2018-03-15,7.900000,8.001400,8.054400,7.900000,3601
2018-03-16,8.090000,8.040000,8.090000,7.959900,4988
2018-03-19,8.050000,7.970000,8.240000,7.950000,10977
2018-03-20,7.980000,7.960000,8.221600,7.960000,5507
2018-03-21,7.960000,7.950000,8.030000,7.920000,8977
2018-03-22,8.000000,7.940000,8.217400,7.900000,5786
2018-03-23,7.978800,7.934200,8.005200,7.900000,4745
2018-03-26,7.950000,7.970000,7.970000,7.940000,3313
2018-03-27,7.960000,7.880000,7.960000,7.880000,7653
2018-03-28,7.960000,7.880000,7.960000,7.819900,7734
2018-03-29,7.910000,7.950000,8.370000,7.895000,4574
2018-04-02,8.000000,8.060000,8.200000,7.890400,21349
2018-04-03,8.120000,8.000100,8.120000,7.887300,8799
2018-04-04,7.860000,8.000000,8.440000,7.860000,16588
2018-04-05,8.030000,8.000000,8.030000,7.980000,5996
2018-04-06,8.004500,7.988400,8.004500,7.910000,2049
2018-04-09,8.010000,7.910000,8.010000,7.869300,8266
2018-04-10,7.900100,7.950000,7.960000,7.870000,4806
2018-04-11,7.900000,7.939600,7.997200,7.870500,2897
2018-04-12,7.930000,7.890000,8.000000,7.886700,7113
2018-04-13,7.900000,8.020000,8.020000,7.860000,7442
2018-04-16,8.000000,7.950400,8.000000,7.950000,3592
2018-04-17,7.960000,7.950000,7.980000,7.870000,14652
2018-04-18,7.900000,7.980000,8.020000,7.900000,39607
2018-04-19,7.990000,8.020000,8.070000,7.980000,33562
2018-04-20,8.000000,8.060000,8.336000,8.000000,24809
2018-04-23,8.060000,8.050000,8.318300,8.048800,14106
2018-04-24,8.050000,8.120000,8.240000,8.050000,10029
2018-04-25,8.080000,8.290000,8.290000,8.080000,3952
2018-04-26,8.280000,8.285000,8.330000,8.050000,11193
2018-04-27,8.300000,8.385000,8.385000,8.240000,6975
2018-04-30,8.300000,8.373500,8.480000,8.020000,17130
2018-05-01,8.260000,8.320000,8.330000,8.260000,15177
