Date, Open, Close, High, Low, Volume
2018-01-02,84.280000,85.585600,85.585600,84.280000,40855
2018-01-03,86.040000,86.734400,86.779900,85.990000,27187
2018-01-04,87.200000,87.030000,87.320000,86.880100,21976
2018-01-05,87.590000,88.036000,88.050000,87.340000,21198
2018-01-08,88.270000,88.700000,88.889900,88.036800,24017
2018-01-09,88.750000,88.289000,88.943600,88.000000,24499
2018-01-10,87.740000,87.858800,87.925000,87.256400,13598
2018-01-11,88.320000,88.240000,88.320000,87.887300,29574
2018-01-12,88.400000,88.740000,88.959900,88.180000,17052
2018-01-16,89.100000,88.651700,90.049900,88.330100,30469
2018-01-17,89.320000,90.115200,90.279100,88.980100,17888
2018-01-18,90.120000,90.314500,90.530000,89.959500,20296
2018-01-19,90.740000,90.480000,90.740000,90.027300,35840
2018-01-22,90.410000,91.340000,91.340000,90.250000,20194
2018-01-23,92.390000,92.450000,92.500000,91.816000,23643
2018-01-24,92.440000,91.739900,92.880000,91.170000,19281
2018-01-25,92.170000,91.590000,92.490000,91.370100,31066
2018-01-26,92.600000,93.483900,93.505300,92.200100,27056
2018-01-29,93.440000,92.490000,93.440000,92.310100,29719
2018-01-30,91.670000,91.350000,91.835300,91.049900,25534
2018-01-31,92.120000,92.300000,92.616200,91.940000,15875
2018-02-01,91.320000,91.450000,92.700000,91.274500,29602
2018-02-02,91.220000,89.410000,91.220000,89.409600,30951
2018-02-05,88.350000,85.970000,90.160000,85.942800,59424
2018-02-06,84.380000,87.900000,88.105000,83.910000,48014
2018-02-07,88.160000,87.370000,89.000000,87.314500,34007
2018-02-08,87.390000,83.500000,87.450000,83.500000,45312
2018-02-09,84.530000,84.900000,85.423100,81.760000,68766
2018-02-12,85.860000,86.750000,87.120000,85.290100,26282
2018-02-13,86.740000,87.150000,87.270000,86.214600,15301
2018-02-14,86.910000,89.162200,89.210000,86.910000,22587
2018-02-15,89.930000,90.730000,90.819900,88.931000,27182
2018-02-16,90.870000,90.730000,91.547200,90.611400,76219
2018-02-20,90.420000,91.260000,91.989000,90.420000,24343
2018-02-21,91.970000,91.042900,92.385600,91.042900,40905
2018-02-22,91.160000,90.790100,91.539900,90.550000,21155
2018-02-23,91.690000,92.560000,92.669900,91.260100,15845
2018-02-26,94.450000,93.960000,94.450000,93.170100,27430
2018-02-27,94.020000,93.068000,94.224000,92.878400,29676
2018-02-28,93.490000,92.750000,94.079000,92.740000,34344
2018-03-01,92.740000,91.115000,93.200000,90.430000,20415
2018-03-02,90.000000,91.960000,91.960000,89.313200,23945
2018-03-05,91.440000,93.005000,93.199000,91.140000,24315
2018-03-06,93.550000,93.660000,93.959000,93.060100,17155
2018-03-07,92.810000,94.339800,94.480000,92.810000,23152
2018-03-08,94.890000,94.508700,94.890000,94.210000,220421
2018-03-09,95.080000,96.200000,96.240000,95.080000,24967
2018-03-12,96.630000,96.930000,97.246800,96.584700,28530
2018-03-13,97.640000,95.697400,97.640000,95.350000,17176
2018-03-14,96.340000,95.820000,96.340000,95.234500,46596
2018-03-15,96.070000,96.090200,96.599900,95.660000,83266
2018-03-16,96.570000,95.860000,96.570000,95.710400,14565
2018-03-19,95.150000,94.110000,95.150000,93.050000,23187
2018-03-20,94.130000,94.344800,94.652500,93.840000,18693
2018-03-21,94.160000,94.160000,95.122000,93.755000,22568
2018-03-22,93.140000,91.380000,93.140100,91.270000,28257
2018-03-23,91.180000,88.830000,91.540000,88.790000,56507
2018-03-26,90.620000,92.130000,92.200000,89.322900,20394
2018-03-27,92.960000,88.650000,92.960000,88.020000,29881
2018-03-28,88.070000,87.110000,88.495000,86.590000,51656
2018-03-29,87.340000,88.895000,89.514000,86.780000,14066
2018-04-02,88.260000,86.170000,88.260000,85.390000,26808
2018-04-03,87.530000,87.104500,87.530000,85.880000,40022
2018-04-04,85.150000,88.492500,88.710000,84.910100,35224
2018-04-05,89.370000,88.700000,89.529900,88.011200,11761
2018-04-06,87.800000,86.410000,88.350100,85.950100,24707
2018-04-09,86.970000,87.050000,88.872600,86.970000,166683
2018-04-10,88.680000,89.200000,89.555600,88.190000,39102
2018-04-11,88.760000,88.960000,89.800600,88.760000,26781
2018-04-12,89.330000,90.130000,90.367200,89.330000,32912
2018-04-13,90.700000,89.430000,90.787800,89.076800,27818
2018-04-16,90.000000,90.049400,90.420000,89.340100,16524
2018-04-17,90.800000,92.060000,92.230000,90.800000,22737
2018-04-18,92.040000,92.064500,92.300000,91.230000,20584
2018-04-19,92.029800,90.541900,92.029800,90.152900,10281
2018-04-20,90.160000,89.180000,90.184900,88.874500,18237
2018-04-23,89.420000,88.429500,89.772000,88.080000,17375
2018-04-24,89.310000,86.730000,89.360000,86.059600,11819
2018-04-25,87.150000,86.480000,87.150000,85.250000,12279
2018-04-26,87.150000,88.160100,88.394800,87.150000,10538
2018-04-27,89.630000,88.430000,89.630000,87.870000,18862
2018-04-30,88.800000,88.055800,89.048800,87.641000,29782
2018-05-01,87.530000,88.880000,88.880000,87.530000,27339
2018-05-02,89.000000,88.310000,89.359000,88.250100,15440
2018-05-03,88.300000,88.290000,88.709500,86.860000,13220
2018-05-04,88.330000,90.030000,90.260000,87.895000,13508
2018-05-07,90.490000,90.810000,91.239200,90.469900,12770
2018-05-08,90.890000,90.954500,91.025500,90.270000,13606
2018-05-09,91.580000,92.240000,92.340200,91.180000,14166
2018-05-10,92.540000,93.400000,93.400000,92.540000,15849
2018-05-11,93.400000,92.899500,93.539900,92.750100,11589
2018-05-14,92.990000,93.290000,94.100000,92.990000,12595
2018-05-15,92.860000,92.214300,92.860000,91.860000,13300
2018-05-16,92.220000,93.050000,93.198000,92.220000,12875
2018-05-17,92.790000,92.340000,93.130000,91.830000,11101
2018-05-18,92.315000,91.590000,92.315000,91.500000,7281
2018-05-21,92.420000,92.234800,92.911200,91.640100,14074
2018-05-22,93.050000,92.150000,93.098400,92.000000,6548
2018-05-23,91.580000,92.890000,92.890000,91.580000,11921
2018-05-24,93.150000,92.926500,93.239000,92.145700,8737
2018-05-25,92.660000,93.330000,93.539900,92.660000,10948
2018-05-29,93.220000,92.920000,93.431800,92.410000,18067
2018-05-30,93.110000,93.520000,93.740000,93.110000,13636
2018-05-31,93.520000,93.040000,93.724000,92.954900,8041
2018-06-01,93.560000,94.900000,95.000000,93.560000,20706
2018-06-04,95.340000,95.790000,95.820000,95.000000,14823
2018-06-05,95.850000,96.310000,96.437400,95.850000,22917
2018-06-06,96.380000,97.130000,97.130000,96.190000,17604
2018-06-07,97.440000,96.250000,97.440000,95.590100,15270
2018-06-08,95.550000,96.380000,96.500000,95.550000,10070
2018-06-11,96.220000,96.500000,96.770000,96.220000,13608
2018-06-12,96.565000,97.160000,97.379000,96.565000,17245
2018-06-13,97.170000,97.380000,98.020000,97.080100,35894
2018-06-14,97.900000,97.995000,98.298100,97.708600,12938
2018-06-15,97.941000,97.850000,98.000000,97.082200,26825
2018-06-18,97.140000,97.430000,97.540000,96.560000,23078
2018-06-19,95.970000,96.649500,96.880000,95.416800,18158
2018-06-20,97.570000,97.240000,97.570000,96.971000,10003
2018-06-21,97.870000,96.440000,97.870000,96.170100,10998
2018-06-22,97.050000,95.850000,97.050000,95.500000,16480
2018-06-25,94.800000,93.229900,94.800000,92.350000,24316
2018-06-26,93.840000,93.820000,94.340000,93.211500,19901
2018-06-27,94.180000,92.100000,94.500000,92.100000,18757
2018-06-28,92.000000,93.190000,93.442800,91.980200,103137
2018-06-29,93.600000,93.320000,94.149900,93.290000,13378
2018-07-02,92.940000,94.210000,94.210000,92.500000,8144
2018-07-03,94.126000,93.040000,94.420100,93.000000,30228
2018-07-05,93.400000,94.070000,94.070000,93.100000,30426
2018-07-06,94.260000,95.370000,95.449000,93.882200,10452
2018-07-09,95.860000,96.110000,96.110000,95.175000,14929
2018-07-10,96.110000,96.279000,96.558800,96.028500,13132
2018-07-11,95.400000,95.670000,95.890200,95.250000,69434
2018-07-12,95.680000,96.920000,96.920000,95.680000,48328
2018-07-13,96.990000,96.480000,97.000000,96.290100,10892
2018-07-16,96.280000,96.260000,96.629900,96.095300,8511
2018-07-17,94.750000,96.810000,96.908400,94.620000,33354
2018-07-18,96.940000,96.760000,96.940000,96.465000,15377
2018-07-19,96.431600,95.870000,96.488700,95.740000,10694
2018-07-20,96.000000,95.540000,96.219900,95.480100,9950
2018-07-23,95.380000,95.570000,95.589900,94.380000,10785
2018-07-24,96.660000,95.320000,96.720000,95.060100,10875
2018-07-25,95.130000,96.580000,96.580000,95.130000,11354
2018-07-26,95.400000,95.870000,96.135600,95.400000,12190
2018-07-27,96.155700,94.420000,96.155700,93.860000,18080
2018-07-30,94.080000,92.290000,94.080000,91.820000,28597
2018-07-31,92.500000,92.710000,93.181300,92.240000,9714
2018-08-01,93.000000,92.700000,93.315000,92.291900,13767
2018-08-02,91.740000,93.700000,93.750000,91.740000,89965
2018-08-03,93.681700,93.952800,94.048600,93.439200,16433
2018-08-06,93.740000,94.400000,94.412700,93.740000,33653
2018-08-07,94.970000,95.010000,95.070000,94.621000,12600
2018-08-08,95.200000,95.100000,95.210000,94.780000,6745
2018-08-09,94.860000,94.299300,94.860000,94.299300,8176
2018-08-10,93.640000,93.675000,93.908900,93.470000,7494
2018-08-13,93.810000,93.260000,94.240000,93.150000,10392
2018-08-14,93.510000,93.190000,93.510000,92.723200,76976
2018-08-15,92.410000,91.770000,92.410000,90.960000,11793
2018-08-16,92.592400,91.840000,92.592400,91.770000,80363
2018-08-17,91.800000,91.310000,91.800000,90.630000,12135
2018-08-20,91.610000,91.740000,92.030200,91.090000,16852
2018-08-21,91.930000,92.570000,92.871300,91.930000,10593
2018-08-22,92.500000,93.030000,93.164400,92.391200,13518
2018-08-23,93.750000,92.680000,93.750000,92.650100,13045
2018-08-24,93.290000,93.850000,93.949500,93.128000,17378
2018-08-27,94.460000,94.910000,94.970000,94.250000,13794
2018-08-28,94.950000,94.900000,94.969100,94.490100,9541
2018-08-29,94.750000,95.760000,95.800000,94.750000,10822
2018-08-30,95.220000,94.990000,95.496300,94.799300,10812
2018-08-31,94.410000,95.067000,95.170000,94.410000,8826
2018-09-04,94.640000,94.560000,94.663800,93.910000,27688
2018-09-05,93.850000,92.730000,93.850000,92.560000,9909
2018-09-06,92.810000,91.980000,93.039900,91.569200,31091
2018-09-07,91.210000,92.120000,92.763900,91.210000,9156
2018-09-10,92.220000,92.210100,92.507500,92.030000,11683
2018-09-11,91.540000,92.590000,92.760000,91.500000,23614
2018-09-12,92.450000,92.640000,92.658900,91.598500,8481
2018-09-13,93.130000,93.580000,94.000000,93.130000,14006
