Date, Open, Close, High, Low, Volume
2021-07-26,6.200000,6.090000,6.260000,6.090000,220178
2021-07-26,6.080000,6.170000,6.202900,6.080000,154385
2021-07-26,6.130000,6.070000,6.190000,6.070000,272465
2021-07-26,6.060000,6.070000,6.100000,6.000000,178980
2021-07-26,6.130000,6.100000,6.180000,6.080000,238070
2021-07-26,6.090000,6.140000,6.150000,6.070000,181550
2021-07-26,6.190000,6.240000,6.250000,6.130300,247900
2021-07-26,6.310000,6.240000,6.320000,6.190000,411538
2021-07-26,6.260000,6.350000,6.350000,6.230000,452828
2021-07-26,6.350000,6.380000,6.420000,6.280000,409698
2021-07-26,6.400000,6.390000,6.434500,6.370000,219982
2021-07-26,6.410000,6.310000,6.410000,6.290000,331747
2021-07-26,6.370000,6.420000,6.420000,6.310000,217325
2021-07-26,6.490000,6.500000,6.530000,6.455000,223348
2021-07-26,6.500000,6.510000,6.550000,6.460000,278927
2021-07-26,6.470000,6.460000,6.550000,6.450000,331675
2021-07-26,6.470000,6.480000,6.510000,6.465000,182650
2021-07-26,6.470000,6.630000,6.640000,6.470000,291790
2021-07-26,6.650000,6.630000,6.700000,6.580000,327337
2021-07-26,6.650000,6.700000,6.780000,6.580000,500187
2021-07-26,6.710000,6.560000,6.730000,6.530000,206607
2021-07-26,6.550000,6.460000,6.610300,6.426000,262664
2021-07-26,6.470000,6.510000,6.560000,6.470000,343796
2021-07-26,6.530000,6.590000,6.620000,6.510100,205582
2021-07-26,6.590000,6.610000,6.680000,6.590000,210716
2021-07-26,6.620000,6.550000,6.710000,6.530000,452521
2021-07-26,6.720000,6.580000,6.740000,6.470000,264080
2021-07-26,6.610000,6.650000,6.690000,6.610000,238512
2021-07-26,6.690000,6.660000,6.710000,6.650000,174799
2021-07-26,6.670000,6.830000,6.830000,6.670000,302806
2021-07-26,6.890000,6.900000,6.940000,6.840000,249058
2021-07-26,6.950000,6.950000,6.970000,6.890700,211431
2021-07-26,6.980000,7.020000,7.040000,6.956500,306890
2021-07-26,7.030000,6.990000,7.030000,6.970000,149506
2021-07-26,6.980000,6.970000,7.040000,6.910000,216809
2021-07-26,6.980000,6.800000,7.000000,6.790000,174963
2021-07-26,6.760000,6.870000,6.880000,6.750000,176239
2021-07-26,6.830000,6.840000,6.880000,6.800100,126626
2021-07-26,6.800000,6.700000,6.840000,6.690000,189749
2021-07-26,6.740000,6.770000,6.810000,6.720000,115534
2021-07-26,6.730000,6.740000,6.760000,6.600000,149623
2021-07-26,6.800000,6.880000,6.890000,6.795000,140804
2021-07-26,6.990000,6.930000,6.990000,6.850000,190557
2021-07-26,6.940000,6.880000,6.949700,6.860000,102951
2021-07-26,6.880000,6.910000,6.935000,6.860000,140618
2021-07-26,6.870000,6.890000,6.930000,6.860000,235741
2021-07-26,6.910000,6.900000,6.990000,6.710000,243071
2021-07-26,6.910000,6.970000,6.990000,6.910000,226119
2021-07-26,7.000000,7.010000,7.040000,6.970000,149544
2021-07-26,7.030000,7.010000,7.040000,7.010000,95921
2021-07-26,7.050000,7.060000,7.100000,7.021500,117102
2021-07-26,7.060000,7.000000,7.110000,7.000000,141364
2021-07-26,7.040000,6.980000,7.040000,6.980000,107876
2021-07-26,7.030000,7.020000,7.100000,6.980000,228176
2021-07-26,7.080000,7.090000,7.110000,7.017400,189131
2021-07-26,7.110000,7.130000,7.150000,7.090000,147329
2021-07-26,7.150000,7.120000,7.160000,7.120000,133761
2021-07-26,7.210000,7.120000,7.210000,7.080000,175398
2021-07-26,7.080000,7.170000,7.190000,7.060000,137543
2021-07-26,7.200000,7.150000,7.250000,7.150000,152289
2021-07-26,7.150000,7.210000,7.230000,7.110000,139305
2021-07-26,7.180000,7.220000,7.300000,7.180000,266238
2021-07-26,7.260000,7.300000,7.300000,7.220000,196589
2021-07-26,7.310000,7.390000,7.400000,7.280000,254406
2021-07-26,7.430000,7.430000,7.489900,7.410000,199278
2021-07-26,7.430000,7.450000,7.490000,7.430000,166492
2021-07-26,7.400000,7.490000,7.500000,7.370100,164518
2021-07-26,7.490000,7.460000,7.500000,7.430000,137012
2021-07-26,7.490000,7.500000,7.510000,7.460000,146627
2021-07-26,7.550000,7.540000,7.560000,7.470000,115201
2021-07-26,7.530000,7.680000,7.750000,7.510000,378986
2021-07-26,7.750000,7.740000,7.809900,7.685000,221948
2021-07-26,7.710000,7.600000,7.750000,7.590000,159660
2021-07-26,7.590000,7.510000,7.720000,7.490000,187998
2021-07-26,7.520000,7.570000,7.600000,7.450000,180655
2021-07-26,7.610000,7.740000,7.760000,7.610000,127639
2021-07-26,7.780000,7.850000,7.900000,7.750000,225194
2021-07-26,7.880000,7.880000,7.940000,7.870000,183114
2021-07-26,7.820000,7.820000,7.850000,7.750000,102451
2021-07-26,7.820000,7.840000,7.840000,7.820000,151442
2021-07-26,7.840000,7.830000,7.845000,7.830000,201927
2021-07-26,7.840000,7.860000,7.860000,7.795000,178259
2021-07-26,7.860000,7.840000,7.890000,7.840000,112052
2021-07-26,7.840000,7.850000,7.880000,7.820000,112875
2021-07-26,7.840000,7.835000,7.890000,7.830000,143552
2021-07-26,7.870000,7.840000,7.910000,7.830000,131860
2021-07-26,7.840000,7.880000,7.906800,7.840000,226838
2021-07-26,7.920000,7.910000,7.970000,7.859700,275945
2021-07-26,7.900000,7.900000,7.930000,7.840000,205492
2021-07-26,7.910000,7.940000,7.950000,7.870100,158295
2021-07-26,7.950000,7.990000,8.000000,7.950000,197167
2021-07-26,8.000000,7.960000,8.029000,7.930000,204943
2021-07-26,7.980000,7.980000,7.992100,7.950000,107052
