Date, Open, Close, High, Low, Volume
2021-07-26,1.590000,1.670000,1.770000,1.540000,20178313
2021-07-26,1.620000,1.590000,1.660000,1.570000,11381193
2021-07-26,1.590000,1.600000,1.630000,1.510000,11840330
2021-07-26,1.650000,1.870000,1.880000,1.580000,31759627
2021-07-26,1.860000,1.740000,1.870000,1.670000,13165209
2021-07-26,1.800000,2.170000,2.240000,1.780000,58053884
2021-07-26,2.300000,2.360000,2.730000,2.300000,60481750
2021-07-26,2.290000,2.170000,2.300000,2.060000,20134368
2021-07-26,2.340000,2.420000,2.570000,2.270000,22820769
2021-07-26,2.440000,2.620000,2.700000,2.420000,23029215
2021-07-26,2.800000,2.600000,2.830000,2.310000,28956660
2021-07-26,2.520000,2.340000,2.550000,2.290000,14907684
2021-07-26,2.460000,2.420000,2.480000,2.330000,11234121
2021-07-26,2.500000,2.330000,2.500000,2.170000,22676532
2021-07-26,2.050000,2.050000,2.130000,1.910000,24173622
2021-07-26,2.080000,2.050000,2.090000,1.960000,14724104
2021-07-26,2.030000,1.990000,2.080000,1.835000,21335978
2021-07-26,2.050000,2.050000,2.200000,2.000000,11306030
2021-07-26,1.860000,2.020000,2.030000,1.710000,11793597
2021-07-26,2.080000,2.010000,2.080000,2.000000,5499624
2021-07-26,1.980000,1.850000,1.990000,1.800000,8996434
2021-07-26,1.800000,1.760000,1.890000,1.760000,6138352
2021-07-26,1.830000,1.810000,1.870000,1.780000,5613822
2021-07-26,1.800000,1.720000,1.840000,1.700000,5982932
2021-07-26,1.730000,1.580000,1.741800,1.570000,8084777
2021-07-26,1.500000,1.430000,1.560000,1.340000,9717279
2021-07-26,1.450000,1.420000,1.500000,1.250000,8278402
2021-07-26,1.430000,1.450000,1.550000,1.410000,6239097
2021-07-26,1.500000,1.620000,1.640000,1.450000,6209507
2021-07-26,1.660000,1.660000,1.720000,1.600000,5429802
2021-07-26,1.720000,1.780000,1.780000,1.673000,5525894
2021-07-26,1.750000,1.830000,1.840000,1.700000,4918646
2021-07-26,1.800000,1.820000,1.860000,1.770000,4669443
2021-07-26,1.790000,1.760000,1.830000,1.710000,4787546
2021-07-26,1.720000,1.740000,1.775000,1.640000,7404983
2021-07-26,1.670000,1.700000,1.780000,1.670000,6000370
2021-07-26,1.720000,1.720000,1.790000,1.680000,11482908
2021-07-26,1.710000,1.730000,1.750000,1.660000,5085550
2021-07-26,1.700000,1.630000,1.700000,1.610000,4354027
2021-07-26,1.630000,1.480000,1.633800,1.480000,4525024
2021-07-26,1.450000,1.620000,1.660000,1.420000,5035901
2021-07-26,1.600000,1.620000,1.630000,1.560000,2381531
2021-07-26,1.600000,1.560000,1.630000,1.530000,2749267
2021-07-26,1.520000,1.500000,1.570000,1.490000,2612846
2021-07-26,1.520000,1.540000,1.590000,1.510000,3498989
2021-07-26,1.550000,1.630000,1.630000,1.550000,2846005
2021-07-26,1.610000,1.580000,1.640000,1.520000,3111595
2021-07-26,1.520000,1.520000,1.570000,1.510000,2173151
2021-07-26,1.500000,1.520000,1.550000,1.490000,2760513
2021-07-26,1.500000,1.500000,1.520000,1.480000,1672451
2021-07-26,1.490000,1.460000,1.510000,1.450000,2498920
2021-07-26,1.440000,1.370000,1.440000,1.360000,3560363
2021-07-26,1.360000,1.460000,1.465000,1.350000,2968468
2021-07-26,1.400000,1.390000,1.460000,1.370000,3083489
2021-07-26,1.390000,1.290000,1.395000,1.250000,5336707
2021-07-26,1.280000,1.230000,1.290000,1.220000,4663146
2021-07-26,1.220000,1.220000,1.260800,1.170000,3972744
2021-07-26,1.180000,1.230000,1.260000,1.180000,1990608
2021-07-26,1.220000,1.380000,1.400000,1.200000,3937428
