Date, Open, Close, High, Low, Volume
2021-07-26,10.050000,9.830000,10.050000,9.560000,74643
2021-07-26,9.840000,9.770000,9.840000,9.750000,36556
2021-07-26,9.970000,9.800000,9.970000,9.700000,54308
2021-07-26,9.820000,9.840000,9.850000,9.750000,645341
2021-07-26,9.870000,9.820000,9.870000,9.730000,191819
2021-07-26,9.760000,9.815000,9.850000,9.750000,188187
2021-07-26,9.839400,9.760000,9.839400,9.660000,999022
2021-07-26,9.760000,9.730000,9.790000,9.680000,215303
2021-07-26,9.720000,9.730000,9.760000,9.680000,175791
2021-07-26,9.800000,9.790000,9.830000,9.650000,205185
2021-07-26,9.732000,9.720000,9.760000,9.680000,113850
2021-07-26,9.750000,9.690000,9.785000,9.690000,106751
2021-07-26,9.690000,9.610000,9.700200,9.600000,212380
2021-07-26,9.630000,9.640000,9.700000,9.610000,251275
2021-07-26,9.560000,9.680000,9.730000,9.430000,257968
2021-07-26,9.700000,9.715000,9.740000,9.650000,249996
2021-07-26,9.710600,9.700000,9.751500,9.690000,277575
2021-07-26,9.700000,9.690000,9.730000,9.612800,210859
2021-07-26,9.670000,9.680000,9.720000,9.600000,192398
2021-07-26,9.700000,9.690000,9.750000,9.670000,133565
2021-07-26,9.700000,9.680000,9.750000,9.680000,36100
2021-07-26,9.700000,9.730000,9.760000,9.680000,364761
2021-07-26,9.720000,9.750000,9.760000,9.726400,230547
2021-07-26,9.770000,9.760000,9.800000,9.740000,68698
2021-07-26,9.790000,9.730000,9.790000,9.720000,83112
2021-07-26,9.740000,9.760000,9.790000,9.730000,96616
2021-07-26,9.730000,9.770000,9.790000,9.730000,162359
2021-07-26,9.770000,9.800000,9.830000,9.730000,1098158
2021-07-26,9.830000,9.810000,9.830000,9.790000,134128
2021-07-26,9.810000,9.780000,9.830000,9.760000,70153
2021-07-26,9.780000,9.800000,9.800000,9.770000,44459
2021-07-26,9.810000,9.780000,9.810000,9.770000,72481
2021-07-26,9.770000,9.790000,9.810000,9.740000,387524
2021-07-26,9.790000,9.730000,9.790000,9.720000,182909
2021-07-26,9.750000,9.770000,9.810000,9.720000,550818
2021-07-26,9.750000,9.770000,9.806500,9.730000,41668
2021-07-26,9.775000,9.750000,9.800000,9.750000,120834
2021-07-26,9.760000,9.800000,9.800000,9.750000,25330
2021-07-26,9.760000,9.800000,9.850000,9.760000,14386
2021-07-26,9.770000,9.800000,9.800000,9.760000,22951
2021-07-26,9.810000,9.750000,9.810000,9.740000,66810
2021-07-26,9.750000,9.720000,9.760000,9.720000,23204
2021-07-26,9.720000,9.740000,9.750000,9.720000,32666
2021-07-26,9.730000,9.720200,9.740000,9.720000,14341
2021-07-26,9.720000,9.740000,9.760000,9.720000,38581
2021-07-26,9.740000,9.700000,9.740000,9.700000,2819
2021-07-26,9.700000,9.720000,9.780000,9.700000,129446
2021-07-26,9.715700,9.750000,9.780000,9.715700,8037
2021-07-26,9.720000,9.740000,9.770000,9.700000,68955
2021-07-26,9.721100,9.730000,9.760000,9.720000,3421
2021-07-26,9.840000,9.740000,9.840000,9.700000,10091
2021-07-26,9.690000,9.660000,9.720000,9.660000,61198
2021-07-26,9.690000,9.690000,9.736500,9.660000,16784
2021-07-26,9.690000,9.730000,9.740000,9.687700,4540
2021-07-26,9.730000,9.730000,9.730000,9.730000,0
2021-07-26,9.700000,9.730000,9.730000,9.690000,2476
2021-07-26,9.730000,9.730000,9.740000,9.690000,80794
2021-07-26,9.740000,9.710000,9.740000,9.710000,1333
2021-07-26,9.710000,9.680000,9.710000,9.660000,24586
2021-07-26,9.680000,9.690000,9.700000,9.675000,36368
2021-07-26,9.690000,9.690000,9.740000,9.690000,9753
2021-07-26,9.690000,9.730000,9.740000,9.667300,5932
2021-07-26,9.690000,9.680000,9.720000,9.670000,11571
2021-07-26,9.660000,9.690000,9.690000,9.660000,2796
2021-07-26,9.660000,9.690000,9.740000,9.660000,40590
2021-07-26,9.670000,9.700000,9.720000,9.670000,111302
2021-07-26,9.690000,9.740000,9.740000,9.690000,8964
2021-07-26,9.700000,9.739000,9.740000,9.700000,2838
2021-07-26,9.740000,9.748000,9.800000,9.710000,20991
2021-07-26,9.735000,9.740000,9.750000,9.710000,42965
2021-07-26,9.750000,9.730000,9.750000,9.700000,13340
2021-07-26,9.720000,9.720000,9.730000,9.700000,12598
