Date, Open, Close, High, Low, Volume
2021-07-26,6.100000,6.270000,6.870000,5.870000,118749
2021-07-26,6.280000,8.150000,9.699000,6.164700,602225
2021-07-26,8.350000,6.710000,8.360000,6.550000,190405
2021-07-26,6.640000,7.650000,7.730000,6.510000,83412
2021-07-26,7.980000,7.650000,8.390000,7.210600,97919
2021-07-26,7.490000,7.800000,7.900000,7.410000,44471
2021-07-26,7.710000,7.690000,7.750000,7.340000,52424
2021-07-26,7.690000,7.740000,8.970000,7.600000,189337
2021-07-26,7.790000,7.910000,8.200000,7.720000,62179
2021-07-26,8.000000,7.660000,8.180000,7.302800,78479
2021-07-26,7.620000,7.040000,7.968400,7.000000,76802
2021-07-26,7.210000,8.140000,8.350000,7.010000,283972
2021-07-26,8.250000,8.950000,9.170000,8.040000,231318
2021-07-26,9.380000,8.960000,9.620000,8.700000,372842
2021-07-26,8.950000,8.570000,9.170000,7.800000,277758
2021-07-26,8.760000,8.050000,8.960000,8.000000,160513
2021-07-26,8.490000,10.750000,11.840000,8.270000,2094145
2021-07-26,10.500000,10.800000,11.029900,9.880000,640361
2021-07-26,9.030000,8.850000,9.328200,8.000000,593936
2021-07-26,8.890000,8.900000,9.094900,8.500000,188958
2021-07-26,8.700000,9.000000,9.040000,8.550000,294592
2021-07-26,8.710000,8.350000,8.970000,8.000100,115093
2021-07-26,8.410000,7.980000,8.579900,7.900000,217390
2021-07-26,8.000000,7.210000,8.180000,7.110000,187565
2021-07-26,7.280000,6.870000,7.720000,6.770000,200670
2021-07-26,6.680000,6.420000,6.937100,5.670000,389764
2021-07-26,6.360000,6.510000,6.830000,5.720000,156731
2021-07-26,6.500000,7.420000,7.420000,6.330000,150562
2021-07-26,7.320000,7.760000,8.160000,7.210000,153440
2021-07-26,7.840000,8.560000,8.840000,7.840000,232120
2021-07-26,8.710000,8.790000,8.890000,8.380000,138938
2021-07-26,8.750000,8.830000,9.010000,8.526300,75573
2021-07-26,11.340000,10.100000,11.500000,9.960000,659070
