Date, Open, Close, High, Low, Volume
2021-07-26,4.140000,4.180000,4.540000,3.955000,3374477
2021-07-26,4.180000,4.130000,4.270000,3.970000,2341320
2021-07-26,4.130000,4.000000,4.240000,3.880000,1704259
2021-07-26,4.110000,4.200000,4.290000,4.058400,2453276
2021-07-26,4.290000,4.430000,4.560000,4.130000,4639066
2021-07-26,5.250200,4.950000,5.700000,4.860000,6438123
2021-07-26,5.270000,5.030000,5.288000,4.730000,3853974
2021-07-26,5.070000,5.070000,5.150000,4.880000,2935419
2021-07-26,5.140000,5.000000,5.150000,4.770000,2912360
2021-07-26,5.010000,4.860000,5.010000,4.720000,1957871
2021-07-26,4.950000,4.705000,4.976100,4.480000,2071460
2021-07-26,4.740000,4.610000,4.800000,4.520000,1264857
2021-07-26,4.640000,4.590000,4.730000,4.480000,851219
2021-07-26,4.610000,4.680000,4.770000,4.528100,1589365
2021-07-26,5.050000,4.980000,5.058900,4.680000,3537740
2021-07-26,4.907400,4.760000,4.950000,4.690000,1560727
2021-07-26,4.790000,4.690000,4.900000,4.660000,1638432
2021-07-26,4.840000,4.680000,5.030000,4.650000,2492252
2021-07-26,4.500000,4.185000,4.500000,4.000000,2509299
2021-07-26,4.210000,4.140000,4.290000,4.110100,2079334
2021-07-26,4.530000,4.280000,4.595000,4.160000,2228398
2021-07-26,4.220000,4.220000,4.380000,4.150000,1114788
2021-07-26,4.153500,4.410000,4.430000,4.153500,933073
2021-07-26,4.360000,4.220000,4.400000,4.200000,1112432
2021-07-26,4.230000,4.040000,4.280000,3.990000,1114416
2021-07-26,4.010000,3.810000,4.228200,3.630000,2014896
2021-07-26,3.840000,3.790000,3.855000,3.421700,1729068
2021-07-26,3.810000,3.700000,3.900000,3.690000,1454255
2021-07-26,3.800000,3.920000,4.050000,3.800000,1514219
2021-07-26,4.020000,3.900000,4.120000,3.850000,1522134
2021-07-26,4.020000,3.900000,4.020000,3.860000,854969
2021-07-26,4.060000,4.270000,4.348900,3.985000,1450177
2021-07-26,4.340000,4.550000,4.590000,4.300000,870930
2021-07-26,4.520000,4.550000,4.705000,4.410000,1107358
2021-07-26,4.440000,4.560000,4.565000,4.400000,846828
2021-07-26,4.470000,4.390000,4.630000,4.360000,795730
2021-07-26,4.433800,4.575000,4.600000,4.370000,1661966
2021-07-26,4.749200,4.675000,4.860000,4.640000,1217945
2021-07-26,4.540000,4.520000,4.630000,4.440000,862871
2021-07-26,4.530000,4.330000,4.550000,4.300000,1763571
2021-07-26,4.200000,4.390000,4.420000,4.010000,1251590
2021-07-26,4.380000,4.180000,4.430000,4.080000,853139
2021-07-26,4.180000,3.890000,4.210000,3.865000,1055346
2021-07-26,3.920000,4.010000,4.090000,3.810000,813802
2021-07-26,4.180000,4.525000,4.540000,4.140000,1496611
2021-07-26,4.490000,4.530000,4.590000,4.370000,906460
2021-07-26,4.600000,4.440000,4.600000,4.360000,451887
2021-07-26,4.430000,4.320000,4.430000,4.260000,554206
2021-07-26,4.290000,4.150000,4.300000,4.110000,813404
2021-07-26,4.170000,4.280000,4.280000,4.140000,373193
2021-07-26,4.182000,4.180000,4.260000,4.150000,484531
2021-07-26,4.160000,3.800000,4.160000,3.800000,966686
2021-07-26,3.810000,3.900000,3.910000,3.765000,627520
