Date, Open, Close, High, Low, Volume
2021-07-26,41.250000,40.940000,41.250000,40.870000,3261
2021-07-26,40.950000,40.950000,40.950000,40.950000,1449
2021-07-26,41.250000,40.910000,41.250000,40.910000,464
2021-07-26,40.400000,40.400000,40.400000,40.400000,3179
2021-07-26,41.720000,41.350000,41.720000,41.100000,1518
2021-07-26,42.020000,41.090000,42.020000,41.080000,1693
2021-07-26,42.380000,42.160000,42.380000,41.730000,3620
2021-07-26,42.830000,42.330000,42.830000,42.330000,551
2021-07-26,42.330000,42.330000,42.330000,42.330000,0
2021-07-26,44.280000,44.010000,44.280000,43.685000,905
2021-07-26,43.870000,43.870000,43.870000,43.870000,1164
2021-07-26,43.760000,43.710000,43.760000,43.710000,6807
2021-07-26,44.180000,44.150000,44.180000,44.150000,7241
2021-07-26,44.160000,43.770000,44.160000,43.760000,2647
2021-07-26,43.260000,43.300000,43.300000,43.260000,4089
2021-07-26,42.780000,42.840000,42.960000,42.780000,396
2021-07-26,43.340000,43.260000,43.340000,42.980000,8939
2021-07-26,43.420000,43.420000,43.420000,43.420000,2151
2021-07-26,42.955000,43.090000,43.110000,42.955000,5346
2021-07-26,44.050000,44.049100,44.060000,44.010000,4029
2021-07-26,44.049100,44.049100,44.049100,44.049100,0
2021-07-26,43.030000,43.210000,43.210000,43.030000,1213
2021-07-26,43.740000,43.740000,43.740000,43.740000,1003
2021-07-26,44.430000,43.709400,44.430000,43.690000,3744
2021-07-26,43.870000,43.870000,43.870000,43.870000,5126
2021-07-26,43.870000,43.870000,43.870000,43.870000,0
2021-07-26,44.065000,44.065000,44.065000,44.065000,172
2021-07-26,45.570000,45.570000,45.570000,45.570000,778
2021-07-26,46.370000,46.200000,46.370000,46.200000,10800
2021-07-26,46.700000,46.860000,46.870000,46.675000,1693
2021-07-26,47.350000,47.450000,47.450000,47.350000,422
2021-07-26,47.560000,47.730000,47.730000,47.417100,1880
2021-07-26,47.450000,47.470000,47.470000,47.280000,900
2021-07-26,46.810000,46.980000,47.000000,46.810000,2624
2021-07-26,46.690000,46.690000,46.690000,46.690000,5341
2021-07-26,47.330000,47.350000,47.350000,47.330000,754
2021-07-26,46.560000,46.818200,46.818200,46.560000,1535
2021-07-26,46.140000,46.345000,46.345000,46.140000,482
2021-07-26,46.345000,46.345000,46.345000,46.345000,0
2021-07-26,45.460000,45.230000,45.460000,45.230000,2105
2021-07-26,43.680000,43.680000,43.680000,43.680000,589
2021-07-26,45.740000,45.370000,45.740000,45.370000,312
2021-07-26,45.490000,45.490000,45.490000,45.490000,10197
2021-07-26,45.570000,45.570000,45.570000,45.570000,1831
2021-07-26,46.040000,45.995500,46.040000,45.995500,156
2021-07-26,46.800000,46.362200,46.362200,46.190000,6380
2021-07-26,47.340000,46.830700,46.830700,46.700000,708
2021-07-26,47.280000,46.673400,46.960000,46.673400,1888
2021-07-26,46.680000,45.914900,46.170000,45.914900,9705
2021-07-26,45.420000,46.090000,46.090000,45.890000,6138
2021-07-26,45.960000,46.310000,46.310000,45.960000,4444
2021-07-26,46.380000,46.382300,46.400000,46.370000,12703
2021-07-26,46.870000,46.036700,46.036700,46.010000,624
2021-07-26,46.680000,46.439000,46.700000,46.439000,5231
2021-07-26,46.500000,46.578300,46.578300,46.500000,2968
2021-07-26,47.190000,46.900000,46.900000,46.719900,1827
2021-07-26,46.500000,46.425800,46.425800,46.330000,153
2021-07-26,45.910000,45.481100,45.670000,45.250000,9696
2021-07-26,45.940000,46.156000,46.156000,46.000000,3101
2021-07-26,46.550000,46.030900,46.380000,46.000000,1198
2021-07-26,46.550000,46.684100,46.690000,46.545000,3914
2021-07-26,46.780000,46.696500,47.010000,46.696500,2234
2021-07-26,46.750000,46.705200,46.830000,46.705200,1104
2021-07-26,46.680000,46.788000,46.800000,46.680000,2848
2021-07-26,47.110000,46.769900,46.769900,46.650000,324
2021-07-26,47.200000,46.174500,46.490000,46.174500,744
2021-07-26,46.990000,47.090000,47.090000,46.770000,2824
2021-07-26,47.350000,46.885500,46.885500,46.670000,1876
2021-07-26,47.400000,47.120000,47.140000,47.110000,1198
2021-07-26,47.110000,47.320700,47.320700,46.850000,1177
2021-07-26,46.860000,47.760600,47.760600,47.760600,16
2021-07-26,48.050000,47.484000,48.360000,47.484000,1199
2021-07-26,46.900000,46.956900,46.956900,46.690000,4045
2021-07-26,47.440000,45.900000,46.784800,45.900000,1890
2021-07-26,46.520000,47.064800,47.064800,46.590000,11165
2021-07-26,47.630000,47.978200,47.978200,47.530000,12801
2021-07-26,48.490000,48.107300,48.107300,47.880000,6932
2021-07-26,48.080000,47.560200,48.080000,47.560200,2005
2021-07-26,47.250000,47.209200,47.209200,46.870000,649
2021-07-26,47.210000,47.245100,47.245100,47.140000,409
2021-07-26,47.520000,47.574000,47.610000,47.520000,3442
2021-07-26,47.733500,47.940300,48.015000,47.733500,1620
2021-07-26,48.000000,47.348100,47.816400,47.348100,3873
2021-07-26,47.820000,48.116400,48.170000,47.820000,1251
2021-07-26,48.500000,48.595800,48.630000,48.595800,4689
2021-07-26,48.398600,48.288000,48.400000,48.288000,380
2021-07-26,49.090000,49.035700,49.050000,48.829900,722
2021-07-26,49.540000,48.453700,48.650000,48.450000,4672
2021-07-26,48.960000,48.496100,48.496100,48.410000,1599
2021-07-26,48.770000,48.521400,48.530000,48.420000,5541
2021-07-26,49.150000,48.847900,48.870000,48.847900,322
2021-07-26,49.200000,49.238800,49.238800,49.190000,1345
2021-07-26,49.830000,48.837900,49.155000,48.795000,3588
2021-07-26,48.970000,48.488700,48.970000,48.488700,840
2021-07-26,49.120000,48.962100,48.970000,48.750000,1577
2021-07-26,49.550000,48.353000,48.580000,48.353000,4558
2021-07-26,48.940000,48.548800,48.580000,48.525000,1122
2021-07-26,49.040000,48.567500,48.580000,48.490000,1763
2021-07-26,48.470000,47.849200,47.950000,47.849200,2892
2021-07-26,48.320000,46.708900,47.330000,46.708900,1485
2021-07-26,47.430000,47.668500,47.780000,47.668500,4702
2021-07-26,48.120000,47.671700,47.671700,47.671700,28
2021-07-26,47.550000,47.609200,47.700000,47.609200,2016
2021-07-26,47.830000,48.271000,48.271000,47.880000,5953
2021-07-26,48.860000,48.492300,48.620000,48.240000,304
2021-07-26,48.580000,47.840200,47.859900,47.650000,1741
2021-07-26,47.740000,47.640400,47.740000,47.640400,253
2021-07-26,47.640000,47.760500,47.760500,47.620000,1053
2021-07-26,48.030000,48.078600,48.078600,48.030000,4341
