Date, Open, Close, High, Low, Volume
2021-07-26,12.000000,12.800000,13.070000,11.855400,605089
2021-07-26,12.980000,12.870000,13.140000,12.590000,897892
2021-07-26,12.900000,12.310000,13.250000,12.230000,572520
2021-07-26,11.900000,12.350000,12.580000,11.118800,626924
2021-07-26,12.390000,11.980000,12.390000,11.710000,460134
2021-07-26,11.910000,12.150000,12.300000,11.720000,552345
2021-07-26,12.150000,13.470000,13.660000,12.150000,1365443
2021-07-26,13.330000,14.060000,14.200000,13.120000,623362
2021-07-26,14.100000,13.880000,14.270000,13.710000,694551
2021-07-26,13.820000,13.360000,13.820000,13.280000,439554
2021-07-26,13.460000,13.800000,14.210000,13.260000,704898
2021-07-26,13.750000,13.900000,14.090000,13.710100,512918
2021-07-26,13.980000,13.820000,14.115000,13.110000,909172
2021-07-26,13.950000,13.710000,14.320000,13.650000,862092
2021-07-26,13.630000,13.730000,14.050000,13.469800,723918
2021-07-26,13.820000,14.410000,14.740000,13.820000,1353840
2021-07-26,14.250000,14.240000,14.450000,14.120100,801245
2021-07-26,14.200000,15.080000,15.620000,14.195000,2403492
2021-07-26,15.110000,15.050000,15.440000,14.600000,946091
2021-07-26,15.550000,14.960000,15.550000,14.900000,1043866
2021-07-26,15.010000,15.620000,15.740000,14.930000,1793974
2021-07-26,15.880000,16.140000,16.350000,15.420000,3021692
2021-07-26,16.180000,16.750000,16.970000,16.180000,1433488
2021-07-26,16.860000,16.600000,17.144300,16.355000,1085073
2021-07-26,16.740000,17.000000,17.190000,16.530000,976729
2021-07-26,17.150000,17.330000,17.440000,16.850000,1439786
2021-07-26,17.599600,17.790000,18.860000,17.360000,3911883
2021-07-26,18.090000,18.180000,18.470000,17.720000,2117075
2021-07-26,18.350000,18.760000,18.910000,17.830000,3222427
2021-07-26,18.620000,18.680000,19.440000,18.510000,3364051
2021-07-26,18.530000,18.800000,19.370000,18.530000,8359845
2021-07-26,18.810000,18.440000,18.850000,17.800000,2670852
2021-07-26,18.390000,17.370000,18.535000,17.210000,2915148
2021-07-26,17.370000,17.600000,17.910000,17.300000,905847
2021-07-26,18.340000,17.600000,18.340000,17.600000,1319978
2021-07-26,17.690000,17.650000,17.940000,17.280000,7797082
2021-07-26,17.650000,17.690000,17.880000,17.410000,827000
2021-07-26,17.800000,17.400000,18.158600,17.300000,855551
2021-07-26,17.010000,16.800000,17.350000,16.310000,1355106
2021-07-26,17.880000,18.050000,18.190000,17.570000,2466933
2021-07-26,18.400000,18.270000,18.930000,18.120000,1288789
2021-07-26,18.306900,18.860000,18.860000,18.280000,1593559
2021-07-26,19.520000,19.500000,20.020000,19.030000,3089003
2021-07-26,19.270000,18.690000,19.270000,18.380000,1347994
2021-07-26,18.830000,18.680000,19.000000,18.420000,677653
2021-07-26,18.640000,19.920000,19.940000,18.600000,1372733
2021-07-26,19.670000,19.050000,20.230000,18.925000,1196290
2021-07-26,19.140000,18.360000,19.309900,18.150000,1139777
2021-07-26,18.360000,18.210000,18.459900,17.660000,1152157
2021-07-26,18.240000,18.300000,18.530000,18.090900,695878
2021-07-26,18.220000,17.450000,18.220000,17.110000,1746403
2021-07-26,17.520000,17.600000,17.760000,17.310000,1017018
2021-07-26,17.660000,18.050000,18.180000,17.660000,693331
2021-07-26,18.200000,18.230000,18.270000,17.900000,524885
2021-07-26,18.210000,18.340000,18.375000,18.040000,608966
