Date, Open, Close, High, Low, Volume
2021-07-26,27.700000,26.900000,27.700000,26.900000,16693
2021-07-26,26.960000,26.870000,27.650000,26.870000,18134
2021-07-26,27.020000,26.810000,27.160000,26.690000,18933
2021-07-26,27.200000,27.240000,27.319700,26.880000,207175
2021-07-26,27.590000,27.600000,27.730000,27.420000,20030
2021-07-26,27.600000,27.630000,27.715000,27.480000,77606
2021-07-26,27.700000,27.870000,27.870000,27.645000,10073
2021-07-26,28.025000,28.040000,28.099900,28.000000,23765
2021-07-26,28.217800,28.215000,28.217800,28.117000,25598
2021-07-26,28.220000,28.285000,28.290000,28.200000,30936
2021-07-26,28.300000,28.060000,28.386400,28.060000,10958
2021-07-26,28.490000,28.280000,28.490000,28.170000,13821
2021-07-26,28.220000,28.420000,28.420000,28.220000,87343
2021-07-26,28.600000,28.430000,28.600000,28.415000,74170
2021-07-26,28.240000,28.470000,28.470000,28.240000,12336
2021-07-26,28.226800,28.325000,28.359200,28.074000,16074
2021-07-26,28.355000,28.220000,28.360000,28.220000,6878
2021-07-26,28.000000,28.059300,28.125000,27.946700,19535
2021-07-26,27.610000,28.040000,28.040000,27.550000,27089
2021-07-26,28.050000,28.330000,28.332900,27.920000,38705
2021-07-26,28.430000,27.640000,28.430000,27.500000,12643
2021-07-26,27.605000,27.450000,27.750000,27.410000,20789
2021-07-26,27.888000,28.130000,28.200000,27.855000,16430
2021-07-26,28.070000,27.980000,28.110000,27.925000,10820
2021-07-26,27.795000,27.490000,27.795000,27.490000,12198
2021-07-26,27.280000,27.060000,27.589500,26.620000,26088
2021-07-26,27.420000,27.630000,27.650000,26.940000,29574
2021-07-26,27.810000,27.640000,27.889500,27.480000,20248
2021-07-26,27.910000,27.880000,28.089300,27.720000,18488
2021-07-26,28.120000,28.040000,28.130000,27.963800,63057
2021-07-26,28.370000,28.370000,28.530000,28.330000,277630
2021-07-26,28.230000,28.430000,28.430000,28.210000,22493
2021-07-26,28.630000,28.630000,28.630000,28.320000,27779
2021-07-26,28.500000,28.540000,28.650000,28.435000,32781
2021-07-26,28.530000,28.540000,28.658500,28.320000,200130
2021-07-26,28.430000,28.150000,28.430000,28.150000,18369
2021-07-26,28.080000,28.020000,28.183400,27.930000,16072
2021-07-26,28.240000,28.240000,28.355000,28.145000,21005
2021-07-26,28.220000,27.960000,28.270000,27.960000,7829
2021-07-26,28.085000,27.910000,28.184000,27.910000,6483
2021-07-26,27.780000,28.000000,28.000000,27.610000,10838
2021-07-26,28.125000,28.140000,28.210000,28.020000,16643
2021-07-26,28.425000,28.485000,28.485000,28.280000,3278
2021-07-26,28.690000,28.300100,28.690000,28.230100,10719
2021-07-26,28.180000,28.431100,28.570000,28.180000,2906
2021-07-26,28.480000,28.705000,28.720000,28.588100,77844
2021-07-26,28.710000,28.980000,29.270000,28.710000,34643
2021-07-26,29.220000,29.420000,29.420000,29.180000,75983
2021-07-26,29.490000,29.270000,29.490000,29.130000,45482
2021-07-26,29.450000,29.410400,29.450000,29.300000,5530
2021-07-26,29.300000,29.697000,29.697000,29.464200,48515
2021-07-26,29.750000,29.719400,29.770000,29.591100,234242
2021-07-26,29.750000,29.814300,29.850000,29.640100,13851
2021-07-26,30.070000,29.690000,30.070000,29.675000,13775
2021-07-26,30.110000,30.068000,30.110000,29.850000,14166
2021-07-26,30.300000,30.191200,30.200000,30.120000,16431
2021-07-26,31.190000,30.023600,31.190000,29.940000,4140
2021-07-26,29.590000,29.130000,29.960000,29.130000,63185
2021-07-26,29.210000,30.060000,30.060000,29.210000,51840
2021-07-26,30.320000,29.753600,30.079800,29.670000,9369
2021-07-26,29.910000,30.150000,30.200000,29.803200,28543
2021-07-26,30.550000,30.245000,30.550000,30.120000,31570
2021-07-26,30.380000,30.655000,30.655000,30.110000,819541
2021-07-26,30.100000,30.060000,30.300000,30.060000,53211
2021-07-26,30.170000,30.510000,30.510000,30.060000,399281
2021-07-26,30.370000,30.240000,30.370000,30.080000,49658
2021-07-26,30.500000,30.300000,30.500000,30.190000,680213
2021-07-26,29.980000,29.910000,29.988900,29.700000,28600
2021-07-26,30.020000,29.940000,30.130000,29.940000,11126
2021-07-26,29.860000,30.240000,30.240000,29.830000,71000
2021-07-26,30.520000,30.590000,30.619900,30.430000,8096
2021-07-26,30.780000,30.110000,30.780000,30.080000,22059
2021-07-26,29.980000,30.240000,30.240000,29.550000,11952
2021-07-26,29.860000,29.150000,29.860000,29.150000,61875
2021-07-26,29.140000,29.520000,29.690000,29.390000,11688
2021-07-26,29.690000,30.040000,30.049800,29.690000,76729
2021-07-26,30.110000,29.870000,30.110000,29.750000,17363
2021-07-26,30.100000,29.674200,29.940000,29.674200,55948
2021-07-26,29.490000,29.518200,29.518200,29.265000,15994
2021-07-26,29.740000,29.850000,30.000000,29.689000,15595
2021-07-26,30.050000,29.900000,30.070000,29.820000,11895
